The Magnificent Seven - Remastered,3Ro71R8Vpy166E2PuQDSc8,333.52,56,0,1,4,0.0604,0.799,0.789,0.0,0.0338,-8.208,0.0396,0.832,116.081
Hitsville U.K. - Remastered,3F8ddXLIHVLdunzh6fLvKs,261.813,44,0,1,4,0.0219,0.613,0.957,3.23e-06,0.158,-6.74,0.0388,0.715,100.469
Junco Partner - Remastered,3MoCVkwtFocSsZktSMCxBn,292.186,36,0,1,4,0.0914,0.78,0.748,2.54e-05,0.119,-7.791,0.0707,0.956,151.625
Ivan Meets G.I. Joe - Remastered,5AgPt7TyfdqeCYXvDVqqJF,185.453,34,9,0,4,0.00675,0.485,0.944,0.000321,0.339,-7.235,0.128,0.514,134.754
The Leader - Remastered,1HEcT04aFqXJt27hdTQ9nB,102.2,34,5,1,4,0.255,0.678,0.843,1.91e-06,0.345,-8.669,0.0517,0.678,112.328
Something About England - Remastered,6vcKP14og5S4RTvPRZcEzJ,223.333,34,0,1,4,0.149,0.648,0.72,0.0,0.105,-8.801,0.0402,0.672,136.413
Rebel Waltz - Remastered,1gtM2p4GfNEHKa1QahYEPY,206.453,35,7,1,3,0.77,0.625,0.458,3.41e-05,0.215,-11.896,0.0462,0.367,142.871
Look Here - Remastered,6DoDrK2FfgtP5cNvifygqL,165.133,31,1,1,4,0.0379,0.517,0.88,0.37,0.17,-10.337,0.0398,0.678,116.24
The Crooked Beat - Remastered,38g7tXCIzJCHQR72Q1xN40,328.186,32,11,0,4,0.128,0.724,0.49,0.00453,0.542,-11.798,0.321,0.595,148.653
Somebody Got Murdered - Remastered,6izEYubQaf7odJ46scKEzr,214.386,42,4,1,4,0.000681,0.486,0.939,0.00468,0.0861,-7.678,0.0612,0.72,158.286
One More Time - Remastered,14Bh5lF07ELH1gzD5wyV7A,211.72,34,2,1,4,0.00551,0.738,0.608,0.0,0.264,-10.077,0.0353,0.951,131.886
One More Dub - Remastered,1yEiS263lJH8kg7PXRf3cM,217.693,32,4,0,4,0.000476,0.744,0.569,0.67,0.262,-12.589,0.0326,0.935,131.764
Lightning Strikes (Not Once but Twice) - Remastered,4DmbZ96tQFGJKyDfAYe6cQ,291.586,31,9,1,4,0.00945,0.712,0.908,1.49e-06,0.0778,-7.557,0.116,0.323,113.371
Up In Heaven (Not Only Here) - Remastered,5GzymV79vAt93PdiXJNCYU,272.213,32,11,0,4,0.00179,0.435,0.888,9.38e-05,0.198,-7.408,0.085,0.579,151.88
Corner Soul - Remastered,73iY5o9LrQvOSCwsu8NH3D,162.426,30,1,0,4,0.115,0.664,0.664,0.0,0.441,-7.536,0.0279,0.85,135.906
Let's Go Crazy - Remastered,3GVL86AqwHF7jqNotrZnZ8,264.266,30,9,1,3,0.264,0.518,0.749,1.04e-05,0.0876,-8.984,0.205,0.965,144.174
If Music Could Talk - Remastered,12W29FkcVVWgpu6NdN2mNA,276.2,31,0,1,4,0.0394,0.617,0.62,0.0155,0.106,-12.06,0.034,0.926,142.383
