The Race,3wGXyJGsCf1myH5MooQIqE,140.0,71,9,1,4,0.00266,0.766,0.606,0.0,0.166,-6.064,0.456,0.352,160.223
M.... She Wrote,1WRzux3cJRM9xRNN99QKgR,112.0,64,9,0,4,0.28,0.777,0.707,0.0,0.0749,-4.85,0.286,0.614,159.662
I <3 My Choppa,0Dk9lP1YnOqssHH0oCeq9u,105.0,62,0,0,4,0.000279,0.732,0.47,0.0,0.119,-7.601,0.244,0.411,159.936
Lemonade,26qQf1Wmyy3ZZkagqCu5kp,132.0,63,6,0,4,0.104,0.744,0.385,2.43e-05,0.124,-8.129,0.602,0.228,160.033
Gotta Blast (feat. Diego Money & Bandman Fari),7de1qGSxUfnKLNqncRksuk,131.0,60,1,1,4,0.0565,0.662,0.565,3.72e-05,0.264,-7.852,0.406,0.335,163.084
Megaman,6ikgPqC9vhkduTdIpsqYdj,133.0,59,8,1,4,0.0651,0.744,0.314,0.0,0.134,-8.871,0.0864,0.0438,134.388
Saran Pack,7m1cNdKABpKy0aAtsKAIGx,70.0,56,8,1,4,0.0432,0.781,0.731,0.0,0.0454,-8.3,0.226,0.139,139.977
Dat Way,5tHEX0VGkwEOpDhVxIFlcc,131.0,53,5,0,4,0.0609,0.767,0.749,6.87e-06,0.709,-8.097,0.309,0.225,144.968
The Race - Remix,7d19457woBxmPRCq255YqM,211.875,68,9,1,4,0.00619,0.75,0.548,0.0,0.156,-6.288,0.358,0.377,160.084
I <3 My Choppa (feat. Maxo Kream) - Remix,2NbPNiOnkSyWNgbqtsFQZX,105.0,51,1,1,4,0.00161,0.764,0.528,0.0,0.16,-7.247,0.248,0.6,160.009
