Sgt. Pepper's Lonely Hearts Club Band - Remastered 2009,4fUKE8EULjQdHF4zb0M8FO,122.893,64,7,1,4,0.0857,0.451,0.673,0.00225,0.797,-9.115,0.0734,0.583,95.513
With A Little Help From My Friends - Remastered 2009,2RnPATK99oGOZygnD2GTO6,164.106,66,4,1,4,0.365,0.705,0.515,0.0,0.389,-9.343,0.0337,0.803,112.035
Lucy In The Sky With Diamonds - Remastered 2009,25yQPHgC35WNnnOUqFhgVR,208.466,69,2,1,1,0.0469,0.311,0.325,0.0,0.139,-9.042,0.0283,0.668,65.09
Getting Better - Remastered 2009,3LtOmWpTXLhilL5odoKysR,168.12,59,0,1,4,0.313,0.632,0.471,5.08e-06,0.0712,-7.887,0.0348,0.764,121.672
Fixing A Hole - Remastered 2009,3pKKxkeB1pOUMHwWBmKc3Y,156.826,58,0,0,4,0.382,0.469,0.507,0.0,0.0783,-8.917,0.0451,0.619,112.984
She's Leaving Home - Remastered 2009,3PjMtNzwhDHqxoKudm6GvF,215.16,61,4,1,3,0.944,0.381,0.214,0.0,0.106,-11.629,0.0337,0.393,127.581
Being For The Benefit Of Mr. Kite! - Remastered 2009,6W35n1UlkvqhfMZstB4BXs,157.533,52,0,1,4,0.338,0.526,0.413,0.0,0.0992,-9.865,0.0446,0.71,111.874
Within You Without You - Remastered 2009,3Umg8CDhO8dOSj7yBTInYb,304.666,59,6,1,4,0.339,0.352,0.479,0.000353,0.486,-9.965,0.0338,0.354,126.166
When I'm Sixty Four - Remastered 2009,1NrbnHlR2BFREcyWXHIHip,157.666,64,1,1,4,0.625,0.704,0.241,2.8e-05,0.0868,-13.258,0.0476,0.661,140.411
Lovely Rita - Remastered 2009,6h9W5FxX4E9lUFsyq8j1AD,162.093,53,8,0,4,0.0634,0.61,0.471,0.0,0.118,-9.151,0.0261,0.63,87.379
Good Morning Good Morning - Remastered 2009,0xIuNHHcKI1JDuBPlSwzb1,161.226,50,2,1,3,0.0858,0.542,0.618,0.0,0.772,-8.876,0.139,0.93,121.849
Sgt. Pepper's Lonely Hearts Club Band - Reprise / Remastered 2009,42ocGQCOT0xYtV3f5kJDsD,79.066,51,0,1,4,0.0061,0.653,0.889,0.589,0.892,-8.006,0.0453,0.879,118.773
A Day In The Life - Remastered 2009,0hKRSZhUGEhKU6aNSPBACZ,337.413,66,4,0,4,0.29,0.364,0.457,0.000106,0.922,-14.162,0.0675,0.175,163.219
