Cherub Rock - Remastered 2011,3ow0TQVttXQF8rLckmXgRx,298.253,64,9,1,4,5.91e-06,0.382,0.867,0.581,0.196,-7.426,0.0399,0.453,87.309
Quiet - Remastered,5h9qCxrIrS7atH6OEglH8X,222.725,45,4,1,4,1.22e-05,0.417,0.84,0.58,0.278,-7.861,0.032,0.255,98.649
Today - Remastered,0u5aO1GYsIhAWCPuXdwnak,201.173,63,8,1,4,3.35e-05,0.456,0.826,0.57,0.0548,-7.611,0.0268,0.415,82.539
Hummer - Remastered,6tULAjasyLTeJecwhcIHCo,416.186,46,2,1,4,0.00166,0.294,0.544,0.441,0.37,-9.836,0.034,0.113,165.933
Rocket - Remastered,59d0TRQ1IlsRQfBEtGmj5N,246.413,46,0,1,4,2.8e-06,0.195,0.665,0.928,0.0723,-9.097,0.0345,0.358,89.005
Disarm - Remastered,6YIggUJW3ttAAPRdnki8RM,196.905,62,4,0,4,0.142,0.527,0.418,0.775,0.139,-10.205,0.0277,0.218,129.516
Soma - Remastered,1EGa3uFmvkGChrZeIKxGwB,398.24,46,7,1,4,0.0241,0.291,0.281,0.83,0.115,-11.798,0.0324,0.0981,134.683
Geek U.S.A. - Remastered,7Jh4ySrytQOaDPF4XVUnv1,313.266,44,8,1,4,9.27e-06,0.303,0.925,0.759,0.0707,-7.33,0.0622,0.303,125.252
Mayonaise - Remastered,0jmKzJmUEKNbC7eU8YfOiA,348.773,56,10,1,4,0.000107,0.482,0.528,0.543,0.0839,-10.426,0.0272,0.0882,146.043
Spaceboy - Remastered,0KQbsC4lUfm0qmRW68g6BF,267.306,43,0,1,4,0.0133,0.363,0.322,0.581,0.105,-11.539,0.0384,0.208,121.427
Silverfuck - Remastered,6qzPIHZ3iujtOYjNkA5CL3,522.653,42,2,1,4,0.00366,0.294,0.46,0.801,0.084,-11.808,0.0519,0.0373,126.717
Sweet Sweet - Remastered,7IsyTTRAeycKTlD0Outk4l,98.68,37,0,1,4,0.00363,0.371,0.315,0.476,0.164,-10.443,0.0274,0.21,98.547
Luna - Remastered,5Q6Xzp25aXYxNJ4B6vBkcf,202.32,49,9,1,4,0.0111,0.574,0.274,0.786,0.123,-13.553,0.0286,0.111,125.652
Pissant - Siamese Sessions Rough Mix,4vqzQSZRn9NQnvmOsuDSii,152.226,32,8,0,4,3.71e-05,0.189,0.845,0.766,0.103,-8.227,0.0577,0.594,93.244
Siamese Dream - Broadway Rehearsals Demo,6e1NB8dyguNIENFZ6Tb7PU,378.933,32,1,0,4,8.11e-05,0.32,0.872,0.756,0.163,-9.115,0.0726,0.461,131.617
STP - Rehearsal Demo,5pqMOdMl1IuRniHXFI2xFD,208.52,29,4,0,5,2.08e-06,0.112,0.89,0.89,0.308,-7.28,0.0682,0.503,93.735
Frail And Bedazzled - Soundworks Demo,795kaa8U6yZuejw67b8sfe,222.4,29,2,1,4,1.05e-06,0.322,0.84,0.959,0.0372,-8.974,0.0395,0.504,108.517
Luna - Apartment Demo,0DPETQJ17SfCwpXWwDaOkE,193.053,31,9,1,4,0.109,0.461,0.294,0.443,0.0963,-12.189,0.0318,0.282,131.456
Quiet - BBC Session/BC Mix,120DJqNCHmU1eXqU60ofSk,216.733,29,6,0,4,4e-06,0.263,0.735,0.754,0.0926,-9.085,0.0382,0.331,104.564
Moleasskiss - Soundworks Demo,3eKmjeq0VIoxYqF9PavqXW,240.44,27,9,1,4,4.15e-06,0.36,0.909,0.896,0.328,-8.115,0.0475,0.533,102.858
Hello Kitty Kat - Soundworks Demo,0pS4t0AvsXJTLY7aWef0qF,374.946,28,6,0,4,1.62e-06,0.376,0.918,0.762,0.231,-7.328,0.0469,0.479,107.253
Today - Broadway Rehearsals Demo,4WparHqiidJbDE7XGuGTj3,201.0,28,3,1,5,0.0,0.199,0.585,0.912,0.0507,-9.25,0.0441,0.365,165.574
Never Let Me Down Again - BBC Session,4WgIVwAvPIFJU1n7FrmUlh,243.48,29,0,1,4,0.0439,0.533,0.491,0.936,0.0915,-12.812,0.0296,0.274,119.585
Apathy's Last Kiss - Siamese Sessions Rough Mix,5JDCGs2gxuXIVYgEdQ7om0,160.493,27,0,1,4,0.625,0.419,0.379,0.0048,0.115,-11.26,0.0269,0.409,106.516
Ache - Silverfuck Rehearsal Demo,0CyOHijQxOFg37PLumGqIq,417.773,26,2,1,4,0.00746,0.338,0.352,0.893,0.37,-13.292,0.043,0.0551,112.677
U.S.A. - Soundworks Demo,3Jb7VgnjGXgwkYQsggQ287,265.04,25,9,1,4,6.04e-05,0.221,0.75,0.926,0.0948,-11.3,0.0332,0.697,143.475
U.S.S.R. - Soundworks Demo,2gUVmZVrMPBbRVU32iEIfP,95.213,25,11,0,4,2.12e-06,0.136,0.878,0.925,0.138,-9.63,0.0479,0.799,183.658
Spaceboy - Acoustic,4NOJJb0IQ1fDbuVVyOiRfW,238.346,28,0,1,4,0.492,0.554,0.284,0.241,0.105,-11.952,0.0451,0.134,121.866
Rocket - Rehearsal Demo,4Pu8aNclzKAPpZ4AcRbM4I,296.2,25,0,1,4,1.45e-05,0.244,0.665,0.777,0.125,-9.356,0.0372,0.319,77.14
Disarm - Acoustic,1CfFF36728zzSOcSLzj74U,198.56,33,7,1,4,0.225,0.564,0.226,0.234,0.124,-11.215,0.0324,0.188,129.44
Soma - Instrumental,3GcrqWXhnSS4k9A2Ns9eWC,398.866,27,7,1,4,0.0178,0.311,0.28,0.918,0.105,-12.31,0.0336,0.0722,132.276
