State Of The Union,0WDvAKN1wzjNya2xxjh9nq,139.133,43,10,0,4,0.00058,0.591,0.973,0.225,0.501,-3.512,0.103,0.371,132.209
The First Drop,4I0sRLTv7EENLHzfDeBheM,159.0,38,11,1,4,0.00105,0.563,0.966,5.31e-05,0.263,-3.18,0.06,0.635,146.057
Life Less Frightening,27QBppG8UuQ8pRlbgIUPn4,224.013,44,1,1,4,0.0082,0.484,0.953,0.00627,0.162,-2.599,0.0637,0.226,180.198
Paper Wings,6Nl8qp2bhHHWGYt3BYmsY1,223.613,49,3,1,4,0.000921,0.556,0.93,0.00514,0.108,-3.62,0.0538,0.514,100.143
Blood To Bleed,5tTqyjPKCAe5rqmOl9eslW,228.48,45,1,0,3,0.0182,0.57,0.894,0.0106,0.0881,-3.851,0.0369,0.31,124.102
To Them These Streets Belong,7eNip30quUAoZMiiUst9d9,169.426,38,3,0,4,0.00847,0.534,0.967,0.105,0.107,-2.473,0.0951,0.516,151.988
Tip The Scales,2jZuyqEiL1zcTEQOjjvQmx,229.013,39,3,0,4,0.00102,0.597,0.966,0.000157,0.0535,-3.442,0.067,0.521,106.042
Anywhere But Here,6wa2woDDTmHR3zZ6hQmwnL,218.12,38,3,1,4,0.000492,0.571,0.972,0.132,0.111,-3.597,0.0623,0.43,114.073
Give It All,6TTBhxnb9NYT7cz6aLOkBy,170.893,57,2,1,4,0.000371,0.582,0.942,0.004,0.078,-3.098,0.0637,0.357,103.057
Dancing For Rain,4qX0ej3QhDggOqNtK7yuRV,241.44,42,3,0,4,0.00114,0.372,0.94,0.0961,0.102,-3.942,0.0545,0.213,156.289
Swing Life Away,6GrrkiCRO3HYdgRpO4eKEL,200.066,59,6,1,3,0.544,0.477,0.426,0.0,0.0903,-6.961,0.043,0.789,184.866
Rumors Of My Demise Have Been Greatly Exaggerated,7GQKgGdCGxSWjhifhD0Xs8,254.28,40,8,1,4,0.00992,0.63,0.928,0.000843,0.0754,-3.008,0.0573,0.364,110.008
