Summer Babe (Winter Version),1VfgWgELCIpe9pB3cLuDnJ,196.6,35,2,1,4,4.84e-06,0.37,0.854,0.845,0.0617,-5.91,0.0288,0.568,97.51
Trigger Cut/Wounded-Kite At :17,5U3rofqVuMLqJfvqCMJg7W,197.493,33,7,1,4,0.271,0.539,0.849,7.76e-05,0.0708,-5.76,0.0556,0.198,122.467
No Life Singed Her,4ADL9CG5YGVEYynSgiXbuU,128.773,30,7,1,4,0.000909,0.402,0.902,0.0854,0.297,-5.209,0.0727,0.0731,131.755
In The Mouth A Desert,4sxIeAOLwvwp1Twg6OLPkD,232.093,37,0,1,4,0.00397,0.454,0.749,0.00463,0.0942,-4.201,0.0335,0.443,105.4
Conduit For Sale!,0Z4HdPAnIPqboqjSSJ0W5t,172.4,29,11,0,4,0.00401,0.477,0.976,9.62e-05,0.0825,-5.117,0.126,0.394,119.935
Zurich Is Stained,3Ys6lsiSmyUAG4y5VKSmY6,101.466,34,0,1,4,0.235,0.624,0.676,0.00301,0.0957,-8.135,0.029,0.378,128.537
Chesley's Little Wrists,1KDxNZwE2p4QKF8NOcHgQS,75.733,26,5,1,4,0.315,0.468,0.897,0.889,0.365,-9.695,0.0664,0.726,78.626
Loretta's Scars,2EGTIzvUeVPktanskCcQfN,175.333,31,5,0,4,5.73e-06,0.264,0.91,0.907,0.328,-5.644,0.0446,0.636,109.315
Here,5hljr4kXcgNXWNEO60duAd,236.133,34,9,1,4,0.84,0.525,0.4,0.0137,0.113,-6.699,0.0349,0.294,92.51
Two States,6AiwL8CaXgqrxclf3glT7s,107.306,26,2,1,4,0.000595,0.605,0.737,7.27e-05,0.275,-6.168,0.0431,0.866,130.103
Perfume-V,7fwvfK4p9ZqVXyN1D6IwZT,130.066,28,0,1,4,1.63e-05,0.472,0.793,0.742,0.135,-6.095,0.0333,0.442,126.357
Fame Throwa,0T69AJSsuQUc8Cn2uG08yo,202.4,25,2,1,4,0.000284,0.295,0.749,0.0303,0.0738,-6.647,0.0813,0.666,185.797
"Jackals, False Grails: The Lonesome Era",0dOEbzmZ1MTz2SxfFrffen,201.666,26,2,0,4,0.000435,0.417,0.973,0.825,0.148,-5.836,0.0392,0.863,98.838
Our Singer,2ZTG85omviXcNGtMqdUTGL,192.426,24,2,1,3,0.0334,0.457,0.515,0.0247,0.0849,-8.536,0.0508,0.191,203.95
