Jorge da Capadócia,0YyZBGbZYAuEFu473MiyjQ,167.733,49,0,1,4,0.181,0.619,0.33,0.0187,0.136,-12.105,0.0467,0.208,113.629
Genesis,7mZHVS1SC9tpjxpWDn6LKt,21.2,5,10,0,4,0.648,0.25,0.835,1.62e-05,0.513,-8.152,0.455,0.325,87.276
"Capítulo 4, Versículo 3",6Wt61AZLG0bN2KasopE2sj,486.56,60,8,0,4,0.0269,0.625,0.515,0.0,0.0839,-9.187,0.415,0.903,87.841
Tô Ouvindo Alguém Me Chamar,63piuNbKgyASwtlj3kq4ye,672.773,52,11,1,4,0.582,0.755,0.724,0.0,0.244,-8.862,0.27,0.751,83.813
Rapaz Comum,0Tt4zit1zJixRlx7khGgs3,379.466,40,1,1,4,0.371,0.768,0.807,0.0,0.358,-8.631,0.236,0.832,81.722
. . .,502TuAuj6ViVhAaJt8d6HO,153.8,37,7,1,4,0.00866,0.564,0.496,0.569,0.125,-9.59,0.205,0.369,174.64
Diário de um Detento,7wglwZzZoWUr8sOECwpu6L,451.0,63,10,0,4,0.603,0.903,0.526,0.0,0.0973,-10.069,0.334,0.766,87.005
Periferia É Periferia,66s5TDfsJipaB9wPQHSORm,359.026,40,4,0,4,0.38,0.668,0.712,0.0,0.074,-9.943,0.314,0.832,165.462
Qual Mentira Vou Acreditar,6hxdEJHw5qPaA4r0GFGkhj,461.2,50,1,1,4,0.0257,0.901,0.52,0.0,0.443,-10.203,0.312,0.806,89.993
Mágico de Oz,6G6FR1CEiuwkEbp33ryGAY,456.84,53,6,0,4,0.461,0.575,0.634,0.0,0.3,-7.079,0.36,0.783,79.316
Formula Mágica de Paz,4QsfSMCOEmTbPzHCCLbhgr,639.56,53,6,1,4,0.646,0.633,0.586,2.17e-06,0.854,-9.045,0.183,0.89,73.31
Salve,5RhpE8nYULoYAT5Oy8g9VD,136.0,37,0,1,4,0.45,0.72,0.391,0.0,0.132,-10.994,0.209,0.28,113.815
