I Saw the Light,0B1zVsLqmV9ibIFdNS5tGs,182.8,50,0,1,4,0.0531,0.583,0.833,5.57e-05,0.16,-8.29,0.0343,0.81,119.884
It Wouldn't Have Made Any Difference,00f5cJ88kjiyCLJebRHgAY,233.8,35,9,1,4,0.284,0.56,0.392,0.0,0.074,-13.1,0.0296,0.652,172.327
Wolfman Jack,7gYEcnIrG2MZsHHlfihStV,174.386,34,8,1,4,0.00495,0.375,0.974,0.0,0.0883,-3.06,0.126,0.661,123.638
Cold Morning Light,0XEC9bbC1nqnNbigggQJrO,214.906,25,8,1,3,0.338,0.482,0.413,0.0,0.264,-11.944,0.0411,0.342,116.035
It Takes Two to Tango (This Is for the Girls),5vtv11TLTbIIQZJjceBUXc,161.426,23,1,1,4,0.434,0.512,0.59,0.0,0.181,-11.517,0.03,0.701,126.787
Sweeter Memories,55QchVZGuIv2MRkMaEswUL,213.64,24,10,1,3,0.13,0.297,0.359,0.0,0.0216,-13.165,0.0371,0.258,100.91
Intro,0IEZI57xAMEdWkCkxOVxST,71.4,19,10,0,4,0.518,0.683,0.109,0.0,0.276,-21.499,0.567,0.383,125.423
Breathless - Instrumental,2PorMZrQi8RtTwwH0IYqvF,195.373,21,0,1,4,0.0875,0.227,0.655,0.31,0.416,-11.559,0.054,0.376,134.574
The Night the Carousel Burned Down,4OlRuc0DvBjfO7ncO0qcuj,268.826,21,8,1,4,0.328,0.268,0.436,0.000181,0.333,-13.541,0.0294,0.213,103.625
Saving Grace,7xlQYz6LpDMii7y3G5upEb,252.6,20,0,1,4,0.383,0.389,0.441,0.000316,0.133,-11.972,0.0336,0.601,114.783
Marlene,6LJNwRoSsx5G3Ktp6lp3eK,234.2,20,5,1,4,0.755,0.435,0.266,2e-05,0.564,-13.076,0.0252,0.233,81.695
Song of the Viking,0xyx6J1l9808WlAJiTInqq,151.64,18,5,1,4,0.691,0.311,0.367,1.84e-05,0.393,-13.498,0.0307,0.751,205.592
I Went to the Mirror,73f7HS33i8GmNtMl0SKDsh,244.4,18,10,1,4,0.492,0.29,0.251,0.113,0.192,-16.866,0.0304,0.191,73.231
Black Maria,2cQPn2UvmVPISIYyZf37ik,320.706,23,2,1,4,0.019,0.359,0.494,0.000225,0.335,-12.913,0.0329,0.596,127.502
One More Day (No Word),0BOav0FaagyDhh1FGw3Wza,223.0,18,1,1,3,0.923,0.485,0.364,0.0494,0.406,-12.512,0.0333,0.494,121.046
Couldn't I Just Tell You,02jZSvPG0SNsBwj6g9yRCo,202.506,29,4,1,4,0.00463,0.346,0.876,0.000177,0.264,-6.029,0.0746,0.663,123.932
Torch Song,2xu1LAcW7YHL54K2VPDux3,173.24,20,0,1,4,0.984,0.289,0.22,0.06,0.0556,-14.826,0.0274,0.158,98.525
Little Red Lights,1LoJCcOkOwhdVu34KGeE39,289.426,16,2,1,4,0.0118,0.265,0.676,0.000796,0.36,-12.06,0.0613,0.48,125.532
Overture - My Roots: Money (That's What I Want) / Messin' with the Kid,3rlASa17Axd0WzFo8pexxB,148.893,14,4,1,4,0.762,0.292,0.922,0.0283,0.357,-11.802,0.161,0.322,164.041
Dust in the Wind,7gnAdOnDFHgaEB3VpwCZNM,229.24,20,2,1,4,0.23,0.46,0.603,0.000733,0.133,-11.635,0.0413,0.494,145.57
Piss Aaron,3f3OD6f2xRjCJD2DE1NS7T,206.866,17,0,1,4,0.108,0.62,0.485,0.0,0.123,-11.941,0.0306,0.699,103.145
Hello It's Me,3gHFKiDanj4d2rqgHlRFFc,264.093,56,5,1,4,0.0563,0.578,0.848,0.00426,0.0963,-6.842,0.0261,0.779,87.246
Some Folks Is Even Whiter Than Me,6yzNoze9DpUXiK2MpJ1SOg,240.173,18,8,0,4,0.293,0.412,0.715,8.93e-05,0.425,-10.481,0.042,0.891,155.438
You Left Me Sore,577d37MK13qDP6lYHE6WyL,193.8,21,4,0,4,0.173,0.614,0.378,0.0,0.34,-13.978,0.063,0.707,99.315
Slut,3nx5O5uwblXfD9INmgLUy0,244.6,19,4,1,4,0.219,0.396,0.66,0.0,0.111,-11.285,0.0922,0.688,123.609
