Intro,7LkwNlnMYYGOCqW1igUgqR,69.72,39,6,1,4,0.642,0.401,0.28,3.79e-05,0.188,-15.879,0.283,0.632,86.82
Gasoline Dreams (with Khujo Goodie),1Jo3u8eXp8xobbrvq0FIi9,214.706,49,2,1,4,0.0383,0.729,0.959,0.0,0.312,-2.726,0.234,0.508,95.082
I'm Cool (Interlude),3R4IgnYTITZGpGfCZ3ptkM,42.04,39,8,0,4,0.821,0.46,0.085,0.663,0.126,-26.433,0.111,0.553,88.817
"So Fresh, So Clean",6glsMWIMIxQ4BedzLqGVi4,240.026,68,5,0,3,0.0281,0.725,0.64,0.0,0.099,-7.905,0.332,0.915,166.028
Ms. Jackson,0I3q5fE6wg7LIfHGngUTnV,270.506,80,4,0,4,0.143,0.843,0.806,0.0,0.0771,-5.946,0.269,0.613,94.948
Snappin' & Trappin' (feat. Killer Mike & J-Sweet),6C872iuQnICFQy5Z5hIIJX,259.693,43,1,0,4,0.0154,0.574,0.922,0.0,0.267,-5.561,0.37,0.432,194.082
D.F. (Interlude),1Y1ZV5NJWTkp7M0r4lwdnM,27.24,3,6,1,4,0.139,0.589,0.866,0.000115,0.322,-9.659,0.0701,0.887,93.289
Spaghetti Junction,1ZosUXeZM3qlTWdL1uTrhm,237.16,46,7,1,4,0.0105,0.746,0.697,0.0,0.0459,-7.104,0.233,0.452,96.716
Kim & Cookie (Interlude),51QLvM437Xstp0bLdq0aFj,72.533,38,9,1,3,0.787,0.778,0.279,0.0,0.507,-15.287,0.935,0.307,50.606
I'll Call B4 I Cum (feat. Gangsta Boo & Eco),6F1nkRSfNUh3FcoSmuO4fu,258.44,41,1,1,4,0.0621,0.895,0.578,8.89e-06,0.326,-9.044,0.198,0.59,90.989
B.O.B. - Bombs Over Baghdad,3WibbMr6canxRJXhNtAvLU,304.226,64,9,1,4,0.0555,0.746,0.978,4.11e-05,0.026,-5.324,0.0978,0.653,153.809
Xplosion (feat. B-Real),54MqZEYfS0aRgNWW19hNW4,248.84,41,0,0,4,0.0891,0.539,0.928,0.0,0.38,-5.596,0.393,0.611,202.37
Good Hair (Interlude),0a7EuQ73Wc6bPQApzjWPwz,14.96,0,5,1,0,0.613,0.0,0.408,0.0,0.83,-13.318,0.0,0.0,0.0
We Luv Deez Hoez (feat. Backbone & Big Gipp),4XaY6ZNB5BrmVVLtQxjWpm,250.466,46,1,1,4,0.0372,0.913,0.601,0.000227,0.0806,-4.803,0.107,0.79,89.97
Humble Mumble (feat. Erykah Badu),5cN4KyXGUdNOve1TEPWmhL,290.666,47,10,0,4,0.0363,0.799,0.923,1.28e-05,0.41,-6.108,0.116,0.778,109.959
Drinkin' Again (Interlude),1ZoK9LKJppVYpc5b1QtpD8,24.506,2,7,1,4,0.645,0.609,0.31,0.0,0.48,-10.411,0.17,0.632,77.845
?,67tv8s6iNlSwz2RxVPcoY5,88.626,38,7,1,3,0.201,0.804,0.923,0.000118,0.0274,-7.539,0.102,0.573,146.826
Red Velvet,5AnpPlwvf01F9D1gcAbCRa,232.64,40,11,0,4,0.0107,0.826,0.669,0.0,0.168,-9.425,0.25,0.273,106.994
Cruisin' In The ATL (Interlude),4zTqkKfNC3rDQ0uuAGOvie,19.293,3,2,1,4,0.00975,0.68,0.398,3.5e-06,0.513,-16.277,0.095,0.921,104.403
"Gangsta Sh*t (feat. Slimm Calhoun, C-Bone & T-Mo)",2fk55YQGYhilLmXFaKWESM,281.266,41,11,0,4,0.00756,0.873,0.798,0.0,0.0812,-6.976,0.0503,0.333,123.72
Toilet Tisha,4Dlz76O4yMvFdYsKRfBEdK,264.706,37,1,1,4,0.169,0.524,0.547,4.37e-05,0.0433,-8.288,0.0403,0.826,54.66
Slum Beautiful (feat. Cee-Lo),4hH99pmXR4tTUtVAdMf0kZ,247.56,38,6,1,4,0.122,0.826,0.828,0.0,0.134,-6.795,0.255,0.872,159.839
Pre-Nump (Interlude),6emmntELhK3aLuMzGk9Bpa,27.066,3,0,1,4,0.401,0.582,0.381,2.9e-06,0.281,-14.503,0.204,0.548,109.34
Stankonia (Stanklove) (feat. Big Rube & Sleepy Brown),3hZnqmixPzXNrxjsaPlwHZ,411.026,37,2,1,3,0.0621,0.607,0.58,0.0859,0.666,-9.186,0.0747,0.227,135.981
