"Please, Please, Please",0cyrmJCVIOvYjFVXX8PFNU,165.173,15,5,1,4,0.677,0.713,0.192,0.0,0.112,-12.337,0.0351,0.75,108.792
Why Do You Do Me,1X61yfpp5giHf2Iz9d4YCq,180.8,12,5,1,3,0.718,0.505,0.206,0.0,0.186,-11.73,0.0391,0.651,117.531
Try Me,44AgaeLQCnvk3PPHIaDeDk,151.626,46,0,1,3,0.911,0.673,0.243,0.0,0.286,-13.868,0.0306,0.644,101.531
Tell Me What I Did Wrong,2dOYBjbJqOlKjiraPHY1rX,141.706,14,9,1,4,0.782,0.552,0.511,0.0,0.395,-10.005,0.044,0.757,120.189
Bewildered,08H1RrAJpBJtzoC6IDuARQ,143.293,13,5,1,1,0.633,0.488,0.358,0.0,0.357,-10.695,0.0276,0.552,105.187
Good Good Lovin',7nyECfR6PvSLg54lI0rrjG,139.906,12,5,1,4,0.705,0.652,0.579,2.52e-06,0.128,-11.158,0.174,0.966,157.408
I'll Go Crazy,5z2Im1TXtQDJf7rx2DYmsN,127.533,13,2,0,3,0.728,0.625,0.405,0.0,0.0536,-10.925,0.0617,0.843,135.193
I Know It's True,1WNTorgsJLCL9n3OCS7opN,161.36,12,7,1,1,0.877,0.676,0.218,6.37e-05,0.146,-13.704,0.0767,0.358,109.232
(Do The) Mashed Potatoes Part 1,4W7ps5zORgRWe691hlxXzC,112.4,11,7,1,4,0.511,0.745,0.837,0.339,0.191,-9.169,0.0467,0.932,134.471
Think,2HtrdkCBIUlRBJ8m46yCFW,166.2,11,1,1,4,0.421,0.72,0.705,5.19e-06,0.299,-8.554,0.0894,0.871,78.764
Baby You're Right,6L5Qc1Ol4ENtzvQPhN4Hsh,179.2,11,2,1,1,0.68,0.603,0.296,0.0,0.136,-9.481,0.034,0.536,96.571
Lost Someone,37cbiqy4YfNTvk1mDETyNj,209.04,11,4,1,3,0.662,0.448,0.234,1.44e-06,0.108,-13.415,0.0414,0.559,188.161
Night Train,2nV6LVdwqzy8qWO8WRmTZb,219.693,30,1,1,4,0.22,0.81,0.679,0.00883,0.245,-9.042,0.108,0.873,130.517
I've Got Money,5iw29cLh7LBc7z2ISdIVm9,150.573,10,6,1,4,0.439,0.507,0.76,1.53e-05,0.0712,-8.519,0.166,0.838,79.462
I Don't Mind,3w29gvOFQY4zITid74yzDN,150.866,11,4,0,3,0.607,0.574,0.108,0.00893,0.138,-17.12,0.0398,0.362,106.168
Prisoner Of Love,1SpC61Si1ad4tFCln9sO8N,146.226,10,10,1,4,0.695,0.538,0.336,0.0,0.103,-13.659,0.031,0.571,67.313
Devil's Den,42FYpXjTDH9AAtkFnGnSZL,289.8,11,9,0,4,0.239,0.564,0.363,0.538,0.163,-11.463,0.0322,0.688,109.121
Out Of The Blue,4jKPBqcvQ2oSZ7D2Wx4fhA,136.906,10,4,0,4,0.599,0.728,0.665,0.143,0.578,-11.258,0.0395,0.965,128.639
Out Of Sight,4WRRuJ7pARaP2Hfoill07y,141.093,12,3,1,4,0.292,0.781,0.409,0.000248,0.107,-10.943,0.0442,0.882,129.22
Grits,5G5VR0VIlVMSqbKOnrg0fM,239.04,10,7,1,4,0.496,0.425,0.34,0.516,0.134,-13.709,0.0357,0.417,100.201
Maybe The Last Time,6qlxQxtedTSHgJdvdfrSv8,181.026,9,7,1,3,0.637,0.504,0.417,0.0,0.856,-9.539,0.0463,0.623,138.074
It's A Man's World,76p5d8BcoUNIibKjCqOAOg,197.933,37,2,0,3,0.322,0.729,0.28,0.000202,0.0783,-13.452,0.0366,0.25,102.869
I Got You (I Feel Good),3weSdbSSqLSDELNaYPA8r9,148.44,11,2,1,4,0.307,0.743,0.421,0.0,0.0934,-11.278,0.282,0.756,79.543
Papa's Got A Brand New Bag,7lNGPma0xHCtNXsLHa7aim,418.493,15,3,1,4,0.253,0.85,0.409,0.000222,0.269,-13.169,0.171,0.814,122.271
Papa's Got A Brand New Bag,00pGV4EInVd77cnOIwPTCv,128.173,45,4,1,4,0.292,0.738,0.541,1.15e-05,0.0861,-9.508,0.09,0.925,127.942
I Got You (I Feel Good),7i45rGyriMGGBqtwM3V6Xg,165.36,12,7,1,4,0.321,0.652,0.408,1.94e-05,0.0748,-10.49,0.233,0.713,145.026
Ain't That A Groove,4UbPNgD5C5dJ1NTLxCXgI0,212.044,18,0,1,4,0.558,0.749,0.417,1.74e-06,0.598,-10.96,0.219,0.558,121.433
"It's A Man's, Man's, Man's World",31FovUKIDBHtt95FIuz7G9,167.333,12,3,0,3,0.675,0.653,0.37,3.25e-05,0.0644,-10.914,0.0433,0.63,81.465
Money Won't Change You,4Mk4Bk4KW7M3LXUHI2jsxz,362.533,11,11,1,4,0.0747,0.796,0.715,0.000145,0.183,-8.764,0.0489,0.793,122.596
Don't Be A Dropout,6PwYQFr7rGa0LtUH7V19w8,272.373,10,0,1,4,0.656,0.826,0.612,0.0,0.211,-8.595,0.126,0.966,114.286
Bring It Up (Hipsters Avenue),4xoXPTN32bqVOf1pmJfNpE,247.71,11,3,1,4,0.361,0.394,0.786,1.94e-06,0.238,-9.099,0.391,0.429,183.144
Let Yourself Go,5lpsQ1yL5jJwRrAC6fMsgp,233.96,11,1,1,4,0.177,0.859,0.456,9.83e-05,0.064,-9.325,0.0367,0.526,115.574
Cold Sweat,5R1OrIp58SRUTkRUeIjghA,452.4,19,2,1,4,0.0528,0.913,0.498,0.00334,0.0593,-8.759,0.0376,0.716,111.776
Get It Together,55Pgjz85l3CaN31qaEo801,538.64,12,5,1,4,0.36,0.757,0.662,0.0,0.0959,-7.755,0.258,0.835,144.316
"I Can't Stand Myself (When You Touch Me), Pt. 1",7B5MfGrThgt6fDa8P9M6yk,210.6,9,1,1,4,0.539,0.883,0.71,0.0328,0.544,-10.02,0.101,0.873,126.361
I Got The Feelin',7D0pVczksnBUrFcCzqUdA6,158.56,11,5,1,4,0.356,0.897,0.593,0.0114,0.151,-9.26,0.107,0.879,128.282
Licking Stick - Licking Stick,62HnoiIkiPYHiSjhVV84Ud,293.173,14,8,1,4,0.35,0.767,0.766,1.88e-05,0.174,-7.226,0.12,0.886,104.649
Say It Loud - I'm Black And I'm Proud,5cWUaFw3SM7nv7L2FF0bQN,181.16,10,5,0,4,0.282,0.865,0.613,0.000419,0.0355,-8.232,0.11,0.904,114.894
There Was A Time,1vOdaTsnTzh7Yp4m0V0hqj,298.066,15,0,1,4,0.0014,0.601,0.59,0.00394,0.553,-8.063,0.0299,0.49,139.338
Give It Up Or Turnit A Loose,2XgOrUSylCh7Pk2Wc04QQK,191.6,10,0,1,4,0.118,0.776,0.538,0.092,0.031,-10.561,0.0634,0.893,110.976
"I Don't Want Nobody To Give Me Nothing (Open Up The Door, I'll Get It Myself)",0mr9eIENv1RfC2UvTiCism,360.4,11,7,1,4,0.406,0.818,0.595,0.0,0.0629,-8.885,0.0441,0.869,110.257
Mother Popcorn,1f2kC25TCQx6KHTuSRsRYI,376.116,15,7,0,4,0.122,0.919,0.604,0.363,0.0564,-9.751,0.0719,0.942,116.739
Funky Drummer,0VbpqlboEkGQ7Pu6juJljZ,421.306,38,11,1,4,0.736,0.696,0.676,0.471,0.126,-10.798,0.213,0.485,91.043
Get Up (I Feel Like Being A) Sex Machine,2ivdsb1RcEJjIs5tuHkUC9,316.333,50,10,0,4,0.18,0.838,0.616,7.17e-06,0.193,-8.351,0.0711,0.848,107.695
Super Bad,5cgiqCTKhcchJxwwWbT3FF,267.093,19,2,1,4,0.575,0.92,0.806,0.00621,0.109,-8.346,0.0683,0.938,124.887
Talkin' Loud And Sayin' Nothing,7I6CMSd19lG3x3cvAHCx29,568.573,12,10,0,4,0.27,0.859,0.506,1.04e-05,0.159,-10.485,0.123,0.817,101.637
"Get Up, Get Into It, Get Involved",1ozTjrkDIG2VNuXLFfqMQS,424.6,10,0,1,4,0.441,0.797,0.912,2.36e-06,0.0443,-8.467,0.129,0.915,108.447
Soul Power (Parts 1 & 2),0Kh6NlN0Ho4KPt37egITHU,264.76,13,7,1,4,0.377,0.919,0.615,5.54e-05,0.0769,-9.514,0.0435,0.93,104.628
Medley: Brother Rapp/Ain't It Funky Now,1l4NxVEVjRQjKGYDD6pnjt,465.666,9,10,1,4,0.405,0.611,0.735,0.146,0.0376,-9.898,0.0872,0.629,118.689
Hot Pants (She Got To Use What She Got To Get What She Wants),3vdH3xPDfbgvY6lvH7kU9C,187.306,22,8,1,4,0.256,0.669,0.675,0.0,0.0762,-8.958,0.386,0.787,196.088
