Psycho Killer - Live,2t8GBp5kQEXVamVq4Odwe2,264.933,50,7,1,4,0.00202,0.76,0.596,0.00356,0.981,-10.728,0.0501,0.338,114.007
Heaven - Live,0Q2b6AxWV5tD117XktdQxl,221.0,48,7,1,4,0.849,0.612,0.357,3.23e-06,0.516,-10.4,0.0303,0.148,107.129
Thank You for Sending Me an Angel - Live,0E3gdEF4z9cBFfFqA7i72k,129.8,44,0,1,4,0.0024,0.6,0.921,0.0599,0.7,-8.631,0.0464,0.634,138.116
Found a Job - Live,7rWq4710VbhYigwobjNwni,195.373,41,2,1,4,0.113,0.712,0.747,0.00334,0.685,-8.929,0.0363,0.869,122.606
Slippery People - Live,2WDvW3o8WeGN4v4cpsYVhT,240.96,55,9,0,4,0.216,0.637,0.851,0.0365,0.68,-8.127,0.0437,0.84,110.892
Burning Down the House - Live,3L9NsP191RY35x0UxlgajR,246.306,47,7,1,4,0.00457,0.654,0.864,0.0649,0.979,-9.389,0.04,0.48,109.672
Life During Wartime - Live,0aRtXmOhG0zypXF6nkLi2r,351.333,46,2,1,4,0.0744,0.613,0.864,0.00763,0.986,-8.781,0.0565,0.718,138.047
Making Flippy Floppy - Live,0CS31HRSJOKSkFRwJKhRU0,280.293,41,0,1,4,0.0907,0.605,0.871,0.0535,0.709,-8.531,0.0388,0.809,128.499
Swamp - Live,36klliYR1tALa7URj326mF,270.2,40,4,0,4,0.109,0.756,0.553,0.00145,0.78,-10.565,0.108,0.775,117.02
What a Day That Was - Live; Edit,1qRbIDeJnmfnglzlJI8kOK,360.64,44,2,1,4,0.1,0.558,0.874,0.0158,0.822,-8.982,0.0358,0.727,145.971
This Must Be the Place (Naive Melody) - Live,0cAPfvvqFZsqsIz3ZDSKIa,297.226,49,7,1,4,0.394,0.769,0.583,0.00103,0.705,-10.191,0.0329,0.923,114.248
Once in a Lifetime - Live,019KRrap2TW8ASDAWbe6OU,325.573,47,2,1,4,0.028,0.518,0.769,5.31e-05,0.962,-8.696,0.102,0.571,122.783
Genius of Love (Tom Tom Club) - Live,1Z0jkAvtK78wrDc5odDtdX,270.8,44,1,0,4,0.126,0.769,0.74,0.0029,0.99,-8.673,0.052,0.734,112.464
Girlfriend Is Better - Live,2KCB47p9nvR5ZyT5hJKZi9,306.426,43,0,1,4,0.0378,0.648,0.794,3.3e-05,0.712,-7.879,0.0443,0.834,126.96
Take Me to the River - Live,75UfgdiQxmIBNQeuZfuBvc,332.973,42,9,1,4,0.107,0.633,0.66,0.000126,0.698,-9.164,0.0651,0.792,119.272
Crosseyed and Painless - Live,16tRLWoOw8SWXoMem3rENi,371.026,39,9,1,4,0.0529,0.449,0.831,0.00261,0.696,-9.719,0.057,0.657,144.987
