Straight Outta Compton,6KIKRz9eSTXdNsGUnomdtW,258.687,70,8,1,4,0.0461,0.834,0.878,0.0,0.334,-9.484,0.15,0.418,102.848
Fuck Tha Police,5n8Aro6j1bEGIy7Tpo7FV7,345.717,70,8,0,4,0.0193,0.859,0.75,0.0,0.0538,-8.325,0.303,0.857,98.691
Gangsta Gangsta,1pOIpxfrQ8AszXZdKR3aH3,336.917,63,6,0,4,0.0279,0.894,0.698,3.56e-06,0.329,-8.264,0.275,0.695,98.104
If It Ain't Ruff,68Wj3g73FAl8Q22q9vO6Fw,214.333,50,11,0,4,0.0233,0.948,0.605,0.0,0.0886,-8.423,0.244,0.854,100.043
Parental Discretion Iz Advised,75vzHroJkJWv0AvwzWv1zU,315.998,47,6,0,4,0.0278,0.661,0.755,0.0,0.114,-7.767,0.261,0.874,95.765
8 Ball - Remix,1i0kVfX5LdEdo52St39QM0,292.779,48,11,1,4,0.0134,0.767,0.765,0.0,0.804,-6.895,0.386,0.738,180.527
Something Like That,6wVScBh7XU6rAgIUrqboUB,215.923,43,7,1,4,0.0626,0.896,0.724,0.0,0.156,-7.049,0.308,0.659,96.113
Express Yourself,52IuMfbQa9aqRPz2oYPAI8,265.101,60,8,0,4,0.0506,0.851,0.583,0.0,0.236,-11.022,0.286,0.956,95.048
Compton's N The House - Remix,0nGLRyRhkkGm1vEFkUMctq,320.574,44,7,1,4,0.0283,0.929,0.498,0.0,0.268,-7.177,0.355,0.663,95.167
I Ain't Tha 1,4YT8aYraXHbVxYeupvChSv,294.944,44,11,0,4,0.0638,0.845,0.478,0.0,0.051,-7.501,0.353,0.715,159.384
Dopeman - Remix,12G1TYIfbpvC0mdFFn4Pbg,320.172,51,7,1,4,0.00267,0.819,0.57,0.0,0.0692,-9.313,0.374,0.694,176.241
Quiet On Tha Set,7j8g8gUNi8e3yvLMRHKQuY,239.704,45,7,1,4,0.0187,0.964,0.482,0.0,0.104,-8.903,0.293,0.56,106.223
Something 2 Dance 2,0iQzC9nxzQZ5hVWlE5Lewy,203.755,41,6,0,4,0.00503,0.896,0.566,0.00139,0.327,-8.196,0.219,0.529,129.56
