Let Me Drown,73mseL1QMWuOVIrYwIFlPf,232.546,44,0,1,4,4.53e-05,0.148,0.947,0.00187,0.0872,-4.839,0.0958,0.566,187.413
My Wave,6ox3xc5CNTDQiAINfzP8Zw,312.613,51,9,0,5,0.000132,0.509,0.95,0.00302,0.0937,-4.535,0.061,0.705,126.591
Fell On Black Days,1wlKw9NAWVWpx7OIAyg9EA,283.026,67,4,0,3,0.00152,0.574,0.739,0.000328,0.141,-5.745,0.0271,0.514,101.069
Mailman,7FjITxlcgw9rsUiFgkxCeL,266.36,46,5,1,4,0.000425,0.443,0.682,7.47e-05,0.0833,-5.99,0.0313,0.429,96.211
Superunknown,6shF79BmasRYo0ktqAvmXz,306.92,39,0,1,4,5.85e-05,0.291,0.949,0.233,0.856,-3.619,0.0574,0.296,133.93
Head Down,1qD0VSqDxnHOxfIrWGF2j9,369.773,38,5,0,4,0.000135,0.413,0.825,0.252,0.108,-6.347,0.0346,0.565,83.185
Black Hole Sun,2EoOZnxNgtmZaD8uUmz2nD,318.586,76,6,1,4,0.000217,0.35,0.828,0.000161,0.0774,-5.373,0.041,0.147,105.435
Spoonman,5sKSgf4p72uPTCY5qBvJoE,246.92,40,7,1,4,2.18e-05,0.458,0.902,0.195,0.258,-5.625,0.0314,0.827,92.712
Limo Wreck,2rLAx6mTzaTYd0DborfvV0,347.986,42,7,1,3,0.000429,0.352,0.808,0.000634,0.0996,-4.907,0.0345,0.236,137.875
The Day I Tried To Live,78YJJJH55MSyk7547100sW,320.106,58,0,1,4,0.000164,0.472,0.752,0.181,0.0903,-6.051,0.0555,0.305,133.248
Kickstand,5zrSzYQdBZeBqir7R1A7wO,94.306,39,9,0,4,7.47e-06,0.407,0.941,0.0169,0.343,-4.801,0.0409,0.655,91.662
Fresh Tendrils,2jBSSSajLva9wm9LdHvlJU,256.506,36,0,0,4,2.32e-05,0.31,0.897,0.000879,0.13,-5.155,0.0498,0.44,175.944
4th Of July,2bdUkiK4p2wuaqzcBLm1zc,308.866,45,5,0,4,0.118,0.355,0.754,0.000936,0.175,-5.692,0.0378,0.201,142.203
Half,1NnyJ4Goacg13I2TylMoG0,134.586,36,6,1,4,0.164,0.305,0.71,0.855,0.112,-8.296,0.0346,0.293,88.055
Like Suicide,0KhYJOx8HLA1ANTSaxU2KH,423.973,38,7,1,4,8.77e-06,0.416,0.566,0.373,0.182,-6.342,0.0266,0.232,95.455
She Likes Surprises,6Ix78wA087O4BD9MMTQWl2,197.946,31,3,1,4,0.000365,0.354,0.798,0.0749,0.226,-5.465,0.0397,0.421,139.695
Let Me Drown - Demo Version,3odgfrbGEk5imP7QYCEtRf,251.173,28,11,1,4,0.0474,0.507,0.757,0.00421,0.0823,-7.439,0.0348,0.72,91.334
Black Hole Sun - Demo Version,3lDPRtu5rFtSdXEuCzMIQz,338.986,29,6,1,4,0.289,0.436,0.666,0.102,0.0931,-7.482,0.0375,0.215,105.026
Half - Demo Version,5uYLsYKrp2mko0s0TlpL93,97.693,26,6,1,4,0.933,0.583,0.462,0.884,0.144,-12.507,0.0364,0.967,83.871
Head Down - Rehearsal Version,0rIRnHCIMXkqPiaJCIgNgE,326.626,26,0,1,4,4.38e-05,0.439,0.807,0.487,0.104,-6.047,0.0323,0.382,167.263
Limo Wreck - Rehearsal Version,04XhfGO8oQKgLHgBk8dy8B,342.853,25,7,1,3,0.00181,0.577,0.759,0.13,0.192,-5.563,0.0265,0.329,136.978
The Day I Tried To Live - Rehearsal Version,7ooxFxF9y9khWvKuGoWr8X,363.213,25,6,0,4,0.00335,0.518,0.711,0.667,0.122,-7.087,0.039,0.374,124.535
Like Suicide - Acoustic Version,1gGzdKJX35bqZLbfmXR3ql,372.56,35,7,1,4,0.558,0.615,0.346,0.000897,0.129,-11.2,0.0254,0.141,97.076
Black Days III,61S13VpVPf5oVUPRnD7Nzg,243.026,26,2,0,4,0.000872,0.488,0.741,0.387,0.182,-6.341,0.0278,0.64,107.097
Birth Ritual - Original Demo Version,5RD0bTdLTvG6JjDdXqHT8u,350.906,24,2,1,1,0.000157,0.477,0.956,0.00444,0.0654,-5.31,0.133,0.181,127.042
Exit Stonehenge,2vBcN3XX1Oid3vkojEHpYh,81.96,22,0,0,4,8.19e-06,0.43,0.942,0.119,0.204,-6.291,0.0539,0.783,147.401
"Kyle Petty, Son Of Richard",0cajccvcmO62zmvnClSl6k,246.506,25,2,1,4,1.13e-05,0.319,0.909,0.746,0.159,-4.725,0.0644,0.565,184.156
Jerry Garcia's Finger,7wc6T6eq02CeZvSIKmeyQo,204.653,23,0,1,4,0.233,0.251,0.777,0.901,0.144,-9.943,0.162,0.195,143.197
Spoonman - Alternate Steve Fisk Remix,5K0lHLEeF6irbi6ONBIPCa,321.173,24,7,1,4,0.000101,0.502,0.82,0.00266,0.212,-8.467,0.0616,0.65,90.673
The Day I Tried To Live - Alternate Mix,5UH7zxbQLgSRV8gwCssXRw,326.626,26,9,1,4,0.000833,0.437,0.708,0.000125,0.122,-6.184,0.0457,0.305,131.427
4th Of July - Instrumental,69qkX550ZiMJIbmQeJ0Qhe,313.173,24,8,1,4,0.00161,0.428,0.652,0.763,0.124,-7.539,0.0299,0.202,141.888
Superunknown - Instrumental,3I1aiLtc1tPsrqmj3GTCFH,309.04,23,0,1,4,4e-05,0.317,0.931,0.843,0.342,-6.573,0.0437,0.373,133.754
