Sweet Baby James - 2019 Remaster,17PXXzOygMyXXUNLngVN5u,173.733,59,2,1,3,0.882,0.539,0.114,0.00902,0.106,-20.575,0.0346,0.608,141.378
Lo and Behold - 2019 Remaster,5VzGCjWLJtnfLzz8a6uHSS,158.733,42,0,1,4,0.839,0.582,0.0565,0.00236,0.0972,-20.772,0.044,0.542,148.116
Sunny Skies - 2019 Remaster,1wluZWSTbISDzbuaV3KNzd,141.12,43,0,1,4,0.719,0.813,0.0988,1.25e-06,0.128,-21.277,0.0494,0.531,120.292
Steamroller Blues - 2019 Remaster,5VRfEb2UQu0arhEnGEYxDr,177.56,40,0,1,4,0.772,0.548,0.266,0.000113,0.14,-15.024,0.0388,0.552,109.09
Country Road - 2019 Remaster,2OBaVeRFXblWxoZHC4sryf,202.266,56,2,1,4,0.753,0.52,0.297,0.000562,0.109,-17.211,0.0449,0.677,156.059
"Oh, Susannah - 2019 Remaster",0bJVWLFiMMCstMfEFsp4QU,121.306,39,7,1,4,0.844,0.574,0.107,0.000376,0.106,-19.63,0.0481,0.665,117.515
Fire and Rain - 2019 Remaster,1oht5GevPN9t1T3kG1m1GO,203.613,74,5,1,4,0.766,0.597,0.271,0.0119,0.0933,-17.293,0.0394,0.338,76.271
Blossom - 2019 Remaster,6N3z0CqnHGpPgZoEfSakqf,133.266,45,7,1,4,0.836,0.709,0.294,0.385,0.121,-18.108,0.0375,0.458,107.983
Anywhere like Heaven - 2019 Remaster,4G9b4sc68Sx0mIdEO59VMM,207.226,46,7,1,4,0.669,0.617,0.339,0.000265,0.0869,-15.042,0.0272,0.582,95.471
"Oh Baby, Don't You Loose Your Lip on Me - 2019 Remaster",3oIO9p1JREoHLDwLWOwYhN,109.293,35,2,0,4,0.878,0.612,0.131,0.000707,0.158,-21.692,0.0522,0.663,96.723
Suite for 20 G - 2019 Remaster,6zoY7o6r2cVgfCBw1zn3qp,286.533,36,11,1,4,0.37,0.611,0.417,2.44e-05,0.0778,-13.108,0.0367,0.692,118.376
