Where Do The Children Play?,0fGNZCxMxV2bCRndfbCl60,232.133,58,7,1,4,0.75,0.491,0.311,1.83e-05,0.0849,-14.192,0.0365,0.293,127.856
Hard Headed Woman,6b8hjwuGl1H9o5ZbrHJcpJ,227.2,53,0,1,4,0.414,0.494,0.331,5.24e-05,0.0849,-11.276,0.0346,0.419,140.731
Wild World,6Xz7FeyE8HTP90HecgHV57,200.173,77,0,1,4,0.376,0.484,0.508,0.000791,0.0961,-9.308,0.0364,0.554,151.867
Sad Lisa,6psqvHbfCgYXY640lBsCo9,225.693,52,2,1,3,0.924,0.584,0.208,0.0409,0.074,-15.563,0.0316,0.391,112.681
Miles From Nowhere,0qx3aqCWlg2Xbk4Rh7PeQH,217.266,50,2,1,4,0.635,0.355,0.502,1.99e-05,0.0988,-9.814,0.0457,0.457,81.262
But I Might Die Tonight,3rp6rfQWMUBgH3oq4yiuEs,113.6,42,7,1,4,0.185,0.499,0.568,0.0007,0.157,-10.942,0.0514,0.437,137.861
Longer Boats,5SuzsLDBMYNmja1sIUeIEl,192.706,42,7,1,4,0.782,0.45,0.303,0.000575,0.311,-13.389,0.0324,0.426,143.479
Into White,7lu9zwuW9WPPhPBX6Ja5fn,204.533,44,9,1,3,0.759,0.584,0.187,0.00394,0.174,-17.208,0.0298,0.284,110.857
On The Road To Find Out,4QEeLo0E9yoBWCFAfaXhRc,308.066,51,7,1,4,0.389,0.543,0.488,0.0326,0.117,-9.287,0.03,0.512,86.093
Father And Son,62IEgHYfHy0969CK16IcbK,221.0,49,7,1,4,0.589,0.499,0.33,4.21e-05,0.102,-11.467,0.0348,0.395,135.993
Tea For The Tillerman,65Qxgvy4hZxadYDr2QNSD3,61.866,50,0,1,4,0.791,0.543,0.115,0.0,0.0679,-16.068,0.0877,0.529,110.291
