Once,4nRyBgsqXEP2oPfzaMeZr7,231.367,58,2,0,4,0.00535,0.413,0.885,1.97e-06,0.166,-7.695,0.0777,0.211,113.807
Even Flow,6QewNVIDKdSl8Y3ycuHIei,292.58,75,10,0,4,0.00178,0.394,0.944,4.54e-06,0.298,-6.506,0.0761,0.265,105.338
Alive,1L94M3KIu7QluZe63g64rv,340.907,76,11,0,4,0.00752,0.284,0.875,0.000461,0.402,-6.069,0.0422,0.595,75.009
Why Go,337kipThk7s7nHJ8POg1jK,200.039,54,9,1,4,0.00999,0.322,0.968,4.12e-05,0.445,-5.59,0.106,0.316,115.565
Black,5Xak5fmy089t0FYmh3VJiY,342.653,74,4,0,4,0.323,0.36,0.684,0.0,0.34,-6.457,0.0308,0.2,77.15
Jeremy,62nQ8UZVqR2RMvkJHkcO2o,318.226,73,2,1,4,0.0404,0.285,0.846,0.0,0.182,-6.472,0.0438,0.287,108.808
Oceans,0LBmvPJYmtEJ7kkWvc3kbT,161.893,56,7,1,5,0.512,0.362,0.377,0.101,0.175,-10.142,0.034,0.147,112.393
Porch,3zNkNyXEeDs2HeAZ0fYqxI,210.52,55,9,1,4,0.00372,0.326,0.935,7.55e-06,0.302,-5.69,0.0698,0.17,135.762
Garden,3KcJEOyaLDLAERlOCBhmPA,298.933,55,7,1,4,0.0478,0.191,0.707,6.1e-05,0.295,-6.846,0.0345,0.179,82.7
Deep,4tfWxyTBCJoN5gK358oL3W,258.186,51,4,0,3,0.000179,0.284,0.882,0.000491,0.0979,-6.42,0.0616,0.25,82.226
Release,3xAka0D8585mDoShALnsd7,546.018,58,7,1,4,0.446,0.241,0.34,0.0641,0.0994,-11.919,0.0446,0.064,80.979
