I Want To Know,0adYvAO2R0Q0hDUXI4RwFT,128.293,11,2,1,4,0.0153,0.479,0.626,0.000108,0.319,-12.11,0.075,0.884,164.374
I Can't Keep From Crying Sometimes,7pQPWvnEB294xwYPDcbAdW,322.04,12,9,1,4,0.78,0.536,0.222,0.00182,0.134,-15.815,0.0347,0.41,96.715
Spoonful,10Qyo8CcR4R0IAStEk3Usp,361.866,10,9,0,4,0.0643,0.451,0.352,0.00439,0.224,-13.994,0.0435,0.466,105.107
Help Me,3JLMvI62jiaFQ6nUU25qPB,588.4,10,7,0,4,0.0125,0.344,0.381,0.009,0.0864,-13.153,0.104,0.303,75.368
Portable People,3bqVFuvjxkZD8P10xPWdyl,131.626,9,9,1,4,0.867,0.645,0.266,0.0209,0.0969,-18.539,0.0395,0.447,82.379
The Sounds,2lJkHPKYSxr7kMR7Zt97oY,249.226,8,5,1,4,0.202,0.368,0.431,0.754,0.427,-14.618,0.0498,0.456,86.366
Rock Your Mama,5ebF6BjHpZv5jHFgv69MtF,179.333,8,11,0,4,0.0853,0.488,0.296,0.00912,0.26,-15.915,0.0683,0.703,67.698
Spider In My Web - Live,6wKWQfbC3IYAYnCqQ0FBEq,430.773,8,5,1,1,0.716,0.53,0.154,0.196,0.1,-17.49,0.0583,0.46,78.815
"I May Be Wrong, But I Won't Be Wrong Always - Live",4qsoOvzQZWRGwmu7vwWi81,583.84,8,9,0,4,0.818,0.563,0.791,0.161,0.324,-11.773,0.0694,0.686,95.733
Going To Try,0qof4cDCCK4hnqI0vP1Krf,286.76,7,2,1,4,0.402,0.504,0.479,0.684,0.345,-16.631,0.283,0.257,106.977
Woman Trouble,2hicCUW3V3ozHu8XCl971b,277.173,7,5,1,4,0.916,0.6,0.295,0.0656,0.122,-18.896,0.0669,0.661,145.651
Hear Me Calling,57jhVGcNP5x2Wb7u8MhjrD,344.8,8,9,1,4,0.0371,0.452,0.585,6.76e-05,0.0959,-12.859,0.0315,0.572,127.276
Boogie On,1IWaWNVf1pP5AgK2QscTpt,866.0,8,2,1,4,0.258,0.44,0.383,0.708,0.136,-15.166,0.0488,0.566,134.081
I Woke Up This Morning,23O93QFRNjculqQi5feHZR,330.733,25,9,1,3,0.688,0.333,0.664,0.747,0.247,-7.554,0.0358,0.852,173.983
If You Should Love Me,6kNbX8VTY8AtJfhLBpEEUv,321.6,12,9,1,4,0.148,0.348,0.664,0.0735,0.123,-10.128,0.0938,0.602,165.007
Good Morning Little Schoolgirl,5TJtgsMmP5N1t1M48XYfYZ,425.493,14,9,1,4,0.401,0.414,0.663,0.777,0.337,-9.957,0.0287,0.788,133.232
I'm Going Home - 1969/Live At Woodstock,778TI9vpCyyDUcsIOkw9vX,718.933,10,2,1,4,0.025,0.555,0.582,0.00776,0.966,-10.448,0.0963,0.238,119.045
Me And My Baby,2loMf6VEzuHJVw0sMlmtO6,250.84,8,5,1,4,0.738,0.404,0.611,0.0424,0.0638,-10.053,0.0321,0.776,170.047
Love Like A Man,26R4HdOOnj4zYGl8lbYW9j,457.666,21,9,1,4,0.0416,0.376,0.526,0.755,0.603,-11.779,0.0277,0.589,95.624
"50,000 Miles Beneath My Brain",78V9nFlXP4T2xsOMblAzS7,458.533,15,9,1,4,0.374,0.348,0.761,0.0198,0.0963,-10.687,0.0549,0.469,117.194
I'm Coming On,4hRXOi8PtjoJkA5AF2uMwA,225.4,10,7,1,4,0.874,0.378,0.606,0.688,0.161,-11.573,0.0402,0.847,103.961
My Baby Left Me,26RPCTNKTd04WrHWq6BssN,320.666,8,7,1,4,0.625,0.36,0.65,0.505,0.11,-12.125,0.0373,0.472,131.469
One Of These Days,19S0sveTDvbp653KiSYgCb,349.533,22,9,1,4,0.017,0.404,0.591,0.397,0.124,-11.997,0.0344,0.709,123.545
Here They Come,4YKZuCRUe2izGMO7mNKaaF,271.466,12,7,1,4,0.858,0.439,0.207,0.167,0.124,-18.458,0.0349,0.189,125.483
I'd Love To Change The World,4D3Twi99sdqxesC68XAPf5,224.026,55,4,0,4,0.117,0.382,0.497,0.233,0.11,-11.815,0.0328,0.391,117.446
Let The Sky Fall,6gAf9gktMMiGZAVNWgm8m3,260.2,24,9,1,4,0.00653,0.522,0.337,0.0857,0.135,-12.684,0.0302,0.666,138.421
