Your Feet's Too Big,5LcLxugTPApxb1Ak2g1kc7,167.733,29,10,1,4,0.968,0.733,0.174,2.34e-06,0.113,-17.916,0.0852,0.816,138.765
I Wish You The Best Of Everything,3CU98VCEv6IwQHOayACaBA,193.066,29,2,1,4,0.974,0.552,0.099,0.119,0.114,-16.572,0.0545,0.254,90.387
If I Didn't Care,2jPgfwVXOKnUl2QLQsnIAT,181.973,52,6,0,3,0.993,0.417,0.123,0.0125,0.143,-16.572,0.0377,0.18,137.444
Just For A Thrill,2TbdcJNnTuOkG9ZihVtSCZ,165.493,28,7,0,4,0.98,0.62,0.117,0.00672,0.119,-14.902,0.0432,0.432,99.771
It's Funny To Everyone But Me,4SKt36xFNge5y6yeR8n80v,176.333,28,10,1,3,0.993,0.322,0.0922,0.0282,0.0942,-19.143,0.0597,0.266,76.83
Address Unknown,46uYxgBiPPrtYjwjcTs4w6,173.026,38,1,1,5,0.986,0.516,0.186,0.000314,0.113,-14.651,0.0472,0.351,56.168
My Prayer,0lU0wvIQcZLmo5JeNungX8,193.333,32,0,0,4,0.989,0.431,0.142,0.00596,0.116,-15.934,0.0406,0.256,99.155
Memories Of You,4hQz8039EjNsKvsNPQZzdW,176.96,27,8,1,4,0.991,0.429,0.0867,0.0355,0.0993,-18.652,0.034,0.402,88.246
I'm Getting Sentimental Over You,6VKMutT1M42aqfGZSmIjQU,163.906,27,8,1,4,0.99,0.346,0.124,0.0939,0.127,-19.319,0.0366,0.31,94.455
Bless You,0BegIv1DisQSnpba7myC0R,168.493,27,8,1,4,0.993,0.366,0.132,0.00299,0.109,-19.309,0.0346,0.475,96.27
When The Swallows Come Back To Capistrano,1irsnS9Hy4f5UHszpwaKno,181.0,28,6,1,4,0.994,0.623,0.0828,0.192,0.0962,-18.877,0.0679,0.303,95.359
Whispering Grass (Don't Tell The Trees),6uEBkcXBhOufhsG6wBl7ZT,159.96,28,5,0,4,0.991,0.342,0.118,0.458,0.0999,-19.198,0.0379,0.339,87.057
Maybe,6jSOQzZ92aPKN0p2m09y2n,182.733,55,5,1,4,0.992,0.407,0.0944,0.611,0.105,-17.809,0.0288,0.199,92.145
"We Three (My Echo, My Shadow, And Me)",43a4zqUZL1vHH93EKBFkLj,198.466,47,0,0,4,0.994,0.438,0.0555,0.0566,0.109,-18.334,0.038,0.273,79.939
