Odds and Ends,4Oi0aCr7R0gN6WJSKtdANr,107.36,30,9,1,4,0.462,0.572,0.697,0.0,0.107,-6.593,0.0618,0.858,134.073
Orange Juice Blues,0NCVTPhS9FmQQwHUmuJNUm,219.066,28,7,1,4,0.672,0.549,0.665,0.0,0.357,-6.475,0.0319,0.663,102.026
Million Dollar Bash,2otxmLJLxYQPVq0FYIUd34,151.12,33,4,1,4,0.4,0.592,0.467,0.0,0.292,-7.38,0.0467,0.517,119.23
Yazoo Street Scandal,6ZHAkQveP83pugpI3R3BQr,209.44,28,0,1,4,0.334,0.44,0.686,0.00707,0.121,-6.701,0.105,0.797,153.757
Goin' to Acapulco,3S3c2DmBhih5bOWciUPwLt,327.626,30,9,1,4,0.124,0.403,0.565,0.0394,0.189,-6.367,0.0329,0.357,75.674
Katie's Been Gone,2OiysLw55VVjAYj1tC2TMF,166.6,29,4,1,4,0.464,0.478,0.635,0.291,0.133,-5.231,0.0305,0.514,112.101
Lo and Behold!,24RKOkbDctnfC7EtZmyJKA,166.64,26,7,1,4,0.498,0.506,0.686,0.000616,0.0874,-6.785,0.0439,0.732,146.318
Bessie Smith,1BythdpR6CAZNT8ltjv6IT,258.306,28,0,1,4,0.407,0.371,0.798,0.4,0.188,-5.184,0.0464,0.603,131.776
Clothes Line Saga,0R9p7lLUdB5N39OU9NCTu4,178.013,25,4,1,4,0.692,0.308,0.582,0.0,0.186,-7.336,0.0562,0.513,199.17
Apple Suckling Tree,3kzUgsSqGf1TlGcfC8ZkeO,168.506,26,2,1,4,0.329,0.438,0.812,0.0,0.0723,-5.675,0.243,0.865,176.998
"Please, Mrs. Henry",1CufFgKGnEUcqH2tZxnRUl,153.333,26,1,1,4,0.818,0.548,0.607,7.69e-06,0.0497,-6.867,0.052,0.842,122.943
Tears of Rage,3tPkWQ0Ed6vHbYdbPP7HLJ,255.853,27,2,1,4,0.782,0.305,0.48,1.54e-06,0.225,-6.927,0.0287,0.358,67.867
Too Much of Nothing,14em4cJeTWNLfmvh9BuEVW,184.213,25,11,1,4,0.516,0.405,0.598,0.0,0.0936,-7.435,0.033,0.461,73.871
Yea! Heavy And A Bottle Of Bread,4daGDsq2Gv4qeGR3uYpQoy,135.093,25,5,0,4,0.548,0.502,0.557,2.64e-06,0.132,-7.631,0.0411,0.711,112.805
Ain't No More Cane,6jVRVVop35OiLnMQt1oof1,238.68,27,7,1,4,0.191,0.509,0.649,0.00195,0.313,-7.568,0.034,0.633,133.983
Crash on the Levee,2dYam0boaX8XGNzwVqHxW0,124.453,24,5,0,4,0.439,0.693,0.557,7.99e-05,0.161,-6.504,0.0333,0.793,124.61
Ruben Remus,3fT1TDk7OKsk02zb50TT0O,195.626,23,0,1,4,0.6,0.558,0.565,0.0035,0.104,-6.691,0.054,0.63,124.805
Tiny Montgomery,3S4uVMF2KcxAVubsq5J0WD,166.826,23,6,0,4,0.729,0.485,0.654,0.00235,0.38,-6.073,0.061,0.532,132.134
You Ain't Goin' Nowhere,5WeQHNrOlxBv9NZTrz6xgE,162.88,35,7,1,4,0.353,0.571,0.591,0.0,0.234,-8.566,0.0355,0.609,116.29
Don't Ya Tell Henry,7c5tRyNXCM77xYfBJGg3B6,192.826,24,2,1,4,0.737,0.59,0.811,0.251,0.341,-6.264,0.0405,0.848,132.745
Nothing Was Delivered,0k2tkSYmg3ueCemL7vqfCn,263.346,24,7,1,3,0.705,0.577,0.444,0.0337,0.147,-7.891,0.0278,0.589,102.166
"Open the Door, Homer",5jpEdHQL8kGxROtZkj4KXM,169.44,24,10,1,4,0.77,0.474,0.497,0.022,0.117,-7.697,0.0367,0.716,142.595
Long Distance Operator,6iEVANirIu9Map5EvPDPgg,219.933,23,0,1,4,0.696,0.542,0.79,0.00918,0.493,-6.71,0.0356,0.757,140.756
This Wheel's On Fire,40L7ioTIvnDH42ugHaip7L,232.573,30,9,0,4,0.619,0.231,0.525,0.0,0.109,-6.938,0.0352,0.4,88.627
