Back In The USSR,1x25uGPGYDK1iYdTxHDZJc,123.692,18,9,1,4,0.656,0.36,0.916,0.0,0.911,-5.662,0.0877,0.913,152.327
Dear Prudence,7vOWQeyQwaczlvDMXreIC1,181.894,11,2,1,4,0.725,0.544,0.473,8.86e-06,0.0859,-7.502,0.0522,0.28,119.831
Glass Onion,6cVfhLSVXOSMYCquqYLSbK,113.571,8,5,1,4,0.862,0.684,0.389,0.00044,0.116,-9.973,0.0622,0.371,80.472
"Ob-La-Di, Ob-La-Da",1xSeptZybIN0h0pY1JfzNe,126.185,7,2,0,4,0.81,0.709,0.574,0.0,0.151,-9.374,0.947,0.519,77.263
Wild Honey Pie,02WMXUVqSxhXfqHrS4r6ug,58.833,5,2,1,4,0.436,0.772,0.779,0.000269,0.246,-7.918,0.0436,0.514,90.004
The Continuing Story Of Bungalow Bill,701zHszmRnNlqxTxwAZAvU,209.454,5,0,1,4,0.378,0.655,0.671,4.26e-05,0.393,-8.901,0.0431,0.459,109.984
While My Guitar Gently Weeps,6g8Z3jy8Glvl0EfugPH58o,223.235,7,7,1,4,0.948,0.576,0.382,0.0015,0.171,-10.925,0.0312,0.313,135.936
Happiness Is A Warm Gun,5cHOR3XIDg3deaqsMoyKcI,138.058,4,7,1,3,0.638,0.75,0.52,0.0,0.14,-5.965,0.0294,0.733,102.959
Martha My Dear,0LAuTjfwLXWd1CEKc8TL1U,202.0,4,7,0,4,0.69,0.476,0.22,4.55e-06,0.154,-13.653,0.0419,0.166,126.474
I'm So Tired,69u0lQyT0E272v9u3vFas8,143.076,3,7,1,4,0.923,0.465,0.433,0.0,0.767,-11.457,0.393,0.358,155.587
Blackbird,1uTJ14NsfGsg7ZG5tcpdGC,185.6,4,9,1,4,0.346,0.647,0.68,1.66e-05,0.158,-8.26,0.0611,0.287,150.223
Piggies,1BkgnYGIylQ0cfVLaqTuxw,141.653,3,7,1,3,0.956,0.497,0.32,0.000113,0.158,-7.996,0.0597,0.498,131.744
Rocky Raccoon,5ydDpiSHdUWMy6GDcKz9aC,213.923,3,7,1,4,0.956,0.374,0.211,1.34e-06,0.177,-14.124,0.0348,0.122,73.95
Don't Pass Me By,2fJA52wM7q12bXKRIDBm9v,206.032,3,0,1,4,0.81,0.669,0.51,0.00133,0.382,-11.194,0.0485,0.522,77.503
Why Don't We Do It In The Road,3Hcg3zBc9cizP9DL9LSi7O,164.823,4,1,1,4,0.283,0.696,0.549,0.598,0.659,-10.803,0.138,0.445,170.037
I Will,5F97DURFPA32d8Cw5BHUHj,108.45,6,0,1,4,0.895,0.584,0.266,0.00389,0.137,-12.201,0.027,0.603,99.848
Julia,7i8lxaeel65VlWBzZQGps6,153.402,4,11,1,4,0.775,0.386,0.346,0.0,0.424,-9.762,0.0457,0.213,98.939
