Planet Telex,05evePUsIT1cmIURp1hgu6,259.2,54,9,0,3,0.0206,0.429,0.88,0.698,0.607,-8.013,0.109,0.255,148.965
The Bends,3aDUSpF3LexOr1lFKvPV2h,246.2,54,0,1,4,0.0117,0.288,0.757,0.14,0.363,-8.065,0.0652,0.311,89.694
High And Dry,5jafMI8FLibnjkYTZ33m0c,257.48,73,4,1,4,0.0718,0.418,0.383,0.0177,0.0896,-11.782,0.0257,0.352,87.773
Fake Plastic Trees,045sp2JToyTaaKyXkGejPy,290.706,70,2,1,4,0.167,0.454,0.229,0.102,0.202,-12.592,0.0297,0.134,73.552
Bones,0OT4Rhd9cw1yajN9ZxL6qL,189.0,51,2,1,4,0.00154,0.358,0.705,0.606,0.168,-8.284,0.0517,0.419,101.429
(Nice Dream),4QbQ55kHcRNho6XLaPctT1,233.226,54,9,1,3,0.161,0.262,0.567,0.263,0.225,-11.075,0.0344,0.377,172.857
Just,4SE81CrzH0qPA8KHqM9Syz,234.8,61,7,0,4,0.000401,0.291,0.767,0.0119,0.0763,-6.913,0.0862,0.358,175.699
My Iron Lung,4dPKQxaraW6CG1rTBzV6DW,276.426,55,0,1,4,0.056,0.242,0.859,0.116,0.38,-8.4,0.0663,0.671,96.929
Bullet Proof ... I Wish I Was,7wB2VenWR6rchtLwawreIg,208.733,53,7,1,4,0.78,0.448,0.359,0.671,0.0753,-13.559,0.0288,0.0773,80.912
Black Star,6JzzI3YxHCcjZ7MCQS2YS1,247.04,55,7,1,4,0.00312,0.288,0.555,0.0513,0.27,-7.431,0.0401,0.307,158.699
Sulk,4HtPAkZnSyGtNvBnfDc2nw,222.96,51,9,1,3,0.00397,0.167,0.636,0.228,0.106,-7.4,0.0382,0.671,97.293
Street Spirit (Fade Out),5gz38AxRkD6Ywxd4fr2pLj,253.853,62,4,0,4,0.314,0.488,0.453,0.691,0.179,-11.562,0.0304,0.129,138.077
