The Sun's Gonna Shine Again,37D0tkVI7OqeOK6jURh08u,161.306,15,10,0,4,0.933,0.544,0.201,3.16e-06,0.073,-11.357,0.0336,0.334,69.041
Roll with My Baby,4dae1XXONMjfvtl0T8SpmO,157.4,14,0,1,4,0.787,0.817,0.189,0.0,0.0843,-14.537,0.0713,0.566,127.846
The Midnight Hour,4b4CsR0rR6yE3FMIBUM0r6,181.733,13,6,1,3,0.952,0.516,0.116,0.0,0.211,-13.097,0.033,0.329,100.428
Jumpin' in the Mornin',4Ydrqcq9h4KV3djKS53lBy,163.559,12,8,1,4,0.769,0.432,0.478,3.78e-05,0.0745,-8.509,0.0691,0.743,201.673
It Should Have Been Me,0gJy0lMFXOcSrwfjkbeZkA,160.266,15,8,1,3,0.856,0.647,0.258,0.0,0.197,-10.03,0.147,0.719,113.888
Losing Hand,36fK4hmMDgBO79F0OYK1dZ,191.413,12,0,0,3,0.795,0.478,0.22,2.38e-06,0.106,-10.021,0.0341,0.435,94.793
Heartbreaker,4Qrj3AcjQ4fdokLmOmadEP,174.533,13,6,1,4,0.824,0.789,0.513,3.63e-05,0.0862,-9.055,0.0457,0.882,76.753
Sinner's Prayer,5SYH2XlQwucVdEGmBpNHZ6,205.733,12,9,1,3,0.742,0.451,0.386,8.96e-06,0.231,-10.528,0.0479,0.605,182.672
Mess Around,4WkeZDkgFaN6YNuYSb3uUB,160.226,15,8,1,4,0.437,0.565,0.962,0.0,0.056,-2.981,0.064,0.906,148.808
Funny (But I Still Love You),550YPFm7nQINqWYXHcqYsK,196.906,12,3,1,3,0.818,0.484,0.232,0.0,0.182,-12.024,0.0492,0.41,180.63
Feelin' Sad,2fHQdlpQd4lA7YuBUKmWyW,172.026,11,5,0,3,0.864,0.377,0.209,0.0,0.282,-12.585,0.0329,0.536,175.8
I Wonder Who,3OzoWfmJE9jPC1OLYiNR3t,166.333,11,8,1,4,0.831,0.393,0.194,0.0,0.115,-12.938,0.0461,0.695,73.75
Don't You Know,2BRWj6o8OhM1OD1RYzwi35,177.466,11,0,1,4,0.854,0.719,0.144,0.0,0.0876,-12.496,0.113,0.743,120.221
Nobody Cares,4dXoBidwrK4i9zFCsgBSRn,160.76,11,0,1,4,0.888,0.421,0.0751,5.53e-06,0.0976,-16.431,0.0326,0.318,64.862
Ray's Blues,6e3umwTyBYbymEmNmIizMB,175.573,12,10,1,3,0.97,0.489,0.162,0.00133,0.304,-11.437,0.0633,0.391,176.098
Mr. Charles' Blues,34LkbYqnC5xlV5mqtIn8Dk,167.533,11,5,1,4,0.895,0.802,0.109,0.00019,0.168,-15.683,0.101,0.39,88.759
Blackjack,6wQnrHW6k4YW8Vu6oQz0hE,139.626,10,2,1,4,0.828,0.673,0.224,0.0,0.0792,-12.043,0.0542,0.464,115.757
I've Got a Woman,5KQ7azQIzKeIb2jgc7pEhr,171.466,15,9,1,4,0.833,0.556,0.61,2.22e-06,0.258,-4.729,0.213,0.665,199.373
Greenbacks,4ndweLDEqp8tpApNLQwogk,171.599,10,1,1,4,0.844,0.638,0.308,0.0,0.159,-13.874,0.471,0.672,163.956
Come Back Baby,55TMh3hwoPkVqXSeB9ra0u,186.639,11,3,1,3,0.907,0.584,0.11,2.81e-06,0.113,-12.535,0.0376,0.369,129.765
A Fool for You,2tIKCiuJVDXreCVPxRNzq6,182.76,11,10,1,3,0.825,0.627,0.245,0.00171,0.0758,-7.318,0.0339,0.553,132.16
This Little Girl of Mine,6Ie43BUzyjDPdhXaTG4H2a,154.733,11,1,1,4,0.846,0.725,0.345,3.87e-06,0.146,-10.856,0.144,0.795,96.636
Hard Times (No One Knows Better Than I),07iAQNEojy9DiUKbIF78SJ,175.773,13,5,0,4,0.981,0.56,0.161,0.003,0.136,-12.981,0.0369,0.299,116.679
A Bit of Soul,4AgaOSrcMa7sENgTgEOUOz,139.933,23,0,1,4,0.867,0.685,0.297,0.0706,0.0974,-12.27,0.0408,0.415,93.136
Mary Ann,4bs1ABvDx6kANqwLLTZHUV,167.946,12,5,1,4,0.808,0.618,0.528,0.000163,0.112,-9.173,0.052,0.892,145.971
