Oh Boy!,67hwwxmDrx5UYmGRSm7bHw,128.96,51,9,1,4,0.75,0.533,0.556,0.0,0.194,-9.322,0.0416,0.876,96.501
Not Fade Away,6sBPjgvLZzHHrpxbBDjmdE,142.773,50,9,1,4,0.835,0.799,0.475,0.0,0.275,-13.142,0.0413,0.92,95.966
You've Got Love,3RtkmfJhy52py20AHjEIWb,127.76,20,9,1,4,0.77,0.652,0.391,0.0,0.0768,-10.618,0.0284,0.729,124.182
Maybe Baby,20UjAGdEjVb8DniNXvqHJy,122.6,50,9,1,4,0.708,0.607,0.477,0.0,0.253,-12.904,0.0333,0.887,136.614
It's Too Late,4BP6OKXDP989DJGxtTkPhS,143.973,21,4,1,4,0.546,0.553,0.197,0.0,0.427,-13.662,0.0318,0.542,71.634
Tell Me How,7CVnHOWIv5Pe5gFU8Tad3H,120.866,20,9,1,4,0.742,0.528,0.537,1.86e-06,0.0642,-12.713,0.03,0.916,156.974
That'll Be The Day,4UcHTV3TjlThmMlZgOG4Kr,136.893,31,9,1,4,0.466,0.624,0.457,0.0,0.276,-10.884,0.0325,0.901,126.588
I'm Lookin' For Someone To Love,6kl7TFtomn9m45VfiKUqmZ,118.466,25,9,1,4,0.781,0.375,0.617,0.0,0.355,-10.083,0.0768,0.794,177.791
An Empty Cup (And A Broken Date),3V1qmeFh0YV0WnB4CNnL8s,134.2,17,2,1,4,0.877,0.536,0.203,0.0,0.0703,-13.52,0.0286,0.551,90.177
Send Me Some Lovin',5jNBpHWWSGs4WTihjs5Qss,156.066,18,11,1,4,0.761,0.589,0.129,0.0,0.15,-15.453,0.0309,0.446,114.526
Last Night,3n2yRph72FsJe6NMp5mwN8,115.306,25,11,1,3,0.822,0.708,0.107,0.0,0.0876,-16.686,0.0351,0.509,111.099
Rock Me My Baby,7szZdsgoKUIEzwc3Q94rWx,111.266,19,4,1,4,0.628,0.629,0.556,0.0,0.12,-11.502,0.0399,0.844,102.797
