The Chronic - Intro,2JzfZbmEisqNrY5IYeVGIg,119.533,49,2,1,4,0.000396,0.386,0.75,1.01e-06,0.306,-7.134,0.195,0.729,88.022
Fuck Wit Dre Day (And Everybody's Celebratin'),04fX3oTJm5Zucg3Uf9aix0,292.186,65,7,1,4,0.088,0.75,0.706,0.0,0.535,-7.461,0.156,0.59,93.603
Let Me Ride,1pjDKRg5WddCDSlG5PXcKy,261.293,63,7,1,4,0.127,0.731,0.818,0.00636,0.233,-7.035,0.182,0.862,92.29
The Day The Niggaz Took Over,31T4fGwUSnDvZzhZeFLAaD,273.08,50,4,0,4,0.114,0.846,0.886,0.0,0.323,-7.29,0.222,0.66,93.577
"Nuthin' But A ""G"" Thang",4YtoipFgf4k0AfD17ZfD5X,238.466,74,11,0,4,0.00575,0.801,0.699,0.0,0.146,-8.18,0.279,0.655,94.605
Deeez Nuuuts,2L3H4mnx5bDMR695a0U0Hu,306.32,50,5,1,4,0.0315,0.745,0.797,0.0,0.0846,-7.575,0.222,0.502,93.59
Lil' Ghetto Boy,24Pwekj2yVugAIMAyoLfrJ,329.066,52,2,0,4,0.0973,0.776,0.704,0.0,0.387,-6.42,0.181,0.552,92.239
A Nigga Witta Gun,3DVR4Tx2HnNAKpRTCqrPjp,232.373,46,7,1,4,0.0576,0.697,0.914,9.58e-05,0.334,-6.115,0.215,0.571,175.016
Rat-Tat-Tat-Tat,200Z8XpLuLAPIr8H7Wo1Ej,228.946,47,4,1,4,0.0357,0.599,0.804,0.0,0.128,-8.11,0.413,0.422,172.142
The $20 Sack Pyramid,0Udf2GCNQFcoDJepfq5Rwi,173.266,42,11,1,3,0.687,0.591,0.669,0.0,0.973,-12.311,0.926,0.4,96.38
Lyrical Gangbang,2ORvF65hpTAoWY2ekP56ta,244.426,46,6,1,4,0.00327,0.815,0.832,0.0,0.132,-8.584,0.265,0.684,81.114
High Powered,4xwYyO9owAs4o2ruN9nbS8,164.186,44,7,1,4,0.00117,0.606,0.736,0.0,0.0509,-10.16,0.178,0.729,151.495
The Doctor's Office,5LxGbG31P2GBGMXMPfUb2Q,64.0,39,6,1,4,0.706,0.553,0.916,0.0,0.462,-13.121,0.721,0.668,75.243
Stranded On Death Row,4zRnEeAA8w9VWZ2DKYPJ3b,287.12,46,10,1,4,0.332,0.828,0.753,0.0,0.0826,-9.011,0.309,0.556,91.318
The Roach - The Chronic Outro,24osEZsCESWgs5WTzj0P98,276.906,42,11,0,4,0.127,0.506,0.486,3.04e-06,0.0864,-12.069,0.179,0.855,90.149
Bitches Ain't Shit,0JSCZdPOPR7d8Mfi09tIxU,288.56,60,7,1,4,0.0192,0.567,0.678,1.61e-06,0.113,-8.442,0.209,0.777,90.862
