Know Your Rights - Remastered,31l6t3Jq09uywRTVGbzant,220.906,44,3,1,4,0.22,0.814,0.964,1.77e-05,0.214,-7.538,0.0797,0.349,110.904
Car Jamming - Remastered,3QcqUffnkbQGWJlfyaT3yF,239.813,38,2,0,4,0.00681,0.691,0.729,0.0,0.119,-7.717,0.0412,0.81,92.769
Should I Stay or Should I Go - Remastered,39shmbIHICJ2Wxnk1fPSdz,188.986,79,2,1,4,0.079,0.742,0.833,0.0,0.384,-6.463,0.115,0.816,113.375
Rock the Casbah - Remastered,56KqaFSGTb7ifpt16t5Y1N,222.426,73,9,0,4,0.287,0.796,0.872,0.0,0.284,-6.722,0.0573,0.866,129.894
Red Angel Dragnet - Remastered,3AySFupxPGQWjauQfFXcr0,224.24,41,0,1,4,0.0323,0.759,0.729,0.0,0.275,-8.654,0.143,0.681,138.545
Straight to Hell - Remastered,2ax1vei61BzRGsEn6ckEdL,330.506,58,7,1,4,0.0466,0.802,0.595,1.14e-05,0.0695,-11.662,0.0607,0.708,90.273
Overpowered by Funk - Remastered,2KbnkNVzg8ubqK5wAXSxf1,292.026,38,11,0,4,0.113,0.778,0.829,0.000204,0.0351,-8.761,0.044,0.939,126.443
Atom Tan - Remastered,5rL2E6ZlMJYMdV799HumhZ,150.0,36,11,0,4,0.382,0.714,0.702,0.0,0.128,-9.021,0.0382,0.934,133.658
Sean Flynn - Remastered,4AWJmxQP5DK2mpQvKecaUB,271.133,35,2,1,4,0.346,0.383,0.471,0.386,0.092,-16.262,0.0829,0.387,187.192
Ghetto Defendant - Remastered,4WidRX7HuOreEGkQ6tKBBi,283.373,42,9,0,4,0.0966,0.7,0.579,0.0,0.0483,-9.813,0.0521,0.623,137.379
Inoculated City - Remastered,09dKenoVuQzPRQ8Anoo6we,162.0,36,2,1,4,0.121,0.866,0.726,0.0,0.159,-9.069,0.0609,0.673,132.45
Death is a Star - Remastered,4PY3mBItnv6YzN66Sq3Ci4,195.84,34,0,1,3,0.723,0.519,0.228,0.00319,0.108,-19.665,0.0426,0.508,119.328
