Intro,7lIr3vVhpDkU5mQEDcnA0S,19.133,7,6,1,3,0.237,0.713,0.331,0.0,0.51,-13.909,0.877,0.463,87.491
We Don't Care,0IW0qaeyxL5Et4UG2MrJKB,239.88,59,11,0,4,0.0142,0.595,0.754,0.0,0.247,-5.827,0.181,0.647,83.155
Graduation Day,7wL7Lb8Q3aYyq6gmRL0PZq,81.786,51,0,0,4,0.684,0.418,0.447,2.1e-06,0.414,-9.058,0.338,0.869,169.336
All Falls Down,5SkRLpaGtvYPhw02vZhQQ9,223.506,73,8,0,4,0.149,0.657,0.734,0.0,0.139,-4.832,0.484,0.434,91.03
I'll Fly Away,6MgGapP3EPFm9kYUvYBTZR,69.706,52,6,1,4,0.76,0.239,0.25,0.0,0.124,-11.414,0.0289,0.564,172.338
Spaceship,1ko2NuvWlQdxtNRc8QQzmT,324.226,59,5,0,3,0.503,0.507,0.753,0.0,0.573,-5.31,0.19,0.657,178.068
Jesus Walks,5g1vtHqi9uV7xtYeCcFOBx,193.733,69,3,0,4,0.614,0.637,0.834,0.0,0.317,-4.686,0.323,0.715,87.312
Never Let Me Down,34j4OxJxKznBs88cjSL2j9,324.44,58,11,0,4,0.423,0.459,0.816,0.0,0.169,-4.872,0.403,0.643,80.293
Get Em High,5b2FFKC64kxqcfaFnIZxoM,289.493,56,11,0,4,0.184,0.614,0.644,0.0,0.489,-5.672,0.373,0.649,84.788
Workout Plan,2a1JSfTePKhysdIif2bzut,46.173,48,1,1,4,0.785,0.715,0.288,0.0,0.688,-13.843,0.925,0.772,115.114
The New Workout Plan,1Vp4St7JcXaUoJcIahtf3L,322.8,60,2,1,4,0.00981,0.704,0.792,0.0,0.365,-4.831,0.198,0.646,118.022
Slow Jamz,3A4cpTBPaIQdtPFb5JxtaX,316.053,66,2,0,4,0.314,0.559,0.733,0.0,0.284,-5.659,0.171,0.611,145.115
Breathe In Breathe Out,4KFY4EEv9CN6ivrzD6vEvg,246.933,52,1,0,4,0.341,0.636,0.7,0.0,0.161,-3.099,0.421,0.924,88.817
School Spirit Skit 1,25mwJPzWVmS2yronBNQJF1,78.693,47,8,1,5,0.326,0.648,0.218,0.0,0.352,-15.108,0.95,0.642,164.25
School Spirit,1th3G3okofWlvGWAAR7Y4V,182.386,54,5,0,4,0.339,0.483,0.787,0.0,0.236,-5.422,0.21,0.592,84.81
School Spirit Skit 2,5MAY7XyW322jMwLDtBQgsZ,43.533,46,5,1,3,0.334,0.716,0.308,0.0,0.215,-12.629,0.925,0.83,128.412
Lil Jimmy Skit,4BhwlQ9mTwhFGXpQvP9JTV,53.64,45,10,1,4,0.803,0.64,0.279,0.0,0.375,-12.396,0.484,0.741,82.475
Two Words,62wtttQzoIA9HnNmGVd9Yq,266.213,54,6,1,4,0.0158,0.442,0.807,6.43e-06,0.217,-4.753,0.265,0.446,84.649
Through The Wire,4mmkhcEm1Ljy1U9nwtsxUo,221.226,69,7,1,4,0.00865,0.571,0.739,5.21e-06,0.158,-6.11,0.247,0.66,83.089
Family Business,5DBmXF7QO43Cuy9yqva116,278.893,59,1,1,4,0.139,0.744,0.524,0.0,0.392,-7.452,0.21,0.606,93.691
Last Call,7iOhWWYjhhQiXzF4o4HhXN,760.973,54,8,1,4,0.577,0.473,0.727,0.0,0.316,-6.843,0.356,0.854,83.212
