"Fingertips - Pt. 2 / Live At The Regal Theater, 1963",2lBO10Y6uDv25SZRBG6juX,191.573,23,0,1,4,0.57,0.323,0.89,0.247,0.332,-7.179,0.29,0.349,137.08
Uptight (Everything's Alright) - Single Version,4FUZeDtrT5fOyqw0MOWEiT,174.093,27,6,1,4,0.131,0.58,0.768,0.0,0.116,-4.659,0.0291,0.911,134.242
Hey Love,3PnnHmtzx6IF3cCQjSGtkk,163.573,25,0,1,4,0.701,0.653,0.492,0.0,0.128,-6.313,0.0235,0.668,89.367
I Was Made To Love Her,5GnDlr34Thqf3C5UrRUpWr,156.893,26,10,1,4,0.0275,0.336,0.679,0.0,0.0453,-5.977,0.0442,0.887,203.321
For Once In My Life,2bFJjM3FEL0qfcAm9WUpKz,170.04,29,6,1,4,0.207,0.587,0.695,0.0,0.0873,-6.412,0.0411,0.784,109.333
My Cherie Amour,7xRBX753jYx4UPFoHkq8US,172.693,28,6,1,4,0.139,0.557,0.635,1.39e-06,0.215,-6.888,0.025,0.488,101.08
"Signed, Sealed, Delivered (I'm Yours)",0SUn8NQdYxQEn8H536U2QF,159.6,29,5,1,4,0.0111,0.643,0.764,0.0,0.0472,-5.49,0.0323,0.827,109.067
You Are The Sunshine Of My Life - Single Version With Horns,1Qmbu67shyEmjBAaiDFePM,172.04,33,11,1,4,0.529,0.461,0.601,0.000156,0.136,-11.287,0.0401,0.905,132.198
Superstition - Single Version,1h2xVEoJORqrg71HocgqXd,245.493,77,8,1,4,0.038,0.633,0.634,0.0064,0.0385,-12.115,0.0725,0.872,100.499
Higher Ground - Single Version,1MGZXLbOtaHJv3vt2FtyVX,191.6,36,8,1,4,0.0564,0.708,0.845,0.000504,0.168,-10.004,0.0414,0.816,125.664
Living For The City,7MCnNALct4XnB1jCxV1sHk,445.173,29,11,1,4,0.0882,0.59,0.592,0.0,0.116,-9.972,0.0769,0.431,99.551
You Haven't Done Nothin',3vl7ybmxgPsAz3h3RsQJzx,204.0,25,10,0,4,0.268,0.745,0.646,1.64e-05,0.19,-9.766,0.0389,0.797,101.448
Boogie On Reggae Woman - Single Version,0XDHZW5GgsFI8LMGxpyDhC,251.866,31,10,0,4,0.267,0.899,0.806,0.0156,0.0392,-9.923,0.054,0.813,107.946
I Wish,51y5tGwXbfFCGfrtJvLAXS,249.693,29,10,0,4,0.108,0.818,0.702,5.33e-06,0.0663,-10.614,0.0548,0.905,105.873
Sir Duke,0dvnR86wsdc0WAKA5CWRBl,233.573,31,6,1,4,0.203,0.593,0.555,0.0,0.154,-10.082,0.0729,0.96,106.738
Master Blaster (Jammin') - Single Version,0w45bCTLJIa7ai6DVfAuyl,291.693,47,5,0,4,0.0408,0.879,0.508,0.000903,0.099,-11.126,0.0554,0.969,131.082
That Girl,5Ra27kxzD6LIISgszzFXNg,309.933,26,6,1,4,0.0861,0.783,0.643,1.08e-05,0.0933,-10.396,0.0428,0.891,106.971
Do I Do - Single Version,3ykoHa2tIGBtH7XZiYekWL,303.133,31,11,1,4,0.0839,0.705,0.863,1.04e-05,0.287,-10.277,0.0515,0.857,113.296
I Just Called To Say I Love You - Single Version,2W8J9Gfw5q8tSvsuWSnMBl,262.36,35,1,1,4,0.213,0.743,0.546,0.0,0.0837,-9.088,0.0237,0.673,113.553
Overjoyed,5p7FRnhFWX5Qxq6vpcfWfB,224.24,26,10,1,4,0.46,0.319,0.474,0.0,0.129,-8.394,0.0282,0.184,82.533
Part-Time Lover - Single Version,798bKohvGZenetnHsKzUC6,222.733,54,10,0,4,0.165,0.685,0.823,0.0,0.0796,-6.901,0.0524,0.947,174.491
