Break on Through (To the Other Side),6ToM0uwxtPKo9CMpbPGYvM,145.866,72,9,1,4,0.2,0.421,0.751,0.0,0.17,-9.584,0.0472,0.789,89.839
Soul Kitchen,2Xdc6qyaFBJZ8QW1KhpVci,213.0,63,9,1,4,0.33,0.679,0.443,0.0,0.0533,-7.376,0.0394,0.609,115.843
The Crystal Ship,0gWvVB4bGvADocoPMEDy3K,152.0,57,10,1,4,0.797,0.313,0.42,2.35e-06,0.126,-9.806,0.0303,0.339,178.711
Twentieth Century Fox,7mc2TP4Vzuyw2vNf1bLW9f,151.666,50,9,1,4,0.316,0.583,0.675,0.0,0.0472,-7.126,0.0318,0.693,114.208
Alabama Song (Whisky Bar),0JNZGIavoUrdup1NsgJOQs,197.4,57,5,1,4,0.543,0.568,0.645,0.0,0.191,-8.363,0.0416,0.901,170.676
Light My Fire,5uvosCdMlFdTXhoazkTI5R,429.76,74,3,0,4,0.369,0.413,0.725,2.16e-05,0.0905,-5.787,0.0324,0.44,124.618
Back Door Man,03By6gD02qhtvIQiK8KidK,212.426,55,9,1,4,0.287,0.476,0.612,0.000252,0.0877,-7.01,0.0335,0.909,177.233
I Looked at You,6vCLIvOIabRk1XQfMb6RXi,140.16,48,0,1,4,0.0257,0.396,0.707,0.0,0.11,-7.989,0.0708,0.843,148.814
End of the Night,09ezgACZuwWZt6CtQSSLRG,170.693,53,11,0,4,0.902,0.41,0.218,0.000396,0.135,-12.544,0.0293,0.0755,72.081
Take It as It Comes,4pxHVL0syMQwYK3BxDaTIs,134.933,49,4,0,4,0.00243,0.414,0.554,0.0,0.18,-7.68,0.0328,0.531,149.244
The End,5UgT7w6zVZjP3oyawMzbiK,703.373,61,0,1,4,0.163,0.347,0.302,9.17e-05,0.14,-12.104,0.0291,0.0332,105.702
