The End Of The Innocence,3NWcFiL6oCEagrFiTdDr1m,315.306,60,8,1,4,0.306,0.623,0.425,8.65e-05,0.108,-13.045,0.0291,0.392,116.593
How Bad Do You Want It?,6KIbBxMKqXxZeK8wOtRFiX,226.306,26,10,1,4,0.208,0.711,0.879,1.41e-05,0.0494,-9.325,0.0353,0.653,118.199
I Will Not Go Quietly,4MWgSait9W0l0YWtvkLULV,342.333,29,4,0,4,0.343,0.636,0.877,8.1e-06,0.632,-9.737,0.0512,0.276,105.021
The Last Worthless Evening,5xFXOthzXYku3MvAlc5EKg,362.466,46,5,1,4,0.212,0.731,0.505,0.0,0.0409,-11.334,0.0262,0.396,99.99
New York Minute,2jxqu3v4AZAhUNvdAbDGet,395.4,55,8,0,4,0.334,0.551,0.289,0.0,0.0379,-12.214,0.0262,0.117,132.133
Shangri-La,0Ep6dk5FKyCpgc87zY2VvW,295.866,24,7,1,4,0.129,0.768,0.752,0.0,0.0604,-9.085,0.0374,0.742,101.366
Little Tin God,6WCNbxYiFi7nznI9FMEQ5X,281.533,27,4,1,4,0.128,0.683,0.608,0.0,0.315,-10.866,0.0294,0.769,151.828
Gimme What You Got,5Z89YulVLxl2oGPl6gyeJM,372.6,23,0,1,4,0.00884,0.654,0.611,9.86e-06,0.0407,-10.719,0.0345,0.768,116.572
If Dirt Were Dollars,53bbrhuHZZOl61P7LsIOtb,272.733,26,4,0,4,0.0819,0.695,0.863,0.0,0.18,-9.96,0.028,0.863,102.883
The Heart Of The Matter,7jZ4UZAmg006Qx3rVuF7JI,322.6,58,2,1,4,0.201,0.579,0.529,0.0,0.231,-11.548,0.025,0.38,88.156
