Let the Good Times Roll,1IV8T9xWxJc0tSEFJit25F,171.773,46,7,1,4,0.66,0.585,0.454,0.0,0.586,-9.366,0.288,0.654,103.573
It Had to Be You,76MSB9fAR5jXVcBXdK5xMy,164.666,54,3,1,4,0.823,0.505,0.17,2.87e-05,0.0619,-12.848,0.0325,0.305,82.888
Alexander's Ragtime Band,5U16EPfaojTZnFpY5LaGNk,174.44,28,8,1,4,0.397,0.367,0.625,0.0,0.217,-10.086,0.109,0.798,150.885
Two Years of Torture,41EsSt3FdhC9asFD7GRDBv,203.733,24,10,1,4,0.738,0.488,0.264,2.89e-06,0.0672,-12.979,0.0381,0.44,76.92
When Your Lover Has Gone,35xK16DKd81nlo1y0lXR1L,169.32,25,7,1,4,0.818,0.552,0.161,0.0,0.12,-14.027,0.0353,0.233,105.826
Deed I Do,31l3ePVWG2fXl3fw5rwWiT,148.4,34,7,0,4,0.659,0.489,0.369,0.0,0.0987,-9.968,0.0466,0.614,117.656
Just for a Thrill,696ASsF27uNopkRK4TKMhV,205.773,26,8,1,4,0.907,0.307,0.224,6.99e-05,0.142,-12.616,0.0348,0.392,57.994
You Won't Let Me Go,33QprvgdcPnXA8R5wUwmdx,201.399,25,1,1,4,0.919,0.334,0.154,0.00069,0.107,-15.56,0.0341,0.36,62.377
Tell Me You'll Wait for Me,2w8U8GnI4VvXfEiZFHRm8S,205.133,23,5,0,4,0.701,0.356,0.155,9.58e-06,0.338,-16.727,0.0348,0.242,116.306
Don't Let the Sun Catch You Cryin',3pEwXiu1AVstyAluolJnW7,225.333,39,5,1,3,0.63,0.197,0.316,6.32e-05,0.125,-10.559,0.0366,0.248,181.348
Am I Blue,066an408paSNQBAsAxWtMJ,219.96,42,8,1,3,0.909,0.233,0.152,0.000583,0.12,-16.407,0.034,0.316,137.214
Come Rain or Come Shine,2htH7r8oqqEwp3BB6oh2cU,222.733,54,3,1,4,0.767,0.357,0.216,4.31e-06,0.531,-12.833,0.0343,0.283,119.57
