Christine’s Tune,0teWfbvQtUY4dnnZu1yT4E,182.733,37,3,1,4,0.000576,0.46,0.596,0.39,0.295,-13.037,0.042,0.833,98.426
Sin City,5bfvQG4NGiTFfUxPdMKrUd,249.333,41,3,1,4,0.00761,0.342,0.346,0.000773,0.077,-15.094,0.0363,0.539,129.416
Do Right Woman,1daFdPmSkEUNOX3uATK2fc,237.4,34,2,1,4,0.375,0.428,0.291,0.00187,0.26,-13.547,0.0263,0.466,94.502
Dark End Of The Street,1cmSVr6fl5Hvb2worddWrH,230.266,40,7,1,4,0.243,0.421,0.497,0.0175,0.153,-11.542,0.0272,0.59,79.008
My Uncle,6XdX1Y3Vs7c2mRkHDZyBwH,157.2,31,2,1,4,0.249,0.54,0.634,0.00736,0.025,-11.723,0.0293,0.939,96.043
Wheels,0yAqtkTUGrkzHHTmoe5N6s,182.8,33,7,1,4,0.123,0.569,0.391,0.0249,0.337,-12.247,0.0323,0.678,120.334
Juanita,71d9N0jFna02VXUERcR0jp,150.16,28,9,1,3,0.343,0.559,0.368,0.9,0.0667,-11.978,0.0263,0.665,95.821
Hot Burrito #1,0fRAGPWGKsntkIB2uZ9zkd,217.333,46,5,1,4,0.00515,0.395,0.428,0.0262,0.165,-12.818,0.0305,0.352,156.979
Hot Burrito #2,5mWMeUjGQHrVAqwsBlKQIH,197.2,31,0,1,4,0.00605,0.331,0.683,0.0216,0.128,-11.261,0.036,0.56,95.714
Do You Know How It Feels,7olD0K7CDQkbxH3G57k52l,128.173,27,2,1,4,0.348,0.411,0.364,0.00316,0.132,-13.49,0.0319,0.715,109.857
Hippie Boy,27RFvPkNAMfT8tx3qb1p6h,295.96,27,0,1,1,0.0696,0.371,0.444,1.36e-05,0.194,-13.811,0.0357,0.442,98.733
