Maybellene - Single Version,1w6ktNEqeJ9dV8JbD6Ul0A,140.933,20,0,1,4,0.818,0.761,0.794,0.0,0.15,-11.436,0.0799,0.725,117.499
Thirty Days - Single Version,2ktUYcjntBGW3fxoohSarw,142.04,17,6,1,4,0.725,0.68,0.801,0.0,0.131,-11.2,0.0804,0.768,116.559
You Can't Catch Me - Single Version,4xPPWZKEMw6u2cfmqcswSP,162.586,37,8,1,4,0.816,0.816,0.701,1.67e-05,0.0656,-11.097,0.0564,0.885,122.537
Too Much Monkey Business - Single Version,0NLD3qP5ihDc0qBnyVELX5,173.04,18,5,1,4,0.749,0.664,0.739,0.0,0.17,-10.086,0.0689,0.904,93.584
Brown Eyed Handsome Man - Single Version,6AtFcmgxfnnvRs7M3IxIJ3,135.8,18,3,1,4,0.95,0.527,0.85,3.07e-05,0.123,-11.132,0.16,0.897,183.046
Roll Over Beethoven - Single Version,4JWhiUX4tpEbioWCkJVuur,142.333,18,8,1,4,0.825,0.714,0.709,0.0,0.276,-13.894,0.179,0.817,92.904
Havana Moon - Single Version,36j4kQxKuxWSa9IPWdb3P6,185.706,16,1,1,4,0.784,0.798,0.193,0.0,0.129,-16.336,0.0992,0.746,117.769
School Day (Ring Ring Goes The Bell) - Single Version,6T80EQ5RUc77AnqW3CJlWt,160.333,18,7,1,4,0.774,0.736,0.769,2.34e-06,0.157,-10.202,0.0421,0.965,131.058
Rock And Roll Music - 1958 Single Version,0U8f3MDySL3m7wetYIOWVJ,150.466,16,8,1,4,0.507,0.548,0.635,3.72e-05,0.0854,-10.909,0.0459,0.854,166.265
Oh Baby Doll - 1957 Single Version,00CGJqoBguFw5ov7BAYXSM,155.893,15,8,1,4,0.697,0.774,0.756,0.000412,0.086,-10.816,0.0301,0.967,130.254
Reelin' And Rockin' - Single Version,5mvU94cwL70fefbYeU1q1m,194.226,16,0,1,4,0.782,0.628,0.548,0.0,0.0832,-12.831,0.0609,0.958,170.712
Sweet Little Sixteen - Demo,5I1DJScoWmcVNDx1biDDfv,180.026,16,1,1,4,0.628,0.486,0.612,0.0,0.205,-9.899,0.0348,0.963,175.723
Johnny B. Goode,623O35WnC1SGOI5vXEO7bX,158.56,19,10,1,4,0.776,0.493,0.744,6.43e-06,0.296,-11.22,0.0522,0.968,170.388
Around And Around - Single Version,6zHqSNCV90zA1Isrt2iIie,159.906,14,11,1,4,0.787,0.742,0.455,6.06e-06,0.0768,-11.412,0.0291,0.961,87.689
Carol - Single Version,6kdp0tKfbFKzWtqK5bBaRW,166.4,15,0,1,4,0.814,0.64,0.858,0.000461,0.336,-10.914,0.0355,0.863,157.385
Beautiful Delilah - Single Version,7nQ757lcDRUlX4F64yXmEg,127.6,19,1,1,4,0.777,0.804,0.672,2.02e-05,0.0747,-12.503,0.0488,0.947,109.508
"Memphis, Tennessee",2GppZnbORVXdh3cCd6Wnrs,131.906,16,8,0,4,0.764,0.791,0.271,1.03e-06,0.126,-14.327,0.0717,0.777,97.976
Sweet Little Rock 'N' Roller - Single Version,1WlG0H9WZiuUHHJ3hU7Skx,140.24,14,0,1,4,0.797,0.607,0.732,0.00042,0.439,-11.121,0.0621,0.918,154.928
Little Queenie - Single Version,4QPlNmB7Rs0UmGRzvMz2mr,160.666,15,7,0,4,0.795,0.665,0.814,0.0,0.329,-11.227,0.0917,0.753,151.489
Almost Grown - Single Version,2YvCZWUrGT7j1vPOXHNucV,139.106,15,0,1,4,0.777,0.542,0.615,0.0,0.0724,-10.233,0.0802,0.83,151.977
Back In The U.S.A.,6zHFqetCFMiy51ODlOMMDt,145.866,16,8,1,4,0.76,0.578,0.692,2.48e-05,0.0681,-11.504,0.0473,0.969,170.489
Let It Rock - Single Version,50ExoobApzhEhDRMwATJ5Z,105.866,14,10,1,4,0.782,0.65,0.829,1.08e-06,0.329,-9.855,0.044,0.964,164.692
Bye Bye Johnny - Single Version,3OBzoftKALPeusWW1xKKgB,123.173,13,5,1,4,0.699,0.6,0.655,0.363,0.0854,-10.786,0.0351,0.975,148.49
I'm Talking About You - Single Version,34JStuehVcDbtVFF9mNyF9,105.24,13,0,1,4,0.668,0.593,0.597,0.000382,0.167,-11.31,0.0385,0.966,155.232
Come On - Single Version,7v6h9gbFPfU8zw2QADbEXg,108.2,14,2,1,4,0.588,0.631,0.693,0.0,0.0982,-9.879,0.0526,0.971,152.662
Nadine - Single Version,2NzqM7E2oC9p7vAS0TNt5z,153.4,26,5,0,4,0.779,0.709,0.698,7.97e-05,0.0933,-11.105,0.0359,0.97,141.151
No Particular Place To Go - Single Version,6LZL320QgrYsZSIT2xwzIg,160.706,32,7,1,4,0.698,0.494,0.767,0.000909,0.162,-10.615,0.0618,0.981,129.736
I Want To Be Your Driver,7liB0y8lId1To8KKMbzSct,133.106,13,8,1,4,0.506,0.622,0.769,0.000244,0.27,-10.756,0.0415,0.965,94.38
