You Can Get It If You Really Want,1Pao4DTLMB4gJPTnqmLgSQ,158.893,59,1,1,4,0.208,0.895,0.571,0.0,0.0781,-8.636,0.0501,0.933,128.171
Draw Your Brakes,77gwQr8zQG0JYqlG1F1efc,175.906,34,5,1,4,0.00262,0.82,0.43,0.0,0.179,-11.155,0.157,0.665,82.083
Rivers Of Babylon,5b7bnzBT8F7SMg5nwOolbk,255.266,26,7,1,4,0.568,0.746,0.457,0.00105,0.108,-10.538,0.0392,0.857,106.604
Many Rivers To Cross,17pU2sl4dRnG3pSex9DNb0,180.266,34,5,1,4,0.628,0.439,0.271,0.0023,0.149,-10.226,0.0574,0.159,137.616
Sweet And Dandy,1CZ6EPt26Yx3CXOkuPApyj,179.8,24,3,1,4,0.232,0.653,0.635,0.0,0.305,-6.714,0.134,0.781,156.219
The Harder They Come,2XIr0KTybGQsC1SFfeaZhI,219.906,58,1,1,4,0.634,0.679,0.575,0.0,0.165,-8.037,0.0715,0.79,102.588
Johnny Too Bad,5BftfJXqAWNRkgxASelSrd,183.2,44,7,1,4,0.106,0.764,0.606,0.179,0.267,-8.754,0.155,0.717,165.795
007 (Shanty Town),4d8MRJsFQjAesZgTbfr6Jb,161.173,0,8,1,4,0.616,0.918,0.451,0.000146,0.135,-8.971,0.0498,0.92,97.155
Pressure Drop,7xwYJuQaNzwqAXnbce1doD,223.026,25,8,1,4,0.271,0.67,0.637,0.0,0.0438,-8.832,0.0325,0.984,147.498
Sitting In Limbo,0lMyBUPFMCXZOILHe4uFwM,295.373,39,2,1,4,0.122,0.59,0.656,0.0,0.123,-9.265,0.0508,0.729,164.664
You Can Get It If You Really Want - Alternate Version,0V7vqg4EA2rjxK55pdm1bS,162.333,26,1,1,4,0.389,0.911,0.659,1.43e-05,0.354,-8.342,0.0444,0.93,128.012
The Harder They Come,7l5znwq55EO9wwo7UvsAWz,187.666,36,1,1,4,0.406,0.729,0.686,9.35e-05,0.201,-7.518,0.0935,0.76,99.373
