Holiday,4cUSgvW6wlxqzzxE3P4voV,245.773,47,11,0,4,0.0145,0.816,0.65,0.0105,0.103,-9.576,0.0497,0.723,117.551
Lucky Star - US ReMix Version,4ZMVDX8tavcJQeqH31qf13,435.76,41,4,0,4,0.0818,0.786,0.528,0.000109,0.261,-11.679,0.0508,0.92,117.381
Borderline - Remix,0WeATn9QzAPOyR53O3VDTJ,317.933,43,7,1,4,0.333,0.776,0.772,0.000703,0.0829,-10.352,0.039,0.498,119.465
Like a Virgin,22VWmcVQrYqHT4exHD6mMF,191.133,47,1,1,4,0.246,0.806,0.637,0.00102,0.0842,-7.876,0.0385,0.962,119.564
Material Girl,0e1VL3FZmkgjKQ7wNmIHNc,233.44,45,0,1,4,0.113,0.734,0.853,0.00011,0.0464,-7.697,0.0353,0.977,134.523
Crazy for You - Edit,6G7PVlifniapyhDCmWS2VM,225.626,55,9,1,4,0.168,0.672,0.549,0.0,0.102,-11.93,0.029,0.588,95.01
Into the Groove - Edit,5CxiVaZ6VzP8XVJ8vcBY40,249.8,50,5,0,4,0.0237,0.686,0.714,0.0012,0.066,-9.533,0.0385,0.706,116.6
Live to Tell,4osrEm2iY3QcTUcQuFUtfW,318.773,46,5,1,4,0.104,0.627,0.363,3.52e-06,0.127,-12.368,0.026,0.259,110.07
Papa Don't Preach,7u4YYDqgqEu7etjfwWy3u8,249.426,43,5,0,4,0.459,0.811,0.816,0.0,0.0543,-8.423,0.0344,0.944,121.915
Open Your Heart,1AMZVcZvuPKqxm822W8PGV,231.133,42,5,1,4,0.0158,0.671,0.752,0.0,0.103,-10.03,0.0418,0.847,113.065
La Isla Bonita - Remix,5g7xZ7eoCpNt4Zm2UbE2U5,227.973,44,1,0,4,0.101,0.648,0.66,0.0,0.0717,-10.841,0.0348,0.89,100.021
Like a Prayer,14p4jbULrRxZvnSt4NDSEs,351.56,45,0,1,4,0.018,0.705,0.693,1.21e-06,0.441,-10.122,0.0455,0.444,111.872
Express Yourself,09rZ7xC4mioI3HQBpyxpi3,244.173,43,7,1,4,0.00306,0.697,0.765,0.000105,0.125,-9.158,0.0505,0.626,115.496
Cherish,6WjrgHvISFS0Oj3vk3XLiE,232.626,40,2,1,4,0.328,0.678,0.783,0.000133,0.047,-8.288,0.0478,0.802,132.017
Vogue,7j5TIXPi0cCbSSqItmbyZy,317.08,57,6,1,4,0.00348,0.748,0.84,0.00647,0.44,-7.701,0.0421,0.304,115.997
Justify My Love,6NBGabiAuQklrfkufcOqlN,302.84,43,1,1,4,0.00213,0.698,0.662,0.703,0.047,-12.58,0.111,0.503,99.661
Rescue Me,0n8sO6vHx3SkVEn2pjaqV9,331.733,40,1,1,4,0.0201,0.725,0.652,6.76e-05,0.108,-10.017,0.05,0.355,117.946
