Awungilobolele,5quaCcD9hI1RVGWu4kdJOH,229.866,25,10,0,4,0.205,0.584,0.801,1.29e-05,0.326,-10.7,0.0908,0.804,84.198
Holotelani,1ZMCbg1gA3nXTft3YTowez,239.306,25,7,1,4,0.558,0.706,0.486,0.0,0.196,-12.224,0.0747,0.893,64.544
Qhude Manikiniki,0DHGLbppF7EEKIg7QCDjgW,233.533,24,5,1,4,0.0872,0.624,0.808,0.000373,0.0891,-11.926,0.0604,0.882,96.978
Indoda Yejazi Elimnyama,16waRe4ijQZ0DZkRsOSMOj,235.093,23,1,1,4,0.106,0.788,0.654,0.0,0.121,-12.503,0.0922,0.827,125.704
Emthonjeni Womculo,6n2ENy8WAYgND8rkPCSsmI,224.533,22,9,1,4,0.00703,0.71,0.599,3.34e-06,0.0748,-13.497,0.0517,0.846,111.337
Sobabamba,1mInGDZXrpHMlGujJddzCO,219.906,22,8,1,4,0.225,0.518,0.691,0.978,0.0984,-13.095,0.0697,0.966,82.563
Qhwayilahle,7j00ryki0oH7UtRc7xkBgV,258.399,21,10,0,4,0.136,0.686,0.596,0.0,0.221,-14.148,0.0544,0.727,102.55
Thul'ulalele,2hKeK4u9n8TyLVb07x8mFQ,220.76,21,8,1,4,0.0673,0.652,0.698,0.0,0.257,-12.83,0.362,0.785,99.786
Sini Lindile,61OnrcMF6mKDbhAO6Zq1Ez,201.4,21,5,1,4,0.249,0.748,0.575,0.0,0.0733,-13.016,0.0511,0.914,112.659
Ngicabange Ngaqeda,59dCBP34RgJb9l4nJO2dkg,183.933,21,8,1,4,0.00785,0.639,0.714,0.132,0.0977,-14.479,0.144,0.941,103.858
Joyce No. 2,2Xz2mUNInIqRRYWWBY3zzj,189.44,20,9,1,4,0.161,0.657,0.696,0.874,0.0892,-12.4,0.0391,0.986,141.927
Nansi Imali,3oKXHUuIjXlAzrhmdIibUn,314.826,24,0,1,4,0.769,0.597,0.276,0.0,0.645,-16.466,0.534,0.652,118.348
