Where The Streets Have No Name - Remastered,4qgZs0RNjdzKAS22lP0QjY,337.505,66,2,1,4,0.00976,0.49,0.724,0.0046,0.159,-9.581,0.0366,0.292,125.812
I Still Haven't Found What I'm Looking For,6wpGqhRvJGNNXwWlPmkMyO,277.476,79,1,1,4,0.0135,0.564,0.774,0.00191,0.0861,-9.424,0.0368,0.657,100.894
With Or Without You - Remastered,6ADSaE87h8Y3lccZlBJdXH,295.515,79,2,1,4,0.000202,0.54,0.429,0.355,0.141,-11.822,0.0285,0.113,110.171
Bullet The Blue Sky,12w7q5JN7tf22TzQtQiiBN,271.546,55,8,1,4,0.00735,0.364,0.638,0.399,0.133,-10.24,0.0441,0.451,152.509
Running To Stand Still,4MLPCRYNhDIKcRjzS54ceu,257.365,56,2,1,4,0.861,0.537,0.199,0.0259,0.334,-18.726,0.0287,0.229,94.634
Red Hill Mining Town,2G4F5Fc0DUFkkODwhWnbmt,292.845,49,0,1,4,0.153,0.335,0.68,0.00272,0.222,-9.1,0.0343,0.377,137.152
In God's Country,1AQYE6CcYKlzM8e9Df5i1g,176.596,55,2,1,4,0.0071,0.497,0.704,6.69e-05,0.783,-8.085,0.0324,0.607,125.919
Trip Through Your Wires,6yXoCR2tdhuqClB4HyxzOq,211.812,43,0,1,3,0.00142,0.44,0.701,0.00715,0.075,-7.69,0.0327,0.489,110.641
One Tree Hill,3w3qWhplVQcO5aGU6Ipdhq,322.168,49,5,1,4,0.23,0.596,0.581,0.107,0.142,-10.532,0.0365,0.248,123.213
Exit,5I5XfaTmAxWlJzg8Eynjby,253.029,42,2,1,4,0.0315,0.295,0.308,0.785,0.0906,-15.332,0.041,0.0392,117.932
Mothers Of The Disappeared,0hyTCepHLrkjWBtczMxUxZ,314.45,42,9,1,4,0.121,0.524,0.25,0.863,0.267,-20.571,0.033,0.0399,103.568
Where The Streets Have No Name - Live,7zNI77Hq75Ne7JQg2efwAs,390.407,46,6,1,4,0.0255,0.373,0.857,0.00092,0.983,-7.891,0.0729,0.139,128.1
I Will Follow - Live,6sPhFkiaV0HNM7daKybHpe,238.895,41,3,0,4,0.00123,0.234,0.902,1e-05,0.957,-7.353,0.0581,0.49,140.236
Trip Through Your Wires - Live,5KE3eRamgPx3VpY77uTiYo,225.984,38,11,1,3,0.00466,0.401,0.871,0.0,0.989,-8.596,0.046,0.457,114.011
Medley: I Still Haven’t Found What I’m Looking For / Exodus - Live,6O9tZdjb9TneFWsqT8KCYW,351.028,40,11,1,4,0.146,0.417,0.778,0.0,0.986,-9.056,0.0391,0.338,99.831
MLK - Live,3RxrdgLVyENtIesgO7M0yJ,122.267,38,6,1,4,0.672,0.125,0.306,0.00241,0.822,-12.791,0.0327,0.0703,147.847
Bullet The Blue Sky - Live,7wRIOehAeJMt2l28GS5nas,347.756,38,8,1,4,0.0244,0.38,0.738,0.0229,0.432,-10.737,0.0539,0.369,77.464
Running To Stand Still - Live,6BAEDwFryXaDb3FigX8V56,285.154,39,1,1,4,0.268,0.202,0.414,0.00458,0.851,-11.085,0.0333,0.0988,101.504
In God’s Country - Live,5J5XcY7gQahOXVjkvSOIok,169.376,38,3,0,4,0.00336,0.389,0.925,1.9e-06,0.565,-7.757,0.0538,0.63,130.673
Sunday Bloody Sunday - Live,3Dm4bpRoGKlmfd98Qp7cVK,253.293,42,6,1,4,0.00526,0.393,0.908,0.0,0.963,-7.646,0.0413,0.463,108.977
Medley: Exit / Gloria - Live,4RLSGyLy3rTcVR3VxSRnuZ,279.958,38,11,1,4,0.00633,0.263,0.683,0.00979,0.984,-8.143,0.038,0.0691,128.268
October - Live,0g0jbM2QWWDZzWsR0TuqHa,125.344,37,9,0,5,0.83,0.261,0.293,0.721,0.74,-13.238,0.0329,0.0421,127.702
New Year’s Day - Live,7tzlESsZd2CknwKcUt1CPt,284.495,40,8,0,4,0.00328,0.426,0.917,0.0119,0.492,-7.675,0.0344,0.43,139.437
Pride (In The Name Of Love) - Live,7ryXpbmZUeuzCEalTPJaxg,293.809,41,10,0,4,0.0188,0.432,0.938,0.00508,0.8,-8.499,0.0561,0.427,109.9
With Or Without You - Live,10ZF1VmBc8t5IA7kj57PKD,328.099,43,1,1,4,0.00078,0.51,0.719,0.131,0.992,-9.275,0.0314,0.175,111.083
Party Girl - Live,2XOc1j3fe2jAer2dFkUY3z,203.81,37,10,0,4,0.013,0.337,0.754,1.07e-06,0.519,-9.386,0.0514,0.549,151.88
I Still Haven’t Found What I’m Looking For - Live / Choir Version,1Jt3AC8MAqjoOYMWEj1r3N,353.562,40,11,1,4,0.577,0.367,0.651,2.67e-06,0.754,-9.067,0.038,0.341,102.416
“40” - Live,7oxLbNqm9xz5fUyCJXjgbn,351.564,37,8,1,4,0.0349,0.371,0.773,0.0428,0.98,-9.452,0.0412,0.311,145.222
One Tree Hill - St Francis Hotel Remix,0PaBdiB0OXcA1vVBuIObQ7,257.333,35,5,1,4,0.415,0.27,0.366,0.227,0.12,-12.526,0.0381,0.0752,123.216
Bullet The Blue Sky - Jacknife Lee Remix,3kMZB8spUvrT5XeNWYcegE,363.093,33,8,1,4,0.0235,0.448,0.395,0.814,0.172,-12.154,0.0296,0.0851,156.093
Running To Stand Still - Daniel Lanois Remix,7gAYF4ZPFjKYEIeFo9SvMI,280.92,33,2,1,4,0.589,0.475,0.119,0.649,0.0965,-21.728,0.0394,0.0805,93.982
Red Hill Mining Town - Steve Lillywhite 2017 Mix,4tRgxIAzFBXVkf0qxBjuh9,293.226,36,0,1,4,0.0131,0.356,0.551,0.00717,0.276,-9.722,0.0323,0.18,136.348
With Or Without You - Daniel Lanois Remix,1PDflzOoX3JrWvwl72F99M,304.101,36,11,0,4,0.127,0.602,0.428,0.588,0.139,-16.335,0.0391,0.0478,110.141
Where The Streets Have No Name - Flood Remix,5K2Z2hmA4RL5LrBqt9ueki,405.098,32,2,1,4,0.79,0.224,0.375,0.841,0.38,-14.727,0.0377,0.147,125.801
Luminous Times (Hold On To Love),3E5fsWGO0KfweZMXGuwqLV,274.953,35,0,1,4,0.0542,0.173,0.476,0.314,0.113,-13.078,0.0448,0.151,71.618
Walk To The Water,7zY8bga67NNZV4wceiSoKl,289.196,35,4,0,4,0.298,0.521,0.507,0.0214,0.0722,-12.235,0.0334,0.438,155.182
Spanish Eyes,55BFeUPXy3ZCP5B6Rsddv7,196.3,37,9,0,4,0.0721,0.466,0.741,4.63e-05,0.0656,-8.441,0.0416,0.389,132.331
Deep In The Heart,7syajly441P4UBTEhmZDkx,271.213,33,0,1,4,0.397,0.495,0.556,0.159,0.211,-12.932,0.0287,0.862,143.793
