Victoria - 2020 - Remaster,0c51Z3vFWReGLq4Ka9dvxm,219.373,12,7,1,4,0.109,0.492,0.712,0.000746,0.0741,-10.227,0.0441,0.747,142.801
The Village Green Preservation Society - 2020 - Remaster,7zHHtHxRxsWO7otUa6Erxq,168.413,10,7,1,4,0.604,0.548,0.885,0.0,0.149,-10.105,0.0738,0.763,97.426
Berkeley Mews - 2020 - Remaster,7c0syswIkm0hTlOv4pAvtD,159.659,10,5,1,4,0.399,0.533,0.618,0.0,0.227,-9.929,0.0343,0.622,124.373
Holiday in Waikiki - 2020 - Remaster,5JNniA7oCkwjkxcjOBIUvI,166.135,10,4,1,4,0.382,0.464,0.683,8.65e-05,0.402,-10.193,0.0713,0.67,98.89
Willesden Green - 2020 - Remaster,0ZCqqtZ9Ge95OKKoer2lVx,146.86,12,4,1,4,0.479,0.632,0.498,0.389,0.108,-11.227,0.0432,0.846,134.929
This Is Where I Belong - 2020 - Remaster,4SQvYpd7mAHuDUty9FK3ym,145.342,10,7,1,4,0.153,0.409,0.713,8.39e-06,0.0689,-10.041,0.0319,0.681,111.483
Waterloo Sunset - 2020 - Remaster,1gS0MMc0NSeYZj3WS98FEm,198.919,11,1,0,4,0.464,0.552,0.455,0.0,0.112,-12.413,0.0267,0.426,107.263
Lola - 2020 - Remaster,4qqywA3WsF9za3FLmakplL,244.142,10,9,1,4,0.431,0.453,0.817,0.116,0.104,-8.912,0.0364,0.928,151.741
Mindless Child of Motherhood - 2020 - Remaster,1oNhe9rrmaMSY7icWL85Oi,192.158,9,0,1,1,0.0308,0.397,0.605,0.0,0.177,-7.504,0.0288,0.74,136.86
Polly - 2020 - Remaster,7w2kMueVAC8r9PDmo0vRr0,171.004,8,7,1,4,0.598,0.68,0.737,1.9e-05,0.0995,-9.336,0.0466,0.928,115.437
Big Black Smoke - 2020 - Remaster,7eZ18FtCadzPdIYRZuDqId,156.972,9,2,1,4,0.0641,0.33,0.836,0.0,0.684,-9.011,0.115,0.681,163.447
Susannah's Still Alive - 2020 - Remaster,2gzAVhdlGxdD3sBi5SGwrz,141.605,8,2,1,4,0.0466,0.508,0.65,0.0,0.0868,-12.32,0.0408,0.658,111.016
She's Got Everything - 2020 - Remaster,3hY6o6Ff4FBRI0ooRx8eHu,189.933,9,0,1,4,0.0937,0.548,0.674,0.0,0.0697,-11.307,0.0718,0.798,145.544
Days - 2020 - Remaster,1aBA1pDxilXWpD6mrcfWNy,170.261,9,2,1,4,0.0381,0.515,0.723,0.00828,0.123,-10.263,0.0274,0.841,100.634
David Watts - 2020 - Remaster,3qrPB1nH9z1vKoDd10sKOk,161.213,9,2,1,4,0.575,0.578,0.756,4.91e-06,0.381,-9.92,0.0335,0.849,140.817
Dead End Street - 2020 - Remaster,0DTkA9NQ6UPXg8lUjWpnUn,206.123,9,9,0,4,0.87,0.599,0.621,0.0122,0.138,-9.234,0.0573,0.484,123.983
Shangri-La - 2020 - Remaster,2mmfh3bxEEvqzXa2EnfdJl,318.137,9,5,1,4,0.534,0.384,0.67,0.0,0.0637,-11.683,0.0586,0.316,113.247
Autumn Almanac - 2020 - Remaster,2eGkDbuiCr0rmFFJzyw9o8,195.67,9,9,1,4,0.367,0.742,0.453,0.0,0.0826,-10.4,0.0698,0.652,119.093
Sunny Afternoon - 2020 - Remaster,2aui8628OIWpXzel3MusLm,216.921,9,2,0,4,0.276,0.545,0.469,0.0,0.0788,-9.465,0.0273,0.457,122.821
Get Back In Line - 2020 - Remaster,0p983lKkIvCx6EsLwKGgZ1,187.632,8,7,1,4,0.0545,0.336,0.494,1.92e-05,0.066,-10.784,0.0262,0.388,96.616
Did You See His Name? - 2020 - Remaster,6tPg5j1IM7avHDFORVnRVG,117.461,7,10,1,4,0.121,0.53,0.774,0.0,0.0737,-9.005,0.0644,0.747,127.196
Fancy - 2020 - Remaster,0VLXmfV2BUevWR0GnDWV4h,149.583,7,7,1,4,0.358,0.552,0.406,4.88e-06,0.0687,-9.44,0.0272,0.236,121.315
Wonderboy - 2020 - Remaster,4fdoL8ShvaHWBC4TzCODnH,169.061,7,7,1,4,0.193,0.527,0.661,0.0,0.248,-7.821,0.028,0.918,118.874
Apeman - 2020 - Remaster,4e8W960IUNgXOU7oS5G4yH,235.577,8,9,1,4,0.472,0.689,0.68,0.00113,0.0457,-11.369,0.25,0.879,75.264
King Kong - 2020 - Remaster,3tHSCvhxdRnNH2WGfjy0KO,204.787,11,1,1,4,0.12,0.383,0.646,0.0,0.0646,-9.313,0.0347,0.412,125.334
Mr. Pleasant - 2020 - Remaster,1rAeJSBiQpM3hGnPuSQ0cT,180.704,7,6,0,4,0.222,0.564,0.698,0.0,0.359,-7.719,0.0406,0.516,95.051
God's Children - 2020 - Remaster,0UsbaGyDv1gFqnhis5g2EJ,198.583,7,5,1,4,0.278,0.48,0.448,0.0365,0.168,-12.506,0.0295,0.472,113.297
Death of a Clown - 2020 - Remaster,3aEkA4NlOiXr1LXlYWYcYH,190.847,7,0,1,4,0.303,0.461,0.594,0.0,0.396,-10.47,0.0271,0.787,161.653
