The Village Green Preservation Society - 2018 Stereo Remaster,0YZi8Zobeuzdu5krA17N3Q,171.693,46,7,1,4,0.234,0.557,0.948,0.0,0.0658,-7.168,0.0597,0.642,97.425
Do You Remember Walter? - 2018 Stereo Remaster,3lqDkC9dsNyVNEj8yOl6P1,149.533,38,0,1,4,0.108,0.645,0.7,0.0,0.0764,-8.51,0.0385,0.551,91.844
Picture Book - 2018 Stereo Remaster,5HOQNAXcPSwV7Gt8AV8qiP,159.266,55,0,1,4,0.172,0.827,0.952,0.00043,0.228,-7.453,0.0314,0.971,121.192
Johnny Thunder - 2018 Stereo Remaster,0RacUz49IeiaBOmcBYw3Ut,153.386,36,2,1,4,0.0398,0.573,0.717,0.000619,0.0939,-6.604,0.0294,0.625,98.293
Last of the Steam-Powered Trains - 2018 Stereo Remaster,0qvxKCuZN6ytXtM6fkLbgD,253.066,37,9,1,4,0.0174,0.431,0.858,0.0414,0.0491,-5.711,0.0704,0.815,138.579
Big Sky - 2018 Stereo Remaster,43lZ8nY0TNIy2CX3BYCatV,172.706,38,10,1,4,0.00659,0.553,0.798,0.000612,0.0923,-7.405,0.0274,0.56,98.285
Sitting By the Riverside - 2018 Stereo Remaster,7LWBujrBqwKdwk9mDK8N3V,146.12,32,0,1,4,0.433,0.533,0.638,0.0,0.264,-7.948,0.0291,0.772,137.798
Animal Farm - 2018 Stereo Remaster,1r7bRpUS1mTQJeUmaamCk8,181.546,33,2,1,4,0.556,0.541,0.678,0.0,0.0611,-7.624,0.0319,0.713,77.478
Village Green - 2018 Stereo Remaster,7bgrkhm1asIRdqcbmmlDT4,131.173,34,0,0,4,0.216,0.7,0.81,1.09e-05,0.0948,-6.089,0.0266,0.895,103.415
Starstruck - 2018 Stereo Remaster,6DPKLW6woD3B6hI7RD69UA,144.306,31,5,1,4,0.171,0.64,0.785,0.0,0.108,-5.853,0.03,0.902,134.708
Phenomenal Cat - 2018 Stereo Remaster,30x1pcfIxqwDOGBGeOLRLM,161.12,30,2,1,4,0.736,0.537,0.248,3.05e-06,0.0846,-11.695,0.0397,0.274,58.128
All of My Friends Were There - 2018 Stereo Remaster,0Q2S7WezdxOedwVO2jYv7V,148.533,29,10,1,4,0.105,0.525,0.654,0.0,0.106,-8.013,0.0935,0.656,131.949
Wicked Annabella - 2018 Stereo Remaster,4SbXW0iq6UqJKKwRmwJXAw,165.266,33,9,1,4,0.19,0.659,0.889,0.00011,0.0523,-6.904,0.0399,0.601,104.483
Monica - 2018 Stereo Remaster,10VFetiiFDmxLLUsjaRFHJ,138.96,31,7,1,4,0.228,0.628,0.783,0.0,0.057,-7.799,0.0323,0.922,132.601
People Take Pictures of Each Other - 2018 Stereo Remaster,6MHBmNtd4bTbNThOMzwFX5,131.135,29,0,1,4,0.153,0.741,0.927,2.92e-06,0.0635,-7.014,0.054,0.963,146.848
