Excursions,4tEaytMs86hIaOSsiGoLcP,234.626,58,11,1,4,0.386,0.885,0.608,0.0118,0.319,-10.809,0.169,0.707,95.748
Buggin' Out,6GAemDMWAXa8wZOBkO1gar,217.466,58,10,0,4,0.114,0.887,0.419,0.268,0.129,-10.961,0.353,0.576,96.149
Rap Promoter,6CCIqr8xROr3jTnXf4GI3B,133.0,49,4,0,4,0.00846,0.867,0.459,0.0212,0.0695,-13.526,0.254,0.554,97.464
Butter,758mQT4zzlvBhy9PvNePwC,218.773,51,7,1,4,0.0316,0.727,0.38,0.0,0.342,-14.809,0.335,0.455,92.05
Verses from the Abstract,6zrsmzrMoxNkXEQLubCWtA,238.893,48,7,1,4,0.0913,0.868,0.424,0.000152,0.161,-14.047,0.329,0.755,87.614
Show Business,2wS1PObRyCywHdmog5eOWW,233.44,47,10,0,4,0.255,0.886,0.591,0.0,0.213,-12.323,0.254,0.828,101.623
Vibes and Stuff,4MdEYuoGhG2RTG3erOiu2H,257.826,50,2,0,4,0.708,0.819,0.261,0.0216,0.108,-14.406,0.181,0.487,92.348
Infamous Date Rape,4hozY0uWh4hxvH2mP6EmSL,173.573,45,2,1,4,0.245,0.759,0.344,0.0104,0.125,-13.638,0.443,0.5,188.251
Check the Rhime,4HfxDJ0uLHTLe0fZrx0MbQ,216.693,64,11,0,4,0.0502,0.881,0.361,0.00458,0.246,-14.728,0.237,0.799,96.43
Everything Is Fair,33d7n0d2Ou4wQ5AcLrLTav,178.333,45,6,1,4,0.0936,0.78,0.654,0.0243,0.402,-14.414,0.0917,0.885,97.642
Jazz (We've Got),7AgMX97ljLm9BzszyyXEYZ,250.24,59,11,1,4,0.719,0.822,0.479,4.42e-05,0.124,-15.962,0.271,0.72,92.461
Skypager,1ora7jNRx7tv7yjANfGu1u,132.226,44,10,0,4,0.249,0.86,0.43,0.0132,0.138,-13.531,0.252,0.845,97.136
What?,2ZCwz8omYluRWa9QyznFAy,148.706,46,11,0,4,0.079,0.954,0.356,1.37e-05,0.092,-17.975,0.236,0.335,110.053
Scenario,0301nLjG0ti26rx5ZmfqtP,250.133,59,2,1,4,0.112,0.795,0.6,0.000171,0.111,-14.004,0.341,0.633,101.78
