Public Service Announcement 2000,1WopKLOG4Kud0H1r3xrCfT,27.866,17,1,1,5,0.0196,0.714,0.263,0.0,0.646,-20.277,0.913,0.671,126.56
Kill You,5eGEc27nnhtmcOh6RC890a,264.4,69,11,1,4,0.155,0.897,0.559,0.000127,0.296,-8.268,0.379,0.677,106.991
Stan,3UmaczJpikHgJFyBTAJVoz,404.106,78,6,0,4,0.0371,0.78,0.768,2.34e-06,0.518,-4.325,0.238,0.507,80.063
Paul - Skit,2vDNkLviUQSxSxulGBFSqJ,10.6,1,10,0,0,0.943,0.0,0.24,0.0,0.618,-20.135,0.0,0.0,0.0
Who Knew,15joiMls8SpP1VtGivYh6i,227.76,57,7,1,4,0.135,0.855,0.596,0.0,0.139,-4.147,0.307,0.793,100.894
Steve Berman,0DaZU7iKgXMelfXCkCOgBK,53.573,49,1,1,1,0.578,0.663,0.626,0.0,0.469,-10.536,0.639,0.837,148.087
The Way I Am,23wfXwnsPZYe5A1xXRHb3J,290.426,71,4,0,4,0.144,0.785,0.871,0.0,0.309,-2.692,0.265,0.315,87.248
The Real Slim Shady,3yfqSUWxFvZELEM4PmlwIR,284.2,81,5,0,4,0.0302,0.949,0.661,0.0,0.0454,-4.244,0.0572,0.76,104.504
Remember Me?,7996f9NZeypc4jqfc6hJUa,218.84,53,8,0,4,0.00293,0.806,0.905,0.0,0.23,-3.119,0.299,0.729,89.982
I'm Back,3xVtc7PB4V3AqAfq4Iahli,309.76,59,11,0,4,0.0146,0.878,0.595,6.8e-05,0.328,-3.924,0.203,0.851,89.995
Marshall Mathers,3X4Oz9LjhhtgyOhVNlfoYa,321.266,59,11,0,4,0.0361,0.729,0.759,0.0,0.0694,-3.177,0.127,0.268,95.935
Ken Kaniff - Skit,4HsaoezrUA96qMzDK3ZWnq,61.8,45,7,0,4,0.196,0.473,0.715,0.0,0.56,-10.571,0.846,0.541,178.249
Drug Ballad,7tEoJKbYdIHBfn7tTIyjHW,300.266,58,11,1,4,0.0239,0.913,0.7,0.0,0.125,-3.411,0.0589,0.64,104.759
Amityville,0erTM8A9ro5kzcNc962jHd,254.773,54,2,0,4,0.0217,0.618,0.929,0.0,0.326,-3.238,0.273,0.672,79.864
Bitch Please II,7lgvU7WnwcNZ8dbGUz8yhP,288.2,69,1,1,4,0.0783,0.918,0.586,0.0,0.145,-2.89,0.133,0.779,95.517
Kim,20oenBXlmwIfK0F3fQIjhM,377.893,56,4,0,4,0.0216,0.587,0.923,0.0,0.481,-3.05,0.441,0.0778,142.075
Under The Influence,5H3B1WtZYGmyOYOXgQltKU,321.666,59,6,1,4,0.0174,0.921,0.752,0.0,0.135,-4.32,0.27,0.705,96.985
Criminal,18ohWhzbMCynq5QJ68ifkW,319.6,60,4,0,4,0.127,0.81,0.724,0.0,0.306,-6.153,0.268,0.573,101.941
