Artificial Energy,46MwuE5PCAMEbhKQriTvAZ,138.4,27,4,1,4,0.0998,0.556,0.675,0.0985,0.179,-7.488,0.0304,0.786,116.448
Goin' Back,6mM3QPK502fHwOYaj6ELmm,205.84,45,4,1,4,0.364,0.496,0.449,8.48e-06,0.12,-10.23,0.0277,0.547,116.181
Natural Harmony,4Oun7FzXRfDH4ktIIkgWfo,131.133,24,4,0,4,0.206,0.4,0.47,2.35e-06,0.323,-10.643,0.029,0.301,103.67
Draft Morning,33zGvjukiRoJgW6JWY0FMo,162.16,39,2,1,4,0.389,0.449,0.487,0.868,0.545,-13.794,0.0289,0.495,92.343
Wasn't Born to Follow,3Lk77QOBVywNAVSqOPcuw2,123.84,49,7,1,4,0.233,0.48,0.435,7.75e-05,0.204,-8.851,0.0359,0.538,93.352
Get to You,0Hx3e65pcMUTQPfacGzWXb,159.226,28,2,1,3,0.0816,0.427,0.501,0.000311,0.509,-10.204,0.0287,0.659,93.678
Change Is Now - Single Version,4SoykGLnLQPgQUkrKQxNYq,201.266,28,2,1,4,0.00222,0.356,0.543,0.000622,0.183,-10.37,0.0282,0.267,96.834
Old John Robertson,72UM6KZ1Vzp3KCPpkcM0JU,108.933,23,9,1,4,0.377,0.487,0.673,0.032,0.629,-10.102,0.0409,0.938,110.107
Tribal Gathering,6wzIUAI3kMylyfGHI6T2SZ,122.84,25,9,0,5,0.405,0.324,0.615,0.00139,0.0511,-9.929,0.0465,0.864,167.379
Dolphin's Smile,5njQ6FkBPmFqZ0Kk9ZTWrx,120.066,22,9,1,4,0.393,0.482,0.53,0.000412,0.378,-12.63,0.0312,0.369,94.476
Space Odyssey,5RbIpuyM9TOeOMIKQODTE1,232.266,21,1,1,3,0.00979,0.301,0.302,1.83e-05,0.165,-12.698,0.0301,0.0386,82.097
Moog Raga - instrumental,7cotliOGNjsqjsDASnZLbE,204.373,20,1,1,3,0.0191,0.265,0.782,0.583,0.0405,-10.369,0.0433,0.233,127.943
Bound to Fall - instrumental,0SCL0yFOospU2K5gf1r9IN,131.133,18,4,1,4,0.119,0.514,0.689,0.919,0.0963,-10.63,0.0315,0.94,111.032
Triad,7zoiA8mBoaiiYTkzUGtkIe,211.933,26,2,1,4,0.756,0.55,0.428,3.62e-05,0.127,-9.981,0.0271,0.433,94.181
Goin' Back - Extended Version,7u3fv7XiXk22BCPvsicjwo,234.826,19,4,1,4,0.393,0.571,0.481,1.67e-05,0.176,-10.783,0.0244,0.571,101.001
Draft Morning - alternate end,2ZoZnOKYfvH5uo1HRAbjaX,178.666,17,2,1,4,0.496,0.465,0.465,0.855,0.263,-14.437,0.0302,0.492,92.016
Universal Mind Decoder - Alternate Backing Track,3UwM6W3OwO4pnX7eOY8e9n,824.306,15,7,1,4,0.39,0.466,0.102,4.28e-06,0.0929,-15.163,0.145,0.0375,100.434
