Born in Chicago,0dvPuXBdAudLyBnCmYYu68,188.866,37,2,1,4,0.786,0.419,0.597,0.000769,0.321,-12.591,0.048,0.941,76.177
Shake Your Money-Maker,5GHZ9UH4L3r6UK1A2zHWf3,146.333,27,9,1,4,0.241,0.299,0.837,0.0567,0.247,-6.331,0.125,0.875,203.173
Blues with a Feeling,1BZDPslmxdSdP9zQMsMNmG,264.68,28,0,1,1,0.48,0.383,0.599,0.00186,0.222,-9.766,0.0626,0.644,134.301
Thank You Mr. Poobah,3qeO6POcgepMG7CptnMibV,245.933,25,2,1,4,0.832,0.439,0.695,0.776,0.395,-9.798,0.0495,0.923,157.711
I Got My Mojo Working,2o3h9YnZHM6T4kzwwLNnHg,212.813,35,2,1,4,0.816,0.636,0.84,0.00286,0.425,-8.965,0.0415,0.887,141.878
Mellow Down Easy,3w7JOstC58U7VxTQcm7GIN,171.04,21,2,1,4,0.708,0.595,0.717,0.00302,0.28,-8.908,0.0334,0.787,118.629
Screamin',5wQPmEoKg2Z05jV9FI0Z6p,276.933,23,10,1,4,0.5,0.478,0.783,0.938,0.5,-8.904,0.0358,0.89,134.463
Our Love Is Drifting,4TVjXQv8PHr0GEnWfILpaS,214.36,20,5,1,3,0.254,0.431,0.551,0.000115,0.24,-8.858,0.0418,0.549,110.846
Mystery Train,6QECt4RBTcK4oa8tiVdnpg,155.28,32,9,1,4,0.619,0.663,0.881,0.00128,0.481,-8.562,0.0418,0.841,126.044
Last Night,3KxXGOO1tV5P0Jgi4UN7z7,258.666,20,0,1,3,0.821,0.466,0.462,0.000335,0.0704,-9.811,0.0294,0.523,109.245
Look over Yonders Wall,1rdiehJNRh2bxaA2JpbOhz,147.026,19,2,1,4,0.0304,0.405,0.811,0.000457,0.261,-8.36,0.0691,0.758,143.291
