The Queen Is Dead - 2011 Remaster,03ZwNF6FTvazNuOXNQf8k8,387.146,51,4,1,4,0.00106,0.513,0.898,0.0212,0.791,-6.242,0.0524,0.61,140.452
"Frankly, Mr. Shankly - 2011 Remaster",1qIagqll7ZcgmiLTrtSvKc,138.813,52,4,1,4,0.0709,0.713,0.748,0.000397,0.156,-6.53,0.0251,0.924,111.556
I Know It's Over - 2011 Remaster,3M2bD9SMYnJIPdrTKUnBd3,349.186,62,0,1,3,0.0847,0.407,0.424,0.0,0.234,-10.583,0.0318,0.404,113.311
Never Had No One Ever - 2011 Remaster,2VyOpoblI3AHO6R8dr87Ia,218.373,49,9,0,3,0.0679,0.27,0.535,0.00225,0.143,-8.673,0.0329,0.336,194.625
Cemetry Gates - 2011 Remaster,03yOjwHoOPDlTUg0NRxN6t,161.04,55,7,1,4,0.151,0.55,0.796,0.0,0.222,-7.007,0.0306,0.622,105.354
Bigmouth Strikes Again - 2011 Remaster,2OErSh4oVVAUll0vHxdr6p,193.32,67,1,0,4,0.0704,0.401,0.901,0.0,0.538,-5.011,0.041,0.839,134.799
The Boy with the Thorn in His Side - 2011 Remaster,6s1lXoCa6EmIGnr0GrwcJp,196.626,55,7,1,4,0.208,0.514,0.87,4.1e-05,0.524,-6.516,0.0419,0.847,118.962
Vicar in a Tutu - 2011 Remaster,59cZGLKHgcYWd0z4fvtikE,144.213,47,4,1,4,0.00154,0.495,0.882,0.0,0.79,-7.272,0.0362,0.807,124.917
There Is a Light That Never Goes Out - 2011 Remaster,0WQiDwKJclirSYG9v5tayI,244.586,74,4,1,4,0.04,0.523,0.769,0.0,0.136,-5.855,0.0269,0.876,136.162
Some Girls Are Bigger Than Others - 2011 Remaster,3znapZvsInnCVsDERDUaM5,197.8,53,1,0,4,0.0025,0.525,0.927,0.000799,0.216,-9.561,0.0547,0.308,161.798
