Five Years - 2012 Remaster,1JIzFhI9Lt5FyslawmHCBi,283.752,58,7,1,3,0.142,0.46,0.326,1.01e-05,0.0449,-10.699,0.0418,0.321,152.54
Soul Love - 2012 Remaster,1bo6xzrCrK7ocEirC5rrZk,214.198,53,2,1,4,0.0579,0.573,0.404,1.6e-06,0.217,-12.142,0.0624,0.71,72.906
Moonage Daydream - 2012 Remaster,6mib3N4E8PZHAGQ3xy7bho,279.693,68,11,0,4,0.0407,0.561,0.601,0.000147,0.0585,-11.209,0.0348,0.752,144.477
Starman - 2012 Remaster,0pQskrTITgmCMyr85tb9qq,254.293,73,5,1,4,0.166,0.486,0.45,2.06e-06,0.54,-10.298,0.0267,0.55,100.456
It Ain't Easy - 2012 Remaster,0xRUwscEziliaWCsmq7n2w,177.774,51,2,1,4,0.0174,0.503,0.279,0.0,0.214,-12.755,0.0281,0.177,133.558
Lady Stardust - 2012 Remaster,2ZWKuGuQ087pzwK4vO4E31,201.426,53,9,1,4,0.612,0.593,0.368,0.0,0.0905,-12.257,0.0337,0.484,128.8
Star - 2012 Remaster,5WfSHn8qVk1W3GJJQpETC1,167.55,49,7,1,4,0.178,0.452,0.851,4.19e-05,0.185,-8.71,0.0445,0.552,138.52
Hang on to Yourself - 2012 Remaster,1dWoKufYqWrjfxYhFnHyMP,159.958,49,2,1,4,0.0241,0.476,0.788,0.0377,0.358,-10.654,0.0322,0.936,89.552
Ziggy Stardust - 2012 Remaster,5IyL3XOaRPpTgxVjRIAxXU,194.44,64,7,1,4,0.048,0.44,0.565,0.0,0.213,-11.657,0.121,0.495,161.124
Suffragette City - 2012 Remaster,3YZa4IzxK2UtEKTvdTgsi8,208.413,58,2,1,4,0.364,0.455,0.884,0.0,0.277,-9.159,0.0385,0.784,142.655
Rock 'n' Roll Suicide - 2012 Remaster,1k5iH4KDKi56MFvlnrALNV,178.265,56,0,1,3,0.309,0.457,0.308,1.5e-06,0.107,-11.474,0.0398,0.272,103.111
