Introduction,5ZVFm8JkpmhAXwoUxRLv1i,43.4,33,5,1,4,0.917,0.253,0.711,0.0723,0.552,-14.207,0.12,0.319,85.361
Remember the Name (feat. Styles of Beyond),6ndmKwWqMozN2tcZqzCX4K,230.493,74,8,1,4,0.0583,0.688,0.835,2.87e-06,0.0795,-4.162,0.0911,0.88,84.858
Right Now (feat. Black Thought & Styles of Beyond),6jbN3ibWMut3lTVjUhYGgW,254.586,44,8,1,4,0.0671,0.582,0.918,0.000393,0.123,-3.821,0.0917,0.747,199.868
Petrified,4xKHJx8ZtAFRw4C9FisYCD,220.346,43,11,1,4,0.201,0.874,0.962,0.000896,0.0458,-2.729,0.107,0.525,109.976
Feel Like Home (feat. Styles of Beyond),5XWQVY9c2uzglbcXV72G43,233.546,39,1,1,4,0.166,0.83,0.818,6.51e-06,0.0888,-3.479,0.155,0.648,100.012
Where'd You Go (feat. Holly Brook & Jonah Matranga),7pAT4dOUzjq8Ziap5ShIqC,231.866,58,1,0,4,0.262,0.684,0.819,0.00197,0.113,-3.309,0.238,0.25,179.999
In Stereo,49XJcsWF13JrOlracH9b0E,209.533,39,1,1,4,0.155,0.658,0.872,8.81e-06,0.876,-4.604,0.0961,0.815,159.907
Back Home (feat. Common & Styles of Beyond),20UmN4SBsnqwVoaWdCOrsK,224.6,36,1,1,4,0.0132,0.563,0.898,0.00101,0.135,-3.361,0.317,0.826,89.034
Cigarettes,5K9Wt11gFx9SOD0IsJ0nDZ,220.173,38,6,1,4,0.0178,0.615,0.808,0.000286,0.0614,-5.056,0.233,0.562,149.92
Believe Me (feat. Bobo & Styles of Beyond),5IHmCv6LwS3JxQYEV9rst9,222.96,50,8,1,4,0.0649,0.702,0.978,0.000444,0.311,-3.406,0.0473,0.668,110.0
Get Me Gone,2bz7Vj09aiI7MHgDrlEsrc,116.413,37,11,0,4,0.18,0.68,0.584,1.37e-05,0.332,-4.516,0.465,0.455,99.346
High Road (feat. John Legend),2YdrFOfNZeKdQOUYw9duoA,196.52,50,9,0,4,0.32,0.743,0.897,3.43e-06,0.0455,-4.525,0.0649,0.92,99.985
Kenji,6H503HrJOogVycvQkq2SuG,231.48,47,10,0,4,0.176,0.701,0.913,0.000479,0.0801,-4.664,0.111,0.652,103.002
"Red to Black (feat. Kenna, Jonah Matranga & Styles of Beyond)",21LDnCDpGk717CR3iLMhxc,191.986,43,3,0,3,0.0615,0.839,0.816,0.00105,0.16,-4.447,0.0365,0.915,120.022
The Battle (feat. Celph Titled),3Lja18b5lzZaRancOdmgIG,32.026,32,10,0,4,0.24,0.679,0.853,0.000152,0.344,-7.821,0.354,0.888,89.828
Slip Out the Back (feat. Mr. Hahn),5n2kK9GDI47ob1uFcFnR8k,236.68,44,1,1,4,0.0721,0.622,0.808,0.00241,0.268,-6.654,0.087,0.501,180.016
