The Ties That Bind,0t6wMTbQmXdzvEe2nnh6Vx,213.853,49,0,1,4,0.0117,0.461,0.957,0.000241,0.152,-7.142,0.0459,0.802,136.183
Sherry Darling,5JgS0FY22HtNpFAJTo507k,243.173,50,5,1,4,0.119,0.547,0.944,0.000244,0.409,-6.665,0.0398,0.901,139.213
Jackson Cage,6QXjiVOwMFDjDnIuE7Pjm5,183.973,41,9,1,4,0.0773,0.401,0.911,0.00112,0.225,-7.184,0.0678,0.699,138.908
Two Hearts,50JK0hBaHMWYo20S7AvKbB,162.066,41,5,1,4,0.057,0.412,0.956,6.59e-06,0.283,-6.156,0.0509,0.648,150.435
Independence Day,4T4e06YhupuZAoln2qZ6Fa,285.946,49,5,1,4,0.0625,0.513,0.507,2.02e-06,0.182,-10.724,0.0265,0.464,80.696
Hungry Heart,1KsI8NEeAna8ZIdojI3FiT,199.453,69,8,1,4,0.0857,0.641,0.894,0.009,0.157,-7.41,0.0273,0.972,109.823
Out In the Street,1k7CqKKwQu4zIK6DrsuqKG,257.6,51,9,1,4,0.148,0.44,0.931,0.0,0.163,-7.205,0.0592,0.772,144.628
Crush on You,62cFivJR4IOpaNytZ9X6UQ,191.093,40,8,0,4,0.0689,0.517,0.988,3.75e-05,0.445,-6.578,0.0648,0.349,130.763
You Can Look (But You Better Not Touch),6uvdSA5CPnHlcOXPTLevSr,155.133,39,0,1,4,0.00377,0.429,0.993,0.00677,0.479,-6.162,0.0556,0.569,157.594
I Wanna Marry You,1cwxCqejFxDyFU7AiEXmVS,206.493,41,2,1,4,0.13,0.546,0.484,4.7e-05,0.419,-10.915,0.0264,0.868,110.117
The River,7HrzErXq3TsKOY1gmdIShB,301.546,67,7,1,4,0.179,0.587,0.536,2.75e-05,0.305,-11.248,0.0304,0.59,117.498
Point Blank,6yMh8Xi6hhSNXtPe2e7tlj,366.986,44,11,0,4,0.12,0.479,0.423,3.16e-05,0.104,-13.126,0.0357,0.407,116.06
Cadillac Ranch,2rYYg1HMvlNT9A1SdjSYlx,183.093,44,7,1,4,0.00508,0.602,0.949,2.79e-05,0.636,-6.3,0.0415,0.961,133.275
I'm a Rocker,7bWJ6GIhvc7t2t45bFUqjJ,214.96,39,9,1,4,0.00184,0.377,0.991,0.00102,0.161,-5.708,0.0747,0.389,158.669
Fade Away,1nnhJRPj841KPX46NapQy0,281.36,40,2,1,4,0.0191,0.562,0.506,2.31e-06,0.33,-9.148,0.0257,0.715,105.745
Stolen Car,6iXyMQAaSfGWe1DmRcf0D5,232.84,41,7,1,4,0.615,0.454,0.104,0.14,0.067,-20.552,0.0332,0.0833,108.157
Ramrod,35EGVPxSBCbYGC3gbu5qM3,244.266,39,6,1,4,0.0532,0.558,0.935,0.0827,0.131,-5.71,0.0438,0.468,137.581
The Price You Pay,0KE2pycf0VOY4Tj1XVyrk4,326.893,39,7,1,4,0.122,0.548,0.673,0.00107,0.0492,-7.929,0.0265,0.726,105.39
Drive All Night,3HuUc4Fpvg0EYvpPduj2kC,506.733,43,5,1,4,0.217,0.388,0.236,9.07e-06,0.101,-13.767,0.0295,0.456,126.455
Wreck on the Highway,1vqZh6D1JlnsIikyvDThfc,234.56,38,9,1,4,0.412,0.526,0.292,0.0794,0.0958,-14.62,0.0265,0.35,101.418
