Everybody Needs Somebody To Love,72MWPhm7Wdf3Z2EmQNLxCt,178.44,29,5,1,4,0.163,0.568,0.843,2.95e-06,0.0823,-9.858,0.11,0.573,174.623
Down Home Girl,5BF1UHpSK96JdztJdZbHrr,251.733,24,0,1,4,0.594,0.664,0.786,0.633,0.1,-8.21,0.0269,0.856,115.791
You Can't Catch Me,4mcalqFylXtZpLl0hQPQ8y,219.48,23,0,1,4,0.0604,0.653,0.9,0.00564,0.354,-10.149,0.045,0.853,104.244
Heart Of Stone - Stereo Version / Remastered 2002,7oLIJvY8IUSmjfXdUvn3ru,169.093,39,0,1,4,0.149,0.581,0.577,0.0263,0.103,-11.375,0.0275,0.569,94.827
What A Shame - Mono Version,0vDUKfocDnb18mK1z70tkE,185.0,23,7,1,4,0.282,0.642,0.522,0.0988,0.113,-12.488,0.0284,0.902,127.213
Mona (I Need You Baby),2lh7sULxDO6J0jMAGC9iwO,214.693,23,1,1,4,0.0696,0.694,0.658,0.000303,0.0921,-11.029,0.118,0.416,99.001
Down The Road Apiece,2BJtW9zpFrMXFsnKMhIvfo,175.2,23,2,1,4,0.519,0.338,0.724,0.0017,0.0537,-12.593,0.04,0.923,177.835
Off The Hook - Mono Version,45wYhiQOaa4tRt6xTGtEul,154.266,22,9,1,4,0.164,0.614,0.611,9.59e-06,0.164,-10.827,0.0299,0.876,76.549
Pain In My Heart,2UCbDuiQ0rM74QAl0yvZIo,131.546,22,7,1,3,0.567,0.479,0.591,0.751,0.158,-8.902,0.0435,0.727,176.974
Oh Baby (We Got A Good Thing Goin') - Remastered 2002,2Dt8ceipgqRsDxln0aV83Q,128.039,26,4,1,4,0.466,0.634,0.758,0.743,0.882,-8.689,0.0302,0.965,141.559
Little Red Rooster - Mono Version,3GgpUEdSy8uO58XG35rRho,185.786,47,7,1,3,0.0674,0.721,0.432,0.0321,0.0971,-11.688,0.0411,0.674,109.373
"Surprise, Surprise",13SUnVbXf66LB2F99DB0Gu,151.746,27,4,1,4,0.0211,0.741,0.872,2.91e-05,0.0789,-8.898,0.0711,0.923,107.706
