Red Intro,5Amv02LQjNrMSoOT2L2WmQ,111.933,42,5,0,4,0.804,0.608,0.364,0.0,0.167,-17.524,0.642,0.795,149.772
How Many Mics,2lOnbK3gm1N6keYkUD3mis,268.933,54,6,1,4,0.1,0.788,0.522,1.19e-05,0.479,-13.346,0.447,0.801,82.922
Ready or Not,3vZO25GdYuqFrR1kzZADnp,226.986,71,10,0,3,0.21,0.601,0.422,0.0,0.0839,-13.364,0.518,0.563,132.456
Zealots,52PgJoRz30sRQGOGqXYKdX,260.546,58,0,1,4,0.196,0.533,0.45,2.75e-06,0.147,-14.975,0.446,0.351,77.999
The Beast,3FFDBbDxnHNZKdQwx2HPjE,337.2,46,7,0,4,0.424,0.539,0.486,0.0,0.497,-15.236,0.749,0.735,78.871
Fu-Gee-La,1rJM37Dd4OcSJvzI84yCcP,260.066,66,1,1,4,0.137,0.682,0.505,0.0,0.234,-11.709,0.138,0.4,89.954
Family Business,4TGdvA9hBvyoOkuvHNje0M,343.693,48,1,1,4,0.417,0.687,0.545,0.0,0.79,-14.277,0.39,0.562,90.4
Killing Me Softly With His Song,0Q0IVlqMV64kNLlwjPj0Hl,298.773,79,4,0,4,0.0279,0.765,0.29,1.02e-06,0.571,-17.117,0.139,0.506,92.409
The Score,76ajwhzTiuwL2RcHyIVSiK,302.066,50,1,1,4,0.259,0.845,0.312,0.0,0.342,-15.843,0.23,0.664,97.004
The Mask,6T1FGOC96wa0vaZ6qIz8VK,290.56,46,10,0,4,0.144,0.783,0.476,0.0,0.551,-13.373,0.362,0.909,88.469
Cowboys,1r2KW9ZKAWbirQfj1G7MDH,323.506,44,1,1,4,0.127,0.7,0.4,0.0,0.331,-14.211,0.258,0.272,89.934
"No Woman, No Cry",5bUVHuzQh5mkvMPjUU074i,273.093,61,0,1,4,0.0134,0.845,0.326,4.04e-05,0.28,-13.909,0.152,0.368,88.988
Manifest/Outro,01Zgtq7fhxX6jEywd2WYrh,359.64,42,11,0,4,0.44,0.784,0.438,0.0,0.655,-13.994,0.487,0.714,94.641
Fu-Gee-La - Refugee Camp Remix,1W6LjwKVIxnBtKQd0juwLq,262.266,42,1,1,4,0.111,0.71,0.452,2.18e-06,0.0637,-12.201,0.381,0.548,175.418
Fu-Gee-La - Sly & Robbie Mix,6kQ0p90x2OgwandZiLyR6I,327.506,40,1,1,4,0.00779,0.603,0.379,0.0,0.144,-15.682,0.47,0.867,78.491
Mista Mista,2LXtaBWlREPQ1LDGCQKpKP,162.426,39,6,0,4,0.95,0.592,0.0583,0.0,0.118,-20.177,0.0639,0.19,122.181
Fu-Gee-La - Refugee Camp Global Mix,4UDTrYv5vpFEzFDnU4sjSb,260.0,41,1,1,4,0.277,0.734,0.365,0.0,0.0501,-15.092,0.411,0.574,88.116
