Public Service Announcement,3GhcNCBIEMyrcpCJ8ccvXr,33.226,45,1,1,1,0.275,0.648,0.199,0.0,0.136,-25.565,0.883,0.95,149.548
My Name Is,75IN3CtuZwTHTnZvYM4qnJ,268.4,72,1,1,4,0.0416,0.869,0.68,1.12e-06,0.0914,-6.233,0.318,0.815,85.519
Guilty Conscience,6da04YB906XonC6IQNC44u,199.333,64,7,1,4,0.0527,0.66,0.789,0.0,0.341,-5.143,0.364,0.513,182.218
Brain Damage,099MPsZhn5HkEUNlpA89rK,226.733,56,2,1,4,0.00917,0.866,0.599,0.0,0.0655,-7.903,0.163,0.831,94.982
Paul - Skit,0AaKi10VdO06R4fkBFBslc,15.84,1,8,1,4,0.981,0.816,0.266,5.88e-05,0.799,-19.654,0.865,0.837,130.845
If I Had,4Q7UkPYq3NGTwhAMjfeE4a,245.493,54,7,0,3,0.000627,0.791,0.601,3.13e-05,0.107,-4.978,0.217,0.272,168.161
'97 Bonnie & Clyde,6PJiaxg1lFSJFdMJrW7avo,316.4,52,9,0,4,0.094,0.713,0.909,0.000169,0.306,-6.535,0.527,0.73,184.032
Bitch - Skit,5OsBkrdyDlnDZ5siaAOtVt,19.706,3,6,1,3,0.991,0.804,0.336,0.00347,0.625,-16.042,0.882,0.968,97.607
Role Model,0EtirusGt3LivUmALXSMVe,205.4,63,7,1,4,0.0218,0.865,0.589,4.6e-06,0.04,-4.224,0.258,0.776,91.968
Lounge - Skit,1LoEersiNbdCJv96e8KjNk,46.533,44,4,1,1,0.57,0.303,0.376,0.0,0.886,-18.938,0.117,0.796,131.007
My Fault,3CNbDbMHxYHxEgrPGf89yc,241.6,51,11,0,4,0.0463,0.754,0.631,1.39e-06,0.25,-8.083,0.395,0.84,190.04
Ken Kaniff - Skit,1A6N0uZ1gp5BGU7fv7PUlu,76.293,43,5,1,5,0.984,0.78,0.368,0.0,0.689,-20.591,0.897,0.185,108.112
Cum On Everybody,6uXX9OgGchFrr2bq8RgIg6,219.24,49,1,1,4,0.0254,0.887,0.758,0.000521,0.0887,-6.43,0.214,0.652,105.118
Rock Bottom,3guazByz82uD2zHf8q7As1,214.093,57,6,1,4,0.096,0.859,0.642,0.00927,0.21,-3.068,0.13,0.353,92.055
Just Don't Give A Fuck,2MEvYNn2tRvFDAucAtAKVq,242.573,61,4,0,4,0.000713,0.539,0.931,0.0,0.204,-1.803,0.262,0.685,85.571
Soap - Skit,2aXwXcdR1aGCYesbEr2DgV,34.6,43,1,0,3,0.97,0.474,0.425,0.000207,0.738,-16.66,0.0617,0.857,72.08
As The World Turns,0TBzphxYIeDLP9DAJUSUbP,265.333,52,8,0,4,0.00324,0.861,0.731,0.0,0.0807,-5.814,0.243,0.36,95.919
I'm Shady,3j3XiRDNkaUfINMB99hphS,211.96,49,6,0,4,0.0315,0.841,0.718,1.92e-06,0.122,-7.098,0.277,0.728,92.879
Bad Meets Evil,7kQ0miyexmevMwUDqTomIN,253.066,52,11,0,4,0.0328,0.664,0.903,0.0,0.863,-4.449,0.473,0.608,94.667
Still Don't Give A Fuck,1F4lm7DxvpNvXfT3cGuJCb,252.706,55,4,0,4,0.107,0.693,0.856,0.0,0.355,-4.045,0.378,0.607,89.899
