Our Prayer,1IysBwoeG9FSWCY8qLNqzL,64.969,42,10,0,1,0.968,0.228,0.0485,0.747,0.185,-14.4,0.0267,0.213,88.565
Gee,6xWqD2kBVYZ7JFEQzpJnN5,51.093,28,8,1,4,0.861,0.614,0.341,0.0,0.0714,-11.552,0.0309,0.874,137.953
Heroes And Villains,1dsggNRLTHQlYSyMQ4iLn2,291.96,34,1,1,4,0.344,0.427,0.446,2.54e-06,0.17,-10.042,0.0456,0.359,116.999
Do You Like Worms (Roll Plymouth Rock),7gGLS9uolEcajaAtAd6e7W,214.645,41,5,1,4,0.775,0.363,0.333,0.472,0.141,-9.291,0.0301,0.211,114.222
I'm In Great Shape,4rJtXkpkvczcYOG1QcvdGA,27.826,1,10,0,3,0.582,0.552,0.398,0.0307,0.145,-12.85,0.0597,0.365,120.459
Barnyard,0qV9G76eiyQOUtbzem02Bp,47.786,27,1,1,4,0.111,0.614,0.528,0.546,0.116,-6.987,0.0317,0.434,119.939
My Only Sunshine/The Old Master Painter/You Are My Sunshine,0i8a7bRTvIFllnSSqyBhRJ,115.16,28,1,1,4,0.0128,0.289,0.284,0.732,0.0697,-11.891,0.0328,0.328,165.413
Cabin Essence,2ykZ1sBNcr4VsYpaAJFMu4,210.066,29,5,1,3,0.0115,0.305,0.298,0.00423,0.266,-10.743,0.033,0.261,141.605
Wonderful,5fQ7SBUlJeyl1nx4RmKIwb,123.76,29,3,0,4,0.738,0.448,0.365,0.0,0.12,-8.928,0.0254,0.541,78.888
Look (Song For Children),1Bp3bTDUmzuHGgJmkL6rGE,150.79,26,8,1,4,0.244,0.458,0.42,0.123,0.101,-8.718,0.0327,0.35,145.606
Child Is Father Of The Man,6XcB4Tb1ZM6igxq8eEYIUY,129.786,26,6,0,4,0.265,0.32,0.439,0.295,0.23,-11.569,0.036,0.283,76.469
Surf's Up,60c9YLRW2p9o0Dnc48cZoc,252.266,33,0,0,4,0.676,0.335,0.408,9.6e-06,0.238,-9.125,0.0275,0.326,99.182
I Wanna Be Around/Workshop,3vAQrn22AUioJ9qOxoJZln,83.213,25,3,0,4,0.119,0.707,0.365,0.782,0.131,-14.754,0.0826,0.0398,61.778
Vega-Tables,4lLw6YNzpJrnEW7ZFvJwhs,228.56,38,4,1,4,0.373,0.399,0.447,0.0,0.253,-7.162,0.0303,0.424,80.251
Holidays,1SbINVeJ5C7OK9Yo3xJQb0,152.346,24,0,1,4,0.692,0.699,0.37,0.466,0.387,-7.527,0.037,0.485,117.245
Wind Chimes,2S58NhiZjZ5g45a9ya8hwW,186.026,27,0,1,4,0.186,0.436,0.392,0.0124,0.465,-7.339,0.0261,0.43,91.83
The Elements: Fire (Mrs. O'Leary's Cow),3w75LMVt7xojsivvBaHB3Q,154.573,24,9,0,4,0.000132,0.283,0.608,0.707,0.0896,-6.31,0.0337,0.31,100.539
Love To Say Dada,0Qcv1Wy6jEaPYiN2hir8yF,152.16,23,0,1,3,0.56,0.444,0.325,0.894,0.142,-8.867,0.0341,0.223,141.126
Good Vibrations,234OatJElN7VHiznWuEuAx,255.4,30,1,1,4,0.0495,0.414,0.528,0.00026,0.117,-7.733,0.0343,0.335,74.627
You're Welcome,74fOjvcwsZU862E94uwwMP,67.866,22,5,0,4,0.474,0.563,0.271,0.00565,0.142,-16.899,0.0317,0.286,64.808
Heroes And Villains - Stereo Mix/2011 Smile Version,7u6x5pP8f8hc3Z2SmSKIwd,293.133,22,1,1,4,0.169,0.427,0.416,0.000165,0.135,-10.49,0.0397,0.271,117.648
Heroes And Villains Sections - Stereo Mix/2011 Smile Version,4VOUjsXjq5OP8JiBqbNRp7,436.0,18,8,1,4,0.518,0.419,0.481,0.00372,0.332,-11.403,0.043,0.496,118.392
Vega-Tables - Demo/2011 Smile Version,7iVUjWA1NjACtQH3d7NnfJ,108.813,16,11,1,4,0.82,0.592,0.431,0.173,0.794,-11.902,0.0364,0.665,81.363
He Gives Speeches,0QHY0uSj9zfY9lpUTACaud,72.666,17,0,1,4,0.279,0.73,0.371,0.0,0.241,-11.97,0.155,0.788,106.755
Smile Backing Vocals Montage,4P7c3vRQmtzq1fiPb2I0xz,509.306,17,10,1,1,0.856,0.331,0.181,2.96e-06,0.0442,-16.61,0.0497,0.358,84.99
Surf's Up 1967 - Solo Version/2011 Smile Version,0C9uCmroJIKf8ClqMOZ97j,227.706,21,1,1,4,0.884,0.347,0.198,0.00519,0.216,-14.755,0.0339,0.376,75.895
Psycodelic Sounds: Brian Falls Into A Piano,2CKoEojQ40Ze7U71DYp85f,90.413,16,3,1,4,0.303,0.734,0.145,0.0,0.322,-19.765,0.754,0.661,86.238
Our Prayer - Dialog/2011 Smile Version,1TOa9a02nHoGL47HcHraHh,182.066,15,8,0,1,0.863,0.371,0.101,1.05e-05,0.192,-20.191,0.0971,0.121,170.418
Heroes And Villains: Part 1,412OwFukrQ7vgORyo8nj0Q,188.506,16,1,1,4,0.449,0.368,0.485,0.00123,0.0488,-6.585,0.0331,0.675,164.864
Heroes And Villains: Part 2,6939yqitG6hrVTPTkkh1DZ,259.226,15,8,1,4,0.547,0.478,0.627,6.66e-05,0.0831,-6.687,0.0468,0.416,125.45
Heroes And Villains: Children Were Raised,3iyqSjxDW241Bsqb3UeoGQ,126.746,14,1,1,4,0.212,0.669,0.122,1.16e-05,0.0423,-17.736,0.341,0.399,121.009
Heroes And Villains: Prelude To Fade,0vB1Xt0haVxoIGAedu7ACp,222.626,13,1,1,4,0.381,0.352,0.293,0.00624,0.269,-11.363,0.0412,0.162,114.784
My Only Sunshine - Parts 1 & 2/2011 Smile Version,5dXcvEH1G9yIruEEtQWKQR,409.733,13,1,1,4,0.621,0.59,0.271,0.000812,0.113,-15.774,0.107,0.293,124.427
Cabin Essence - Session Highlights And Stereo Backing Track/2011 Smile Version,1lxBSJcrt8NlXfDvcpLXBj,317.48,13,5,1,3,0.0893,0.489,0.252,0.0323,0.137,-16.269,0.0575,0.188,143.579
Surf's Up: 1st Movement - 2011 Smile Version,3O4J8PDMUPqXYKIi5iqFfr,295.906,14,7,1,4,0.195,0.693,0.247,6.7e-06,0.0837,-18.327,0.126,0.227,84.101
Surf's Up: Piano Demo - Master Take/2011 Smile Version,4bC4TQDKcLgbPX8BGCZnBD,234.56,17,3,1,4,0.876,0.385,0.183,0.0,0.108,-16.043,0.0347,0.358,100.271
Vegetables: Fade,31wfVTn4Aq9M7QU2RU1kDw,325.146,13,4,1,4,0.595,0.525,0.29,0.00113,0.101,-18.882,0.104,0.353,127.924
The Elements: Fire Session,0XzaogRVMAAKNpRpDJV36y,501.493,12,6,1,4,0.0426,0.384,0.478,0.0033,0.37,-10.774,0.0488,0.382,100.242
"Cool, Cool Water - Version 2/2011 Smile Version",6aYF4riYfMyNl319bUtNvR,215.706,14,5,1,4,0.778,0.597,0.281,0.0,0.325,-12.466,0.05,0.279,128.031
