I Wanna Be Adored - Remastered,758wEKVqfYopJIHYWdLVd4,292.8,65,4,0,4,0.0121,0.492,0.862,0.213,0.228,-9.158,0.0273,0.591,112.598
She Bangs the Drums - Remastered,3clIHVzJ9J2rvvrFUKLICo,232.333,60,9,1,4,0.00649,0.34,0.976,0.00643,0.123,-4.782,0.0912,0.669,144.737
Waterfall - Remastered,4CWgqHRJjDLd2PCedMz8eY,278.826,63,11,1,4,0.0236,0.491,0.686,0.269,0.451,-8.22,0.0289,0.436,103.707
Don't Stop - Remastered,2Kwf8mUygPEriB7GVErizM,320.586,43,11,1,4,6.71e-05,0.294,0.755,0.182,0.135,-7.7,0.0526,0.485,107.324
Bye Bye Bad Man - Remastered,2r0Cx2vW1wn2K3PogcdcPX,243.986,47,7,1,4,0.0321,0.598,0.743,0.00766,0.11,-7.254,0.0263,0.879,103.077
Elizabeth My Dear - Remastered,395XURgt6hWMx9XNOfIxia,53.12,43,11,0,4,0.801,0.499,0.13,0.196,0.241,-23.436,0.0408,0.536,107.791
(Song for My) Sugar Spun Sister - Remastered,3WEDBjYdFN9anBLB87w9b8,206.786,46,9,1,4,0.0273,0.346,0.854,0.0192,0.0987,-5.646,0.0391,0.414,120.934
Made of Stone - Remastered,0bZelokqNQicLQfLU1Ayw8,254.64,55,7,1,4,0.0947,0.264,0.965,0.165,0.332,-5.01,0.0824,0.427,131.597
Shoot You Down - Remastered,2erQ477GekpdP5l3xp5adl,253.453,49,0,1,4,0.0924,0.527,0.513,0.167,0.327,-10.968,0.0305,0.293,108.936
This Is the One - Remastered,433EQGQOsQjWvD5eImXkHf,299.32,53,9,1,4,0.00136,0.247,0.784,0.0363,0.558,-7.452,0.0514,0.346,127.001
I Am the Resurrection - Remastered,5ikdUUm6JbnEVnp35c7dvy,492.946,58,4,1,4,0.00192,0.356,0.866,0.113,0.0815,-6.324,0.0411,0.723,129.743
Fools Gold - Remastered,2mv6GY70UsHiTCGQZ4JfgC,594.453,61,7,1,4,0.000367,0.731,0.875,0.858,0.289,-6.393,0.0459,0.166,112.775
