Movin' Out (Anthony's Song),16GUMo6u3D2qo9a19AkYct,210.76,61,2,0,4,0.465,0.664,0.88,1.63e-05,0.0591,-5.009,0.0326,0.895,133.898
The Stranger,54xbcKFYv2PC6ujERHppRj,310.506,49,4,0,4,0.165,0.664,0.878,7.64e-06,0.0812,-6.987,0.0837,0.222,91.881
Just the Way You Are,49MHCPzvMLXhRjDantBMVH,290.573,71,7,1,4,0.703,0.589,0.453,2.54e-05,0.134,-8.912,0.0397,0.513,139.148
Scenes from an Italian Restaurant,3utq2FgD1pkmIoaWfjXWAU,456.893,60,5,1,4,0.407,0.415,0.931,0.000501,0.114,-4.988,0.126,0.339,97.953
Vienna,4U45aEWtQhrm8A5mxPaFZ7,214.24,73,10,1,4,0.659,0.532,0.495,0.0,0.0754,-6.662,0.0343,0.308,124.936
Only the Good Die Young,1xOXXYh6lTW8laxlW7JP2J,235.56,67,0,1,4,0.159,0.579,0.872,0.0,0.0935,-6.126,0.159,0.761,76.214
She's Always a Woman,5RgFlk1fcClZd0Y4SGYhqH,201.373,72,3,1,3,0.797,0.292,0.324,0.000473,0.12,-11.996,0.0346,0.384,176.631
Get It Right the First Time,6rEJ6ncZKq9EM3TwyMhTDo,236.973,40,0,1,4,0.0893,0.612,0.926,0.0,0.0717,-5.623,0.0532,0.867,106.398
Everybody Has a Dream,1s65HRPwZtSG5dBIBZ0dix,396.626,38,7,1,3,0.413,0.42,0.361,0.00304,0.0708,-10.75,0.0341,0.0843,112.26
"Miami 2017 (Seen the Lights Go Out On Broadway) - Live at Carnegie Hall, New York, NY - June 1977",6uC9fa50cFyDOc1BTOLXiM,311.093,37,2,1,4,0.0348,0.422,0.751,0.000161,0.988,-6.949,0.0483,0.321,79.566
"Prelude / Angry Young Man - Live at Carnegie Hall, New York, NY - June 1977",7kYQF3TJwQG9xJhSZJIj6v,364.986,35,0,1,4,0.0833,0.463,0.889,0.000331,0.708,-7.526,0.155,0.411,101.632
"New York State of Mind - Live at Carnegie Hall, New York, NY - June 1977",3qrmvMrpP4JADQUk8AZZaL,499.653,38,5,1,4,0.484,0.436,0.545,1.99e-05,0.76,-9.237,0.0783,0.235,119.587
"Just the Way You Are - Live at Carnegie Hall, New York, NY - June 1977",1nFYpnm7F7iJgvKpSdyZXl,296.12,35,7,1,4,0.525,0.541,0.549,0.0,0.325,-8.891,0.0368,0.251,135.665
"She's Got a Way - Live at Carnegie Hall, New York, NY - June 1977",55TvHlxObIKvxD1vSn8Q4s,211.906,35,7,1,4,0.869,0.308,0.435,0.0,0.69,-13.475,0.127,0.606,73.768
"The Entertainer - Live at Carnegie Hall, New York, NY - June 1977",2qnNUfbNRInP0CqsXYMYfF,369.093,33,7,1,4,0.138,0.415,0.798,3.8e-06,0.182,-8.059,0.109,0.247,101.68
"Scenes from an Italian Restaurant - Live at Carnegie Hall, New York, NY - June 1977",6eM1ju6kLvgzdnT5mJgSJb,455.333,34,5,1,4,0.0707,0.372,0.905,1.51e-05,0.686,-5.931,0.071,0.447,98.505
"Band Introductions - Live at Carnegie Hall, New York, NY - June 1977",2PeB3kosc35XamDfXy3eAc,121.533,29,7,1,5,0.769,0.338,0.473,4.21e-06,0.725,-16.501,0.483,0.19,60.671
"Captain Jack - Live at Carnegie Hall, New York, NY - June 1977",6cWv9xpzoAaBjqRg3mCZi3,411.4,33,5,1,4,0.114,0.492,0.679,2.96e-06,0.897,-7.283,0.0435,0.459,82.58
"I've Loved These Days - Live at Carnegie Hall, New York, NY - June 1977",0Z8G02M7ncN87m1DexCFC4,268.8,31,0,1,4,0.268,0.462,0.571,0.0,0.712,-7.082,0.029,0.158,80.045
"Say Goodbye to Hollywood - Live at Carnegie Hall, New York, NY - June 1977",20Xtv4fo9ClcgwEGVrdviG,405.213,32,0,1,4,0.185,0.347,0.986,8.16e-05,0.992,-6.03,0.526,0.578,135.923
"Souvenir - Live at Carnegie Hall, New York, NY - June 1977",4adKhxS40S3YGVt31EQfqe,129.24,30,10,1,5,0.843,0.384,0.374,2.26e-05,0.92,-14.36,0.0497,0.613,83.721
