Down Down Down Down Down,2CtwHCStRaTaCjEijkOBo6,157.36,5,11,1,4,0.0263,0.712,0.707,0.152,0.107,-11.599,0.0395,0.56,130.059
Jonny at the Door,3J373jOemsRN91oDdX2cvx,140.106,3,7,1,4,0.236,0.801,0.529,0.00026,0.244,-10.179,0.0449,0.626,104.197
Drive Drive Drive,7Ej0SvpkFlVO7ewk44rGXj,109.426,4,9,1,4,0.105,0.604,0.536,0.00511,0.295,-11.077,0.0748,0.805,196.533
"Elbow Grease, Spackle and Pine Sol",2TMMQ9irHgkm7viK0hGjjL,154.68,3,2,0,4,0.49,0.696,0.53,0.0692,0.28,-10.432,0.0321,0.807,97.59
Gothenburg Train,2uTv5ACaskYwexG3ZHPaRq,129.586,2,9,1,4,0.159,0.737,0.672,0.0312,0.147,-10.752,0.0364,0.89,115.043
The Hand of Jesus,4td6AqvPMoHUcIkT0Ribd7,101.013,3,2,1,4,0.353,0.783,0.478,0.29,0.213,-11.244,0.0384,0.798,102.512
My Baby Make Me Gravy,0vMeGtsVDwV60uEXmmi2kO,165.293,31,6,0,4,0.244,0.787,0.632,0.00347,0.0934,-10.15,0.0334,0.765,110.876
Her Love,0TeyiTK6RNQP9QAHWPXchv,162.346,2,2,1,3,0.75,0.588,0.143,3.8e-05,0.102,-15.343,0.0332,0.382,128.298
Ponder Why I Ponder Why,0y54QZ3H2yyrLkfCsvqp0n,135.573,2,7,1,4,0.191,0.626,0.318,0.00676,0.111,-12.971,0.0293,0.608,101.653
George O'Dwyer,3vqDWKKDlP1jDqcltsdYXG,151.013,2,2,0,4,0.526,0.679,0.669,8.88e-06,0.28,-8.248,0.0363,0.764,114.336
I've Done That Before,6ibcYTgNewlh29oFgOLK2H,101.106,3,0,1,4,0.536,0.687,0.317,0.0015,0.322,-12.064,0.0439,0.805,141.65
Big Daddy,175FBJTULsQ3ocfPv0dQYG,112.133,2,9,1,4,0.0298,0.587,0.592,0.0,0.128,-9.349,0.028,0.886,95.425
If You Know What's Good For You,6LIGo8e9GQoHUmGTSewxm5,119.066,2,11,1,4,0.0924,0.683,0.494,0.388,0.167,-12.543,0.0382,0.739,104.915
"Lord, I'm Free",2vK0D48uwcmU4PZwvqG2mE,98.533,2,2,1,4,0.322,0.675,0.802,0.0822,0.269,-7.699,0.0307,0.957,107.105
