Paranoid,4MSqgoFS7e8LpsxeeMMVMu,168.44,37,4,0,4,7.85e-05,0.429,0.631,0.00411,0.175,-11.514,0.0769,0.376,162.734
Never Say Die,74POLsjBpqeLGoLNRb3RGF,230.053,31,9,0,4,0.00394,0.351,0.705,0.000122,0.0977,-7.976,0.0316,0.449,98.546
Iron Man,4svkPL62HbvyFgf0nHFXAF,354.773,54,9,1,4,0.00367,0.332,0.769,0.00413,0.0372,-11.503,0.0765,0.525,157.378
Black Sabbath,6q4yVOTF91QRCukCQ1IzTV,377.28,30,2,1,4,0.0493,0.344,0.449,0.0278,0.322,-13.887,0.0421,0.123,132.809
Children of the Grave,7stF5Ow2QS5G4Q0raUi1n6,314.72,30,6,1,4,0.0706,0.311,0.658,0.104,0.093,-13.529,0.0406,0.353,151.813
Fairies Wear Boots,34aKsAXIfB6ZI6rlMSkXkk,373.192,37,5,1,4,0.00114,0.497,0.625,0.0421,0.253,-11.38,0.0376,0.727,136.126
Changes,5QdBAG8cpZhM3kIAQLDRN2,282.493,35,0,1,3,0.0421,0.289,0.238,2.73e-05,0.109,-12.244,0.0326,0.187,81.264
Rat Salad,5RX6VkaPlXzr9OlptUXeUq,149.741,23,11,0,3,0.0146,0.529,0.6,0.892,0.242,-14.343,0.121,0.466,130.005
Sweet Leaf,2peq7apxC5w9ycNnykFx4E,303.253,32,2,1,4,0.00163,0.362,0.612,0.0372,0.116,-11.861,0.0458,0.664,148.372
War Pigs,0HVQuuXGAcQ2P5mBN521ae,474.4,53,9,1,4,0.116,0.464,0.612,0.00559,0.171,-12.019,0.0591,0.496,91.499
Sabbath Bloody Sabbath,10sWvaY5yelQYHEvKfce4x,347.626,30,1,0,4,0.404,0.361,0.631,9.9e-05,0.0685,-9.215,0.0356,0.541,137.757
Hole in the Sky,6TCrYj3L2xEOs0jAgPzHSz,240.226,25,11,1,4,0.000617,0.396,0.777,0.0,0.928,-9.334,0.0805,0.398,117.862
Symptom of the Universe,11DrIVIGOiPEQxzAYpZfOa,388.4,31,9,1,4,0.0544,0.279,0.651,0.0592,0.19,-12.136,0.0472,0.47,178.649
Spiral Architect,68zmKcVkHm6j92Lr1k8YWv,329.306,22,4,1,4,0.0158,0.302,0.251,3.17e-05,0.12,-13.671,0.0333,0.101,142.714
Rock 'N' Roll Doctor,38o2PiqiwC5T9KJ23nEZkj,206.893,21,9,1,4,0.342,0.433,0.943,0.000399,0.346,-7.166,0.0585,0.432,128.778
Dirty Women,5lKoEDVUkofgOzYk57R2rE,428.52,22,2,0,4,0.182,0.234,0.808,0.109,0.0957,-8.472,0.0584,0.446,119.727
Evil Woman,3xHIzMtYweNIgsOGIbdyXt,202.013,37,5,1,4,0.00631,0.606,0.562,4.29e-06,0.114,-12.343,0.0358,0.704,137.215
A Hard Road,4mCAkYbjjNGWYmrKTqHipZ,364.586,21,1,0,4,0.00154,0.297,0.798,0.294,0.162,-11.122,0.037,0.414,127.184
Lord of This World,42IXMJhCyollp2Yb1680it,322.906,24,6,1,4,0.0289,0.398,0.571,0.000928,0.113,-12.321,0.0503,0.649,134.438
Into the Void,6JZr1Anh17IB6DXtQDvxnh,372.6,31,6,1,4,0.011,0.416,0.549,0.0378,0.109,-13.487,0.039,0.535,76.233
Behind the Wall of Sleep,09MSgyU4eo08rJTvOIDDJI,218.4,37,11,0,4,0.00423,0.359,0.516,0.000464,0.145,-12.438,0.0323,0.691,90.623
Snowblind,5IInb5Pmard39yh1RPwxQU,326.333,28,6,1,4,0.00024,0.44,0.771,0.011,0.0937,-11.599,0.0393,0.593,116.835
Tomorrow's Dream,4gVbmALatFi2PaLmMShC5A,188.773,21,7,1,4,0.0431,0.481,0.574,0.0214,0.105,-12.18,0.0391,0.358,110.808
The Wizard,51MKd0GzWjAPmiB539tQAJ,260.64,29,2,1,4,0.0307,0.523,0.706,0.000274,0.337,-11.521,0.0935,0.407,99.684
N.I.B.,2GnVuaoKSkB6Xa07l1BBg8,364.493,56,4,0,4,0.0838,0.476,0.556,1.59e-05,0.125,-10.586,0.0646,0.43,103.122
Electric Funeral,0GoyVMmzOB53lT8qRJYC4b,289.799,28,4,1,4,0.269,0.379,0.467,1.33e-05,0.227,-13.047,0.0454,0.374,125.858
Embryo,6rBVA3TB67b9ZaFpr9xjEn,27.266,0,8,0,4,0.953,0.765,0.267,0.0508,0.12,-12.729,0.0743,0.94,39.714
Killing Yourself to Live,5PvD0laDXMT51BIo2JMxMO,342.44,23,11,0,4,0.00122,0.333,0.633,0.0468,0.109,-11.473,0.0413,0.501,128.911
Am I Going Insane (Radio),3NCaSOVOUCEGEXu8IwOuej,256.213,20,9,1,4,0.0119,0.345,0.66,0.0,0.642,-12.466,0.0535,0.354,132.889
Wicked World,5Nd7D67aFokhjPCWxPdcA6,283.146,23,9,0,3,0.00138,0.299,0.546,0.354,0.203,-12.162,0.0767,0.57,168.553
It's Alright,5UKckaMguE3B04VNcxI9DV,239.293,27,0,1,4,0.242,0.385,0.575,0.000526,0.16,-10.74,0.0289,0.463,79.836
