Interlude - Twisted Elegance,3UQkFtOrTCxWN3o51zvDCs,42.446,30,0,0,4,0.837,0.414,0.317,0.0368,0.735,-24.974,0.316,0.202,58.343
Velvet Rope,1j8mSbR0KM4405EYOopFNx,295.822,41,5,0,4,0.0408,0.621,0.732,0.00515,0.654,-6.461,0.0506,0.284,107.6
You,7dhwNJN2vrVOJpg3JVifPq,282.666,40,0,1,4,0.00136,0.776,0.871,0.00328,0.155,-6.069,0.0552,0.863,142.199
Got 'Til It's Gone,6jUyYHDikmw9WltPojSR37,241.76,65,7,1,4,0.0218,0.789,0.412,0.000312,0.3,-7.518,0.243,0.518,89.914
Interlude - Speaker Phone,5NjebWkZzTzhXrnpAyeQna,54.133,31,7,0,4,0.638,0.666,0.0877,0.0,0.244,-28.266,0.619,0.36,62.771
My Need,7f9OlmToRrHQ5Ib0NyqvMH,224.066,35,11,1,4,0.0201,0.659,0.615,0.211,0.078,-5.115,0.0298,0.132,100.111
Interlude - Fasten Your Seatbelts,1HllIaS9jBvWLkvamghmMC,19.106,0,10,1,5,0.895,0.628,0.0894,7.24e-05,0.403,-24.46,0.375,0.853,137.529
Go Deep,5I0a8OADAc28ENKYTNj0YU,282.026,47,8,0,4,0.0466,0.895,0.645,0.0213,0.251,-3.76,0.0688,0.8,102.082
Free Xone,0YRS9Pw2lCCuy98QNBX2m8,297.066,33,10,0,4,0.0102,0.746,0.746,0.000548,0.0727,-6.863,0.0611,0.371,118.739
Interlude - Memory,5roB6EF2pEt7FfQsdGSskW,4.706,0,1,1,0,0.972,0.0,0.281,0.265,0.0,-24.973,0.0,0.0,0.0
Together Again,1GrikfH0jDejDvrxo84n4P,301.2,68,7,1,4,0.078,0.873,0.593,0.00697,0.104,-8.942,0.103,0.495,123.091
Interlude - Online,3h8hDK06Yu0wzLwR6whc5w,19.319,0,5,1,4,0.656,0.237,0.374,0.548,0.453,-23.022,0.0379,0.195,90.191
Empty,05rQNWjxu8XCVoOqxXdH1v,272.695,36,1,1,4,0.173,0.662,0.907,0.0765,0.149,-7.486,0.0448,0.321,146.104
Interlude - Full,6QRfMWgSGxiCcCZYgYu5Uc,12.866,0,10,0,0,0.897,0.0,0.976,0.0102,0.741,-12.744,0.0,0.0,0.0
What About,5vw6gK0JrGzRlegimi2NyB,264.266,33,9,0,4,0.126,0.633,0.922,0.000666,0.602,-3.675,0.24,0.684,192.876
Every Time,5lgZax3wvO1oW3Bn0p9veJ,257.106,48,0,1,4,0.433,0.634,0.488,0.0208,0.141,-7.163,0.0255,0.281,99.95
Tonight's The Night,1ln0GnKXlSCEhbmlPH5fxi,307.666,33,5,0,4,0.818,0.731,0.333,0.00194,0.121,-8.462,0.0734,0.268,88.145
I Get Lonely,5xLDmkobOw674TLTBBmnuN,317.56,59,7,0,4,0.291,0.799,0.514,0.0,0.518,-6.794,0.0478,0.455,125.104
Rope Burn,4kvc02wnwulhtxC2g4GThB,255.8,36,5,0,4,0.163,0.727,0.488,0.00496,0.34,-4.369,0.0966,0.721,78.044
Anything,62uXsTJFYiq1HahtVDXnXZ,294.84,38,8,0,4,0.141,0.756,0.332,0.000164,0.112,-10.437,0.0607,0.602,134.431
Interlude - Sad,4PPvNUp2XfixWHC48hmq73,10.866,0,1,1,0,0.0145,0.0,0.0994,0.000682,0.149,-34.557,0.0,0.0,0.0
"Special - Hidden Track ""Can't Be Stopped""",0CNSAjnVGSbEbiwJi1xxFm,474.826,30,1,1,4,0.471,0.437,0.728,0.000287,0.108,-7.667,0.181,0.0841,87.906
