Sunday Morning,11607FzqoipskTsXrwEHnJ,175.893,67,5,0,4,0.0869,0.506,0.442,0.00239,0.0846,-13.268,0.0276,0.532,105.826
I'm Waiting For The Man,3fElupNRLRJ0tbUDahPrAb,279.52,59,7,1,4,0.032,0.679,0.645,0.868,0.152,-9.765,0.0442,0.826,125.844
Femme Fatale,3PG7BAJG9WkmNOJOlc4uAo,159.0,58,0,1,4,0.913,0.55,0.145,0.0,0.118,-15.753,0.0332,0.138,103.918
Venus In Furs,29engDqjmMr3VLqMm0c0WE,312.253,59,8,0,4,0.00137,0.225,0.618,0.616,0.079,-9.922,0.0331,0.567,144.724
Run Run Run,2J8Mbdpem8CiSZKRoZOIeG,262.36,47,7,1,4,0.69,0.458,0.714,0.0502,0.0663,-11.065,0.129,0.49,143.818
All Tomorrow's Parties,1mL6q0gbifm2dBTvMBx4px,359.68,47,2,1,4,0.0455,0.329,0.499,0.000465,0.0963,-13.7,0.0453,0.132,93.508
Heroin,5by3w3NXvwDpV9FBSOR35u,433.573,60,1,1,4,0.304,0.201,0.777,0.78,0.0981,-10.167,0.0705,0.235,145.733
There She Goes Again,7qOVMMY0couqt76ObwY947,161.026,46,7,1,3,0.0448,0.486,0.587,0.662,0.0676,-8.336,0.0316,0.856,124.422
I'll Be Your Mirror,4PINSJIlBWsnVeveicq1S8,134.04,56,7,1,4,0.176,0.609,0.295,1.86e-06,0.0859,-14.933,0.0328,0.279,108.976
The Black Angel's Death Song,2g4LWy7YxrbWYA2RJP8nFk,192.053,42,7,1,3,0.646,0.36,0.475,0.000273,0.123,-9.891,0.0456,0.36,121.355
European Son,1NbgM9deOElsjyWeAmP1qg,467.693,42,7,1,4,0.000674,0.311,0.84,0.65,0.112,-11.068,0.106,0.545,79.038
