In the Flesh?,24YmWQgunJGAU8El3ndkyn,198.221,59,9,1,3,0.416,0.294,0.489,0.348,0.0537,-14.578,0.0399,0.268,152.115
The Thin Ice,62zuXt6X5B6YQOBNFV2eXG,146.321,56,9,0,3,0.354,0.359,0.128,0.00181,0.656,-16.983,0.0372,0.178,110.35
"Another Brick in the Wall, Pt. 1",7K6xMPtAjTuLPNlJMLf5bS,192.145,62,0,1,4,0.937,0.617,0.0457,0.641,0.0991,-26.401,0.0344,0.0967,99.48
The Happiest Days of Our Lives,2O3l4X1yTua8oMMCtazkyo,110.826,60,9,0,4,0.551,0.741,0.231,0.747,0.249,-18.91,0.0415,0.547,103.994
"Another Brick in the Wall, Pt. 2",4gMgiXfqyzZLMhsksGmbQV,238.746,76,0,1,4,0.0781,0.694,0.394,0.000677,0.247,-15.881,0.0428,0.719,104.126
Mother,1GEOSS415bZVHNuXWlCT6b,334.893,63,7,1,4,0.243,0.578,0.15,0.00707,0.0825,-17.335,0.0334,0.121,135.331
Goodbye Blue Sky,0ESdtt9cjGZUkUbaubSrv2,167.239,60,7,1,4,0.879,0.638,0.0811,0.00315,0.314,-22.646,0.0335,0.0502,109.152
Empty Spaces,5yMyLZu4wPvWcbLFiRhYVM,127.83,55,11,1,4,0.187,0.501,0.338,0.862,0.514,-19.12,0.0397,0.105,95.942
Young Lust,3xGJuHvSxFJxxYlHj5BIoT,209.956,62,11,0,4,0.0546,0.615,0.55,0.191,0.747,-13.858,0.0349,0.549,95.485
One of My Turns,66YHxyGAUGjMBDdrDlWIMD,216.8,55,0,1,4,0.305,0.315,0.218,0.0012,0.226,-15.215,0.0731,0.156,175.861
Don't Leave Me Now,3QEWEv1tvHmVgsT5THpGDn,255.934,54,9,0,3,0.0847,0.302,0.111,0.777,0.621,-19.78,0.0349,0.0393,123.021
"Another Brick in the Wall, Pt. 3",5A7eooPKJHtr0UJmatjH4a,74.411,56,2,1,4,0.0554,0.653,0.472,6.45e-05,0.397,-14.797,0.0353,0.448,102.558
Goodbye Cruel World,0ZXkKRO789QKBR6ME7pIDF,73.429,56,2,1,4,0.782,0.471,0.0118,0.799,0.247,-31.734,0.0407,0.0701,102.881
Hey You,7F02x6EKYIQV3VcTaTm7oN,278.44,68,0,1,4,0.221,0.588,0.301,0.00236,0.128,-14.979,0.0294,0.19,112.458
Is There Anybody Out There?,5HAjss9faCAowGY8dM24r6,161.595,56,9,0,4,0.723,0.307,0.0742,0.308,0.11,-27.159,0.0359,0.0394,118.591
Nobody Home,2gTnu5RZNVFVnWdjLnyUA5,203.36,55,0,1,4,0.71,0.251,0.148,0.432,0.106,-21.056,0.0431,0.0569,208.486
Vera,7FCiDC7ojdm19CJePq6QAe,93.356,53,4,0,4,0.678,0.183,0.162,0.022,0.119,-22.191,0.151,0.0839,34.717
Bring the Boys Back Home,4TUStFzBGQqn0GrkzVWFV4,87.207,52,0,1,4,0.568,0.33,0.283,0.0933,0.235,-15.973,0.061,0.287,157.963
Comfortably Numb,5HNCy40Ni5BZJFw1TKzRsC,382.296,74,11,0,4,0.15,0.472,0.366,0.308,0.0837,-12.595,0.0286,0.171,127.167
The Show Must Go On,077OhUjy58qkjscrXjW696,96.56,54,7,1,4,0.435,0.57,0.198,0.125,0.262,-16.919,0.0294,0.326,129.048
In the Flesh,5OFi9CIyD6s1oENyHapK2W,255.546,54,9,1,3,0.363,0.284,0.459,0.504,0.719,-14.891,0.032,0.104,151.796
Run Like Hell,0EaLRxrtnq7Mqhdf8q9txr,263.573,60,9,1,4,0.0235,0.716,0.499,0.449,0.86,-15.457,0.0354,0.42,116.974
Waiting for the Worms,2DVkYfl2YuOMlRfC98srEG,237.097,53,7,1,4,0.578,0.568,0.413,0.00589,0.535,-13.594,0.0298,0.667,75.866
Stop,21L1dVOTGhvAKvBXXnTIHj,30.622,51,9,0,4,0.917,0.555,0.0193,0.00136,0.0658,-29.867,0.0432,0.309,76.112
The Trial,1UMXtudajhlocMzXVSngDU,318.846,55,4,0,4,0.697,0.41,0.37,0.000144,0.211,-15.757,0.0766,0.33,76.926
Outside the Wall,1nW0lHGLpE1iQDP5Nvt3x1,104.113,50,0,1,4,0.674,0.181,0.0775,0.506,0.0939,-35.898,0.0588,0.451,115.711
