The Cisco Kid,26QmdG0bzzqJPK0GyaeXsV,271.826,32,9,0,4,0.183,0.851,0.733,0.102,0.0334,-8.474,0.0529,0.966,141.786
Where Was You At,1ENQ2mIaUl440TVlQz6ACT,206.64,23,1,1,4,0.126,0.765,0.554,0.0554,0.0698,-8.747,0.0938,0.84,89.034
"City, Country, City",5oPgVhHKk3qQ4EchfKbcKb,800.6,28,7,1,4,0.0286,0.508,0.788,0.39,0.125,-10.964,0.0629,0.204,119.998
Four Cornered Room,5w3pWdUh8ul7slvJGeR8ed,510.173,27,2,1,4,0.0499,0.551,0.531,0.0276,0.418,-10.121,0.0432,0.188,112.243
The World Is A Ghetto,5mmkKuoGrxAx7DKt3q3ZwW,610.306,29,9,1,4,0.0121,0.618,0.441,0.0186,0.0605,-9.385,0.0308,0.396,91.937
Beetles In The Bog,7pc6Dr1o0vKjpiuYLM1mF9,230.893,21,9,0,4,0.208,0.607,0.862,0.867,0.0659,-8.523,0.0438,0.909,95.924
Freight Train Jam,3XRkk6ihnRbuoEegcRsL4s,341.386,21,7,0,4,0.0633,0.566,0.678,0.877,0.0979,-10.411,0.0311,0.934,118.945
58 Blues,2fn6um1I9n5X1im6CffAeG,329.426,15,2,1,4,0.331,0.647,0.694,0.0412,0.0806,-7.601,0.0377,0.646,124.993
War Is Coming - Blues Version,21I6sW3RLVeR6GcAZvB2MY,374.413,18,7,1,4,0.171,0.567,0.599,0.886,0.0828,-8.929,0.0279,0.475,105.657
The World Is A Ghetto - Rehearsal Take,3voJOSRd8LGBPpLnDJvrbw,485.68,16,6,0,4,0.426,0.621,0.386,0.00124,0.0419,-9.082,0.0381,0.188,77.421
