Luv N' Haight - Single Version,4Phj7Zce9seBEAaqiyK12r,242.493,36,8,0,4,0.434,0.748,0.819,0.00679,0.434,-9.346,0.0898,0.857,96.957
Just Like a Baby,6Omb07SkH7gZzYkNKf1iRh,311.0,51,10,1,1,0.00891,0.84,0.398,0.361,0.0921,-13.419,0.0333,0.466,97.979
Poet,3ljDB8cJvp1NFrC7fv68Zd,181.0,32,5,0,4,0.0937,0.82,0.46,0.00386,0.0584,-12.131,0.158,0.891,164.148
Family Affair - Single Version,2GVEs1sn5Q1jB1976vQoAX,185.533,59,2,0,4,0.669,0.819,0.605,0.0163,0.199,-13.83,0.132,0.797,108.892
"Africa Talks to You (""The Asphalt Jungle"")",0CDAXc3bkzzv9wIXT3XPyd,525.266,30,2,1,4,0.315,0.804,0.53,0.00489,0.081,-12.854,0.0694,0.381,91.173
There's a Riot Goin' On,2GJR74Y8UXDlNicYCnCpge,4.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-60.0,0.0,0.0,0.0
Brave & Strong - Single Version,5KF0EK4CXSyX9XBNQXw6kJ,209.226,29,1,1,4,0.309,0.867,0.618,0.0208,0.0793,-11.083,0.109,0.835,100.557
(You Caught Me) Smilin' - Single Version,5XTiyBLVLjqhAGRcJBUC5F,174.493,32,7,1,4,0.363,0.783,0.55,0.00275,0.0403,-11.318,0.0465,0.593,97.735
Time,248duoFk1LhS9s1R8Foahi,184.293,29,2,1,3,0.769,0.623,0.211,0.00133,0.0905,-17.129,0.0388,0.423,141.553
Spaced Cowboy,32i6Tg4IYr7Ce9sIiWRT2K,238.4,34,7,1,4,0.194,0.666,0.671,0.335,0.185,-12.73,0.0669,0.695,174.845
Runnin' Away - Single Version,0yMhprf2FVbT9Aew8DPbkm,177.8,36,3,0,4,0.655,0.857,0.645,0.0297,0.11,-11.397,0.0574,0.961,103.847
"Thank You for Talkin' to Me, Africa",4EcC3IrjolBS9XXEWYAGW4,435.96,33,2,1,4,0.106,0.891,0.479,0.0587,0.143,-14.043,0.0758,0.913,81.357
Runnin' Away - single master,2a7SgleZSamx6U2lG81XtP,162.573,26,10,0,4,0.545,0.874,0.657,0.246,0.0378,-9.242,0.169,0.94,103.415
My Gorilla Is My Butler - Instrumental,1djFQ4eIDqmODq2ju09kIp,190.106,24,10,1,4,0.211,0.836,0.34,0.651,0.104,-17.304,0.0499,0.874,103.919
Do You Know What? - Instrumental,7nRjHYcVnQAsdNseV1RsLA,434.333,24,5,1,4,0.799,0.679,0.563,0.887,0.0948,-19.153,0.143,0.741,194.713
That's Pretty Clean - Instrumental,6vjrerhomI6csr34YQkzTp,252.333,22,3,1,4,0.0818,0.774,0.313,0.936,0.111,-15.28,0.0351,0.662,99.226
