No Action,2DCJ7WDoGyyRhKHe5jaShu,121.093,34,4,1,3,0.0248,0.336,0.914,1.08e-05,0.217,-4.35,0.0698,0.577,157.695
This Year's Girl,6jH1llp3K1tkMnDNXMtC4s,200.853,38,9,1,4,0.0573,0.608,0.656,0.0,0.0727,-5.951,0.056,0.925,133.394
The Beat,1MDN8WFF2lKuCTwgKY4Ubp,228.973,44,11,0,4,0.128,0.721,0.774,0.0,0.0992,-5.258,0.0624,0.896,133.512
Pump It Up,0JgMHia55MBfhfqZIRi3kF,196.68,61,11,1,4,0.00933,0.644,0.814,0.000617,0.107,-6.036,0.0385,0.965,138.999
Little Triggers,3ryVLYJeFNIfCdEWMgY9gQ,163.64,30,5,1,3,0.212,0.473,0.521,4.08e-05,0.0749,-8.046,0.0489,0.233,156.263
You Belong To Me,0qLBNW2vWF59bniHTj1UK8,143.12,30,7,1,4,0.0399,0.403,0.876,3.05e-05,0.0533,-6.007,0.0487,0.715,172.072
Hand In Hand,7bxAniEn5wxHmEfJZkD9dg,156.653,29,2,1,4,0.229,0.499,0.678,0.0,0.0618,-6.993,0.0476,0.512,140.649
(I Don't Want To Go To) Chelsea,0mq1y8G1tgzDx33qKc8qTZ,190.306,42,11,0,4,0.0716,0.509,0.831,0.000515,0.0547,-5.531,0.0398,0.938,167.182
Lip Service,2iICM2WTVmKasZWpMItYdn,159.213,30,4,1,4,0.00391,0.544,0.916,0.00105,0.246,-4.818,0.0315,0.903,150.547
Living In Paradise,2SBebKCwFja5h1ifdOt3Nt,227.08,29,2,1,4,0.312,0.645,0.718,7.94e-06,0.292,-6.024,0.0604,0.962,130.633
Lipstick Vogue,6TN1KwmAd1mGdyvyslA2F3,213.413,31,11,0,4,0.00505,0.321,0.881,0.00702,0.152,-6.966,0.0653,0.509,149.658
Night Rally,7tib1F9yUMXsQhuPrjWPS8,162.506,28,4,1,4,0.407,0.43,0.628,0.0,0.595,-5.51,0.0295,0.556,101.008
"Radio, Radio",4cZ7dGQZi9duyPn1SY2lgU,186.213,47,4,1,4,0.138,0.595,0.869,2.78e-06,0.278,-4.812,0.0767,0.876,146.75
