Wanna Be Startin' Somethin',2kulOHR2XY6YDZCWXb38hn,362.373,65,6,0,4,0.0219,0.846,0.922,0.355,0.0623,-4.206,0.0438,0.899,122.195
Baby Be Mine,3bMveJpCPytU79V5A61Bb7,260.186,50,11,0,4,0.167,0.829,0.663,1.68e-05,0.109,-4.61,0.0794,0.668,109.652
The Girl Is Mine (with Paul McCartney),1diEQsD8PJC9hXB5Gpfgtn,222.04,61,9,1,4,0.269,0.671,0.636,4.09e-06,0.18,-6.673,0.0558,0.651,81.477
Thriller,3S2R0EVwBSAVMd5UMgKTL0,357.266,71,11,1,4,0.0855,0.773,0.859,0.00018,0.914,-4.913,0.0747,0.813,118.458
Beat It,1OOtq8tRnDM8kG2gqUPjAj,258.04,79,3,0,4,0.0491,0.779,0.867,7.98e-06,0.197,-3.704,0.0457,0.915,138.858
Billie Jean,5ChkMS8OtdzJeqyybCc9R5,293.826,83,11,0,4,0.0236,0.92,0.654,0.0158,0.0359,-3.051,0.0401,0.847,117.046
Human Nature,35lAjvsvS9k9HHuP1fjDT8,245.56,65,2,1,4,0.541,0.624,0.512,0.00478,0.26,-10.041,0.0297,0.685,93.059
P.Y.T. (Pretty Young Thing),5lA3pwMkBdd24StM90QrNR,238.733,71,11,0,4,0.23,0.888,0.815,0.000424,0.127,-4.909,0.0404,0.961,127.273
The Lady in My Life,4OpwADjlTmeRSWHkUrGXpz,298.8,50,9,0,4,0.318,0.65,0.503,2.12e-05,0.058,-7.857,0.0407,0.521,73.073
"Vincent Price Excerpt From ""Thriller"" Voice-Over Session - Thriller 25th Anniversary Voice-Over Session",1G3EVrzpUJHM3p1rVXdWPc,24.453,10,6,1,1,0.619,0.669,0.914,6.18e-05,0.951,-15.762,0.938,0.0554,149.04
The Girl Is Mine 2008 with will.i.am (with will.i.am) - Thriller 25th Anniversary Remix,3P5LP0QEswwTGJSlESoeB5,190.253,42,1,1,4,0.0443,0.77,0.747,0.0,0.0864,-6.626,0.135,0.926,96.001
P.Y.T. (Pretty Young Thing) 2008 with will.i.am (with will.i.am) - Thriller 25th Anniversary Remix feat. willi.i.am,4tYeov7pG1Hk1xaRP94Io5,261.133,41,1,1,4,0.0216,0.827,0.805,2.27e-05,0.195,-7.042,0.0914,0.674,109.348
Wanna Be Startin' Somethin' 2008 with Akon (with Akon) - Thriller 25th Anniversary Remix,15A3uqmUTxJ1KJGfAdiywb,254.12,42,5,1,4,0.117,0.82,0.952,0.000258,0.106,-4.778,0.0723,0.36,121.949
Beat It 2008 (with Fergie) - Thriller 25th Anniversary Remix feat. Fergie,4WOd40p1zhy3cWL0Eh4yAy,251.186,43,10,0,4,0.00597,0.829,0.683,0.0,0.185,-6.037,0.0576,0.633,138.013
