Réu Confesso,3BpiaGyTIb7VIoAYbvSzTH,217.604,59,0,1,4,0.0539,0.536,0.766,0.0051,0.292,-9.89,0.0522,0.758,87.893
Compadre,3cleX1Eih6j9V8z8HTdwNo,171.062,37,6,0,4,0.00761,0.52,0.663,6.15e-06,0.177,-10.285,0.0653,0.752,75.687
Over Again,7iXcElgWhb0n5aONKXzWFB,200.66,33,4,0,4,0.00337,0.614,0.745,0.000612,0.182,-9.689,0.0459,0.466,91.14
Até Que Enfim Encontrei Você,1jGYggTQ97wNWwknaStq3U,104.291,31,7,1,4,0.0525,0.666,0.806,0.0,0.155,-7.907,0.0367,0.671,99.783
Balanço,4oMq8mIESzOd26qW2JNGqe,209.779,30,2,1,4,0.00241,0.522,0.829,0.00707,0.0364,-9.582,0.0365,0.658,90.62
New Love,2UcZRxA1HcZYn1JN1HEDWU,237.982,30,7,1,4,0.253,0.563,0.628,1.54e-05,0.141,-9.807,0.0324,0.63,139.654
"Do Your Thing, Behave Yourself",0eqNqqxfOZjz3YiRmJvh2x,186.544,30,9,1,4,0.034,0.434,0.748,0.0054,0.14,-8.724,0.13,0.809,156.323
Gostava Tanto De Você,6eDMElxeeKXs4DHTb0dGP0,256.362,60,9,1,4,0.0479,0.563,0.886,7.33e-05,0.0384,-9.008,0.0993,0.717,89.234
Musica No Ar,00bCeRRLOKrrQYgynUTvYu,159.65,27,7,1,4,0.172,0.361,0.453,0.0,0.237,-8.905,0.0286,0.389,136.556
A Paz Do Meu Mundo É Você,7K2YKWf1HjVSI0FUAXwhNp,188.688,29,7,1,4,0.253,0.353,0.472,9.47e-05,0.358,-9.763,0.0278,0.183,134.358
Preciso Ser Amado,3mi6NnXtfNPj6AC4f1ziHn,173.096,31,11,0,3,0.866,0.423,0.0327,4.32e-06,0.112,-23.958,0.0413,0.197,122.835
Amores,1FaBQhBGyre5Y3UZVkauZp,166.309,27,9,1,4,0.000817,0.727,0.914,0.669,0.0707,-10.641,0.0373,0.718,108.22
