Love Sick,3O1hpSOaJDW4SelgUG2XT3,320.866,39,11,0,4,0.601,0.561,0.273,2.9e-05,0.224,-13.863,0.0335,0.305,72.523
Dirt Road Blues,5xNE6bGRS65lxMEBIl6xbT,214.8,36,7,1,4,0.028,0.452,0.78,0.000716,0.0662,-11.035,0.0719,0.456,98.312
Standing in the Doorway,2xalFZmyjleCTdhKPxqzdh,462.0,38,4,1,3,0.798,0.45,0.324,0.00348,0.126,-15.544,0.0406,0.136,97.49
Million Miles,4VrZjVEmT5qQnkCOtMWZ9b,352.04,33,6,1,3,0.732,0.415,0.554,2.26e-06,0.154,-14.116,0.0509,0.63,135.027
Trying to Get to Heaven,0dgdP5q0irOwAn7hEvEep1,320.706,36,3,1,4,0.476,0.481,0.479,0.00105,0.271,-13.366,0.0325,0.552,95.274
Til I Fell in Love with You,7vAkFzx16TtzQrQFDxZr7v,315.426,32,3,1,4,0.567,0.459,0.522,0.00515,0.0942,-12.899,0.0586,0.688,102.272
Not Dark Yet,1qbn6QrHG8XfnqVFKgNzKP,387.733,48,4,1,4,0.529,0.465,0.381,0.00835,0.111,-14.195,0.0316,0.227,126.372
Cold Irons Bound,2QCJcmHByVdv7d5MrGPV63,434.36,34,5,0,4,0.026,0.503,0.723,0.103,0.0952,-11.198,0.0363,0.632,135.014
Make You Feel My Love,6rfGPGghQL7SJmZPXprXIc,211.0,57,1,1,4,0.78,0.375,0.219,0.00141,0.109,-13.112,0.0288,0.197,143.447
Can't Wait,66AgNVlgzGwfFZ6cCDfHw4,346.226,31,1,1,4,0.035,0.572,0.564,0.0121,0.0789,-12.046,0.0374,0.648,141.748
Highlands,1KeOceXRwh3e7qHa00jszs,991.466,32,9,1,4,0.79,0.585,0.367,3.09e-06,0.212,-12.967,0.0372,0.323,122.002
