Tonight's The Night,29LaaN4wmDoaUBtCQOoCed,117.586,25,1,1,4,0.453,0.442,0.532,0.0,0.0397,-6.664,0.0279,0.962,156.21
Johnny On My Mind,52dg4DiDMXMTvBCK7qfaVZ,127.173,13,1,1,4,0.519,0.469,0.53,0.0,0.129,-6.799,0.0407,0.621,122.124
Lower The Flame,392Kh0ONbWkCT5GY0HOwqX,134.56,12,0,1,4,0.752,0.648,0.52,8.42e-06,0.0786,-6.859,0.039,0.83,62.075
Will You Love Me Tomorrow,0bwy3sGHeYwng2Ioicq6wf,160.693,62,0,1,4,0.312,0.55,0.382,1.11e-05,0.221,-6.429,0.0263,0.464,136.128
Doin' The Rondie,2RYLooIQPLtsGW8OmXN9Ol,131.093,12,8,1,5,0.743,0.569,0.581,0.000145,0.207,-3.926,0.0472,0.822,121.839
You Don't Want My Love,2pzcpcbqRz1pAPAxUeiYCI,138.773,15,3,0,4,0.721,0.551,0.428,0.0,0.132,-6.874,0.036,0.557,123.871
Dedicated To The One I Love,36f5xtZ2CXIc1WOirnnD3j,120.306,43,10,1,4,0.812,0.398,0.325,0.0,0.169,-6.159,0.0382,0.454,80.563
Boys,5gbnpPSUFVrvwKFtlb2GNj,129.026,28,0,1,4,0.669,0.537,0.604,0.0,0.181,-6.692,0.039,0.818,138.166
The Dance Is Over,36Nt0lIDxgpFzkUDksAxiT,146.36,19,3,1,3,0.814,0.239,0.364,0.0,0.0868,-6.684,0.0339,0.29,181.894
"Oh, What A Waste Of Love",5CcfDIDyKb5wl6DcrvsV2I,115.506,12,5,1,4,0.57,0.542,0.632,0.0,0.136,-5.698,0.0381,0.814,140.186
Unlucky,6PLeqoZa3F8Y8dmIL1iBXh,147.386,10,8,1,4,0.867,0.379,0.298,1.03e-05,0.148,-8.493,0.0298,0.317,64.68
Tonight At The Prom,3A6fCd2JZUaD53ecti2vRR,150.56,10,7,1,3,0.854,0.433,0.273,0.0,0.475,-8.06,0.0287,0.148,122.338
